id,Name <br />(100 chars)_l,source,Name <br />(100 chars)_r,id_cont,Title <br />(100 chars),Level <br />(choose),Start Page_cont,End Page_cont,Narrator <br />(choose),Protagonist <br />(choose),Embed. Type <br />(choose),id_rel,Type of Relationship <br />(choose),Character 1 <br />(choose),Character 2 <br />(choose),Is Reciprocal? <br />(choose),Narrative Container <br />(choose),Start Page_rel,End Page_rel,index
36,French Voyageur,3,Evelina Harp,31,Apparition,level 3 (sub-sub-section),11,13,Evelina Harp,[NULL],Oral Story,89,Knows of,Evelina Harp,French Voyageur,0,Apparition,12,12,
17,Joseph Harp,3,Evelina Harp,31,Apparition,level 3 (sub-sub-section),11,13,Evelina Harp,[NULL],Oral Story,94,Knows,Evelina Harp,Joseph Harp,1,Apparition,12,12,
18,Edward Harp,3,Evelina Harp,31,Apparition,level 3 (sub-sub-section),11,13,Evelina Harp,[NULL],Oral Story,95,Knows,Evelina Harp,Edward Harp,1,Apparition,12,12,
35,Junesse's Aunt,3,Evelina Harp,31,Apparition,level 3 (sub-sub-section),11,13,Evelina Harp,[NULL],Oral Story,99,Knows of,Evelina Harp,Junesse's Aunt,0,Apparition,12,12,
9,Severine Milk,3,Evelina Harp,31,Apparition,level 3 (sub-sub-section),11,13,Evelina Harp,[NULL],Oral Story,100,Knows of,Evelina Harp,Severine Milk,0,Apparition,12,12,
37,Junesse's Six Younger Cousins,3,Evelina Harp,31,Apparition,level 3 (sub-sub-section),11,13,Evelina Harp,[NULL],Oral Story,102,Knows of,Evelina Harp,Junesse's Six Younger Cousins,0,Apparition,12,12,
34,Junesse Malaterre,3,Evelina Harp,31,Apparition,level 3 (sub-sub-section),11,13,Evelina Harp,[NULL],Oral Story,106,Knows,Evelina Harp,Junesse Malaterre,1,Apparition,13,13,
38,Off-Reservation Dentist,3,Evelina Harp,32,The Burning Glare,level 3 (sub-sub-section),13,15,Evelina Harp,[NULL],[NULL],107,Exchange,Evelina Harp,Off-Reservation Dentist,1,The Burning Glare,13,13,
31,Corwin Peace,3,Evelina Harp,32,The Burning Glare,level 3 (sub-sub-section),13,15,Evelina Harp,[NULL],[NULL],110,Exchange,Evelina Harp,Corwin Peace,1,The Burning Glare,14,14,
32,Other Children (in school with Evelina),3,Evelina Harp,32,The Burning Glare,level 3 (sub-sub-section),13,15,Evelina Harp,[NULL],[NULL],112,Knows,Evelina Harp,Other Children (in school with Evelina),1,The Burning Glare,14,14,
57,Jesus,3,Evelina Harp,32,The Burning Glare,level 3 (sub-sub-section),13,15,Evelina Harp,[NULL],[NULL],113,Knows of,Evelina Harp,Jesus,0,The Burning Glare,14,14,
16,Clemence Harp,3,Evelina Harp,32,The Burning Glare,level 3 (sub-sub-section),13,15,Evelina Harp,[NULL],[NULL],114,Exchange,Evelina Harp,Clemence Harp,1,The Burning Glare,15,15,
41,Jackie Kennedy,3,Evelina Harp,32,The Burning Glare,level 3 (sub-sub-section),13,15,Evelina Harp,[NULL],[NULL],115,Knows of,Evelina Harp,Jackie Kennedy,0,The Burning Glare,15,15,
260,Jackie Kennedy,3,Evelina Harp,32,The Burning Glare,level 3 (sub-sub-section),13,15,Evelina Harp,[NULL],[NULL],115,Knows of,Evelina Harp,Jackie Kennedy,0,The Burning Glare,15,15,
57,Jesus,3,Evelina Harp,32,The Burning Glare,level 3 (sub-sub-section),13,15,Evelina Harp,[NULL],[NULL],116,Knows of,Evelina Harp,Jesus,0,The Burning Glare,15,15,
15,Seraph Milk (Mooshum),3,Evelina Harp,33,Mustache Maude,level 3 (sub-sub-section),15,19,Evelina Harp,[NULL],Oral Story,119,Knows,Evelina Harp,Seraph Milk (Mooshum),1,Mustache Maude,15,15,
34,Junesse Malaterre,3,Evelina Harp,33,Mustache Maude,level 3 (sub-sub-section),15,19,Evelina Harp,[NULL],Oral Story,120,Knows,Evelina Harp,Junesse Malaterre,1,Mustache Maude,15,15,
42,"""Mustache"" Maude Black",3,Evelina Harp,33,Mustache Maude,level 3 (sub-sub-section),15,19,Evelina Harp,[NULL],Oral Story,121,Knows of,Evelina Harp,"""Mustache"" Maude Black",0,Mustache Maude,15,15,
42,"""Mustache"" Maude Black",3,Evelina Harp,33,Mustache Maude,level 3 (sub-sub-section),15,19,Evelina Harp,[NULL],Oral Story,124,Knows of,Evelina Harp,"""Mustache"" Maude Black",0,Mustache Maude,16,16,
15,Seraph Milk (Mooshum),3,Evelina Harp,33,Mustache Maude,level 3 (sub-sub-section),15,19,Evelina Harp,[NULL],Oral Story,125,Exchange,Evelina Harp,Seraph Milk (Mooshum),1,Mustache Maude,16,16,
34,Junesse Malaterre,3,Evelina Harp,33,Mustache Maude,level 3 (sub-sub-section),15,19,Evelina Harp,[NULL],Oral Story,126,Knows,Evelina Harp,Junesse Malaterre,1,Mustache Maude,16,16,
43,Ott Black,3,Evelina Harp,33,Mustache Maude,level 3 (sub-sub-section),15,19,Evelina Harp,[NULL],Oral Story,128,Knows of,Evelina Harp,Ott Black,0,Mustache Maude,16,16,
44,Erling Nicolai Rolfsrud,3,Evelina Harp,33,Mustache Maude,level 3 (sub-sub-section),15,19,Evelina Harp,[NULL],Oral Story,129,Knows of,Evelina Harp,Erling Nicolai Rolfsrud,0,Mustache Maude,16,16,
42,"""Mustache"" Maude Black",3,Evelina Harp,33,Mustache Maude,level 3 (sub-sub-section),15,19,Evelina Harp,[NULL],Oral Story,135,Knows of,Evelina Harp,"""Mustache"" Maude Black",0,Mustache Maude,17,18,
34,Junesse Malaterre,3,Evelina Harp,33,Mustache Maude,level 3 (sub-sub-section),15,19,Evelina Harp,[NULL],Oral Story,136,Knows,Evelina Harp,Junesse Malaterre,1,Mustache Maude,17,17,
49,The Lochren Murder,3,Evelina Harp,33,Mustache Maude,level 3 (sub-sub-section),15,19,Evelina Harp,[NULL],Oral Story,139,Knows of,Evelina Harp,The Lochren Murder,0,Mustache Maude,17,17,
45,The Lochren Family,3,Evelina Harp,33,Mustache Maude,level 3 (sub-sub-section),15,19,Evelina Harp,[NULL],Oral Story,140,Knows of,Evelina Harp,The Lochren Family,0,Mustache Maude,17,17,
50,The Lynching,3,Evelina Harp,33,Mustache Maude,level 3 (sub-sub-section),15,19,Evelina Harp,[NULL],Oral Story,145,Knows of,Evelina Harp,The Lynching,0,Mustache Maude,17,17,
