source,target,type,weight,startPage,category,Character 1,Character 2
896.0,897.0,directed,1,30,Exchange,,
897.0,896.0,directed,1,30,Exchange,,
897.0,905.0,directed,1,30,Exchange,,
905.0,1717.0,directed,1,30,Exchange,,
905.0,907.0,directed,1,30,Exchange,,
897.0,904.0,directed,1,31,Exchange,,
896.0,903.0,directed,1,31,Exchange,,
904.0,905.0,directed,1,31,Exchange,,
905.0,904.0,directed,1,31,Exchange,,
897.0,903.0,directed,1,31,Exchange,,
904.0,1713.0,directed,1,31,Exchange,,
904.0,897.0,directed,1,31,Exchange,,
903.0,896.0,directed,1,31,Exchange,,
2521.0,904.0,directed,1,31,Exchange,,
903.0,897.0,directed,1,31,Exchange,,
1713.0,904.0,directed,1,31,Exchange,,
896.0,897.0,directed,1,32,Exchange,,
897.0,896.0,directed,1,32,Exchange,,
903.0,896.0,directed,1,32,Exchange,,
896.0,903.0,directed,1,32,Exchange,,
897.0,903.0,directed,1,32,Exchange,,
903.0,2522.0,directed,1,32,Exchange,,
2522.0,903.0,directed,1,32,Exchange,,
904.0,903.0,directed,1,32,Exchange,,
903.0,897.0,directed,1,32,Exchange,,
903.0,904.0,directed,1,33,Exchange,,
904.0,903.0,directed,1,33,Exchange,,
906.0,903.0,directed,1,33,Exchange,,
903.0,1713.0,directed,1,33,Exchange,,
1712.0,903.0,directed,1,33,Exchange,,
899.0,903.0,directed,1,33,Exchange,,
1713.0,903.0,directed,1,33,Exchange,,
1711.0,903.0,directed,1,33,Exchange,,
907.0,903.0,directed,1,33,Exchange,,
905.0,903.0,directed,1,33,Exchange,,
903.0,1710.0,directed,1,33,Exchange,,
903.0,899.0,directed,1,33,Exchange,,
903.0,1712.0,directed,1,33,Exchange,,
903.0,1711.0,directed,1,33,Exchange,,
903.0,907.0,directed,1,33,Exchange,,
905.0,907.0,directed,1,33,Exchange,,
903.0,905.0,directed,1,33,Exchange,,
2522.0,906.0,directed,1,34,Exchange,,
2522.0,896.0,directed,1,34,Exchange,,
2522.0,905.0,directed,1,34,Exchange,,
1745.0,904.0,directed,1,34,Exchange,,
1711.0,904.0,directed,1,34,Exchange,,
1713.0,904.0,directed,1,34,Exchange,,
1711.0,903.0,directed,1,34,Exchange,,
1713.0,903.0,directed,1,34,Exchange,,
2522.0,897.0,directed,1,34,Exchange,,
903.0,1713.0,directed,1,34,Exchange,,
904.0,1711.0,directed,1,34,Exchange,,
904.0,1745.0,directed,1,34,Exchange,,
904.0,1713.0,directed,1,34,Exchange,,
903.0,1711.0,directed,1,34,Exchange,,
2522.0,907.0,directed,1,34,Exchange,,
899.0,903.0,directed,1,35,Exchange,,
903.0,899.0,directed,1,35,Exchange,,
903.0,1713.0,directed,1,35,Exchange,,
1713.0,1712.0,directed,1,35,Exchange,,
1711.0,1713.0,directed,1,35,Exchange,,
1712.0,1713.0,directed,1,35,Exchange,,
1713.0,1711.0,directed,1,35,Exchange,,
903.0,1711.0,directed,1,35,Exchange,,
1711.0,899.0,directed,1,36,Exchange,,
1713.0,899.0,directed,1,36,Exchange,,
1712.0,1713.0,directed,1,36,Exchange,,
1713.0,1712.0,directed,1,36,Exchange,,
1711.0,1713.0,directed,1,36,Exchange,,
899.0,1713.0,directed,1,36,Exchange,,
899.0,1711.0,directed,1,36,Exchange,,
1713.0,1711.0,directed,1,36,Exchange,,
1712.0,1711.0,directed,1,37,Exchange,,
899.0,1711.0,directed,1,37,Exchange,,
1713.0,899.0,directed,1,37,Exchange,,
903.0,899.0,directed,1,37,Exchange,,
1713.0,1711.0,directed,1,37,Exchange,,
899.0,903.0,directed,1,37,Exchange,,
1713.0,903.0,directed,1,37,Exchange,,
1710.0,903.0,directed,1,37,Exchange,,
1712.0,899.0,directed,1,37,Exchange,,
1711.0,899.0,directed,1,37,Exchange,,
903.0,1713.0,directed,1,37,Exchange,,
1712.0,1713.0,directed,1,37,Exchange,,
899.0,1713.0,directed,1,37,Exchange,,
1711.0,1713.0,directed,1,37,Exchange,,
1713.0,1712.0,directed,1,37,Exchange,,
1711.0,1712.0,directed,1,37,Exchange,,
899.0,1712.0,directed,1,37,Exchange,,
1713.0,899.0,directed,1,38,Exchange,,
1712.0,1713.0,directed,1,38,Exchange,,
899.0,1713.0,directed,1,38,Exchange,,
1713.0,1712.0,directed,1,38,Exchange,,
1711.0,1710.0,directed,1,39,Exchange,,
1712.0,899.0,directed,1,39,Exchange,,
1711.0,903.0,directed,1,39,Exchange,,
1712.0,903.0,directed,1,39,Exchange,,
1713.0,903.0,directed,1,39,Exchange,,
903.0,1712.0,directed,1,39,Exchange,,
1713.0,1712.0,directed,1,39,Exchange,,
1710.0,1713.0,directed,1,39,Exchange,,
903.0,1713.0,directed,1,39,Exchange,,
1710.0,1711.0,directed,1,39,Exchange,,
1713.0,1710.0,directed,1,39,Exchange,,
899.0,2524.0,directed,1,40,Exchange,,
903.0,1713.0,directed,1,40,Exchange,,
2524.0,899.0,directed,1,40,Exchange,,
903.0,899.0,directed,1,40,Exchange,,
1712.0,1713.0,directed,1,40,Exchange,,
1713.0,1712.0,directed,1,40,Exchange,,
903.0,1711.0,directed,1,40,Exchange,,
1711.0,903.0,directed,1,40,Exchange,,
1713.0,903.0,directed,1,40,Exchange,,
899.0,903.0,directed,1,40,Exchange,,
2524.0,903.0,directed,1,41,Exchange,,
897.0,903.0,directed,1,41,Exchange,,
897.0,899.0,directed,1,41,Exchange,,
1745.0,897.0,directed,1,41,Exchange,,
1713.0,897.0,directed,1,41,Exchange,,
907.0,1713.0,directed,1,41,Exchange,,
903.0,1713.0,directed,1,41,Exchange,,
905.0,1713.0,directed,1,41,Exchange,,
897.0,1745.0,directed,1,41,Exchange,,
903.0,2526.0,directed,1,41,Exchange,,
903.0,2524.0,directed,1,41,Exchange,,
897.0,1713.0,directed,1,41,Exchange,,
1713.0,907.0,directed,1,41,Exchange,,
899.0,897.0,directed,1,41,Exchange,,
904.0,897.0,directed,1,41,Exchange,,
903.0,897.0,directed,1,41,Exchange,,
1713.0,905.0,directed,1,41,Exchange,,
2526.0,903.0,directed,1,41,Exchange,,
1713.0,903.0,directed,1,41,Exchange,,
1713.0,897.0,directed,1,42,Exchange,,
1712.0,903.0,directed,1,42,Exchange,,
899.0,1713.0,directed,1,42,Exchange,,
