source,target,Char 1 Name,Char 2 Name,startPage,type,weight
5,31,Sophia Golosovsky,Yegor Gusakov,15,Undirected,1
32,5,Marina Alexandrovna,Sophia Golosovsky,15,Undirected,1
6,31,Alyona Golosovsky,Yegor Gusakov,15,Undirected,1
32,6,Marina Alexandrovna,Alyona Golosovsky,15,Undirected,1
5,6,Sophia Golosovsky,Alyona Golosovsky,15,Undirected,1
32,5,Marina Alexandrovna,Sophia Golosovsky,16,Undirected,1
32,6,Marina Alexandrovna,Alyona Golosovsky,16,Undirected,1
5,6,Sophia Golosovsky,Alyona Golosovsky,16,Undirected,1
68,30,"""news reporter""",Valentina Nikolaevna,17,Undirected,1
25,29,Diana,Olya/Olga,17,Undirected,1
48,30,Valentina's Husband (name?),Valentina Nikolaevna,17,Undirected,1
6,30,Alyona Golosovsky,Valentina Nikolaevna,17,Undirected,1
33,48,Olya's mother,Valentina's Husband (name?),17,Undirected,1
33,57,Olya's mother,the kidnappING,17,Undirected,1
68,48,"""news reporter""",Valentina's Husband (name?),17,Undirected,1
68,57,"""news reporter""",the kidnappING,17,Undirected,1
5,25,Sophia Golosovsky,Diana,17,Undirected,1
33,5,Olya's mother,Sophia Golosovsky,17,Undirected,1
6,48,Alyona Golosovsky,Valentina's Husband (name?),17,Undirected,1
48,57,Valentina's Husband (name?),the kidnappING,17,Undirected,1
68,5,"""news reporter""",Sophia Golosovsky,17,Undirected,1
6,57,Alyona Golosovsky,the kidnappING,17,Undirected,1
33,29,Olya's mother,Olya/Olga,17,Undirected,1
68,29,"""news reporter""",Olya/Olga,17,Undirected,1
48,29,Valentina's Husband (name?),Olya/Olga,17,Undirected,1
5,6,Sophia Golosovsky,Alyona Golosovsky,17,Undirected,1
30,57,Valentina Nikolaevna,the kidnappING,17,Undirected,1
6,29,Alyona Golosovsky,Olya/Olga,17,Undirected,1
33,68,Olya's mother,"""news reporter""",17,Undirected,1
5,30,Sophia Golosovsky,Valentina Nikolaevna,17,Undirected,1
68,25,"""news reporter""",Diana,17,Undirected,1
33,25,Olya's mother,Diana,17,Undirected,1
48,25,Valentina's Husband (name?),Diana,17,Undirected,1
5,48,Sophia Golosovsky,Valentina's Husband (name?),17,Undirected,1
6,25,Alyona Golosovsky,Diana,17,Undirected,1
25,30,Diana,Valentina Nikolaevna,17,Undirected,1
5,57,Sophia Golosovsky,the kidnappING,17,Undirected,1
29,30,Olya/Olga,Valentina Nikolaevna,17,Undirected,1
25,57,Diana,the kidnappING,17,Undirected,1
68,6,"""news reporter""",Alyona Golosovsky,17,Undirected,1
33,6,Olya's mother,Alyona Golosovsky,17,Undirected,1
5,29,Sophia Golosovsky,Olya/Olga,17,Undirected,1
29,57,Olya/Olga,the kidnappING,17,Undirected,1
33,30,Olya's mother,Valentina Nikolaevna,17,Undirected,1
64,5,tourists (generally),Sophia Golosovsky,18,Undirected,1
37,6,Classmate 1 (in photo),Alyona Golosovsky,18,Undirected,1
34,37,history teacher,Classmate 1 (in photo),18,Undirected,1
35,362,"""someone's girlfriend""","""official guide""",18,Undirected,1
33,29,Olya's mother,Olya/Olga,18,Undirected,1
37,362,Classmate 1 (in photo),"""official guide""",18,Undirected,1
64,25,tourists (generally),Diana,18,Undirected,1
33,111,Olya's mother,"""tourist group from Tokyo""",18,Undirected,1
64,34,tourists (generally),history teacher,18,Undirected,1
33,312,Olya's mother,Oksana's mother,18,Undirected,1
312,29,Oksana's mother,Olya/Olga,18,Undirected,1
40,363,"A ""girl they knew"" (in photo)","""rich visitors""",18,Undirected,1
33,40,Olya's mother,"A ""girl they knew"" (in photo)",18,Undirected,1
34,5,history teacher,Sophia Golosovsky,18,Undirected,1
35,37,"""someone's girlfriend""",Classmate 1 (in photo),18,Undirected,1
33,6,Olya's mother,Alyona Golosovsky,18,Undirected,1
6,363,Alyona Golosovsky,"""rich visitors""",18,Undirected,1
25,29,Diana,Olya/Olga,18,Undirected,1
40,29,"A ""girl they knew"" (in photo)",Olya/Olga,18,Undirected,1
362,25,"""official guide""",Diana,18,Undirected,1
34,25,history teacher,Diana,18,Undirected,1
111,25,"""tourist group from Tokyo""",Diana,18,Undirected,1
33,362,Olya's mother,"""official guide""",18,Undirected,1
5,25,Sophia Golosovsky,Diana,18,Undirected,1
40,111,"A ""girl they knew"" (in photo)","""tourist group from Tokyo""",18,Undirected,1
35,5,"""someone's girlfriend""",Sophia Golosovsky,18,Undirected,1
40,312,"A ""girl they knew"" (in photo)",Oksana's mother,18,Undirected,1
33,35,Olya's mother,"""someone's girlfriend""",18,Undirected,1
363,29,"""rich visitors""",Olya/Olga,18,Undirected,1
37,5,Classmate 1 (in photo),Sophia Golosovsky,18,Undirected,1
6,29,Alyona Golosovsky,Olya/Olga,18,Undirected,1
363,111,"""rich visitors""","""tourist group from Tokyo""",18,Undirected,1
6,111,Alyona Golosovsky,"""tourist group from Tokyo""",18,Undirected,1
363,312,"""rich visitors""",Oksana's mother,18,Undirected,1
35,25,"""someone's girlfriend""",Diana,18,Undirected,1
64,6,tourists (generally),Alyona Golosovsky,18,Undirected,1
6,312,Alyona Golosovsky,Oksana's mother,18,Undirected,1
33,37,Olya's mother,Classmate 1 (in photo),18,Undirected,1
64,363,tourists (generally),"""rich visitors""",18,Undirected,1
111,29,"""tourist group from Tokyo""",Olya/Olga,18,Undirected,1
6,40,Alyona Golosovsky,"A ""girl they knew"" (in photo)",18,Undirected,1
