source,target,Character 1,Character 2,type,weight,startPage,category
5,31,Sophia Golosovsky,Yegor Gusakov,Directed,1,13,Exchange
31,6,Yegor Gusakov,Alyona Golosovsky,Directed,1,13,Exchange
31,5,Yegor Gusakov,Sophia Golosovsky,Directed,1,13,Exchange
6,32,Alyona Golosovsky,Marina Alexandrovna,Directed,1,14,Knows
6,5,Alyona Golosovsky,Sophia Golosovsky,Directed,1,14,Exchange
6,31,Alyona Golosovsky,Yegor Gusakov,Directed,1,14,Exchange
32,6,Marina Alexandrovna,Alyona Golosovsky,Directed,1,14,Knows
32,5,Marina Alexandrovna,Sophia Golosovsky,Directed,1,14,Knows
5,6,Sophia Golosovsky,Alyona Golosovsky,Directed,1,14,Exchange
5,32,Sophia Golosovsky,Marina Alexandrovna,Directed,1,14,Knows
31,6,Yegor Gusakov,Alyona Golosovsky,Directed,1,14,Exchange
31,32,Yegor Gusakov,Marina Alexandrovna,Directed,1,14,Knows of
6,32,Alyona Golosovsky,Marina Alexandrovna,Directed,1,15,Knows
6,5,Alyona Golosovsky,Sophia Golosovsky,Directed,1,15,Exchange
6,31,Alyona Golosovsky,Yegor Gusakov,Directed,1,15,Exchange
32,6,Marina Alexandrovna,Alyona Golosovsky,Directed,1,15,Knows
32,5,Marina Alexandrovna,Sophia Golosovsky,Directed,1,15,Knows
5,6,Sophia Golosovsky,Alyona Golosovsky,Directed,1,15,Exchange
5,32,Sophia Golosovsky,Marina Alexandrovna,Directed,1,15,Knows
5,31,Sophia Golosovsky,Yegor Gusakov,Directed,1,15,Exchange
31,6,Yegor Gusakov,Alyona Golosovsky,Directed,1,15,Exchange
31,5,Yegor Gusakov,Sophia Golosovsky,Directed,1,15,Exchange
6,32,Alyona Golosovsky,Marina Alexandrovna,Directed,1,16,Knows
6,5,Alyona Golosovsky,Sophia Golosovsky,Directed,1,16,Exchange
32,6,Marina Alexandrovna,Alyona Golosovsky,Directed,1,16,Knows
32,5,Marina Alexandrovna,Sophia Golosovsky,Directed,1,16,Knows
5,6,Sophia Golosovsky,Alyona Golosovsky,Directed,1,16,Exchange
5,32,Sophia Golosovsky,Marina Alexandrovna,Directed,1,16,Knows
25,6,Diana,Alyona Golosovsky,Directed,1,17,Knows of
25,29,Diana,Olya/Olga,Directed,1,17,Exchange
25,5,Diana,Sophia Golosovsky,Directed,1,17,Knows of
25,30,Diana,Valentina Nikolaevna,Directed,1,17,Knows
25,57,Diana,the kidnappING,Directed,1,17,Knows of
33,6,Olya's mother,Alyona Golosovsky,Directed,1,17,Knows of
33,29,Olya's mother,Olya/Olga,Directed,1,17,Knows
33,5,Olya's mother,Sophia Golosovsky,Directed,1,17,Knows of
29,68,Olya/Olga,"""news reporter""",Directed,1,17,Knows of
29,6,Olya/Olga,Alyona Golosovsky,Directed,1,17,Knows of
29,25,Olya/Olga,Diana,Directed,1,17,Exchange
29,33,Olya/Olga,Olya's mother,Directed,1,17,Knows
29,5,Olya/Olga,Sophia Golosovsky,Directed,1,17,Knows of
29,30,Olya/Olga,Valentina Nikolaevna,Directed,1,17,Knows
29,48,Olya/Olga,Valentina's Husband (name?),Directed,1,17,Knows of
29,57,Olya/Olga,the kidnappING,Directed,1,17,Knows of
30,6,Valentina Nikolaevna,Alyona Golosovsky,Directed,1,17,Knows of
30,25,Valentina Nikolaevna,Diana,Directed,1,17,Knows
30,29,Valentina Nikolaevna,Olya/Olga,Directed,1,17,Knows
30,5,Valentina Nikolaevna,Sophia Golosovsky,Directed,1,17,Knows of
30,57,Valentina Nikolaevna,the kidnappING,Directed,1,17,Knows of
