"id","label"
"66","Kyle Keegan"
"186","L"
"335","Ladies (at the rub and tug)"
"207","Lady Roy"
"3","Laura Mitkowski"
"131","Laura's classmates"
"298","Levy"
"49","Liam Williams"
"149","Liberal Party"
"43","Lily Chan"
"281","Little boy (in the choir)"
"247","Little Cesars"
"248","Lorna"
"144","Luka DiSorono"
"370","Madame Gauthier"
"301","Marca Angelo"
"11","Marie Beaudoin"
"363","Marie's Grandma"
"73","marketing and development officer of Ontario Reads"
"122","Melvin"
"378","Men singing and drumming at the Powwow"
"93","men who ""come here for tugs"" (69)"
"280","Menendez sisters' Mother"
"201","Micah the martian"
"246","Michael Jackson"
"26","Michelle"
"364","miners"
"311","Miss Peaches"
"137","Mother Mary"
"24","Mr. George"
"9","Mr. Kamal"
"316","Mr. Palmer"
"260","Mr. Park"
"13","Mrs Abdul"
"61","Mrs Crosby"
"87","Mrs Emerson"
"62","Mrs Landau"
"20","Mrs. Falls"
"31","Mrs. Finnegan"
"341","Mrs. Fitz"
"8","Mrs. Kamal"
"381","Mrs. Kamal's children"
"380","Mrs. Kamal's husband"
"60","Mrs. Khan"
"21","Mrs. Rhodes"
"337","Mrs. Zoe"
"217","Muslims"
"124","n****rs"
"300","Natalia Angelo"
"148","NDP Party"
"326","Officer Tyndall"
"336","Officer Tyndall's ""girlfriend"""
"288","old lady in curlers"
"289","old lady's crack dealer"
"277","Old man (who owned Happy Chicken)"
"338","Older lady with glasses"
"42","Ontario Reads facilitators"
"72","Oprah Winfrey"
"332","Other animals (at the zoo)"
"331","Painted Box Turtles"
"240","Pakistanis"
"67","Pamela Roy"
"343","Parents double-fisted with ice cream cones"
"299","Parents in Ms Hina's group"
"57","parents in the community"
"17","Parker"
"18","Parker's mom"
"146","Paula Santiago"
"65","Paulo Sanchez"
"261","People ""down the hall"" from Cory"
"222","People ""like Christy"" (141)"
"352","People at Food Basics"
"262","People in the East Point Bird Sanctuary"
"375","Person (on loud speaker at the Powwow)"
"123","person on the phone with Winsum"
"125","Peter"
"372","Photographer"
"377","Powwow Dancers"
"139","Priests"
"83","Principal Sankiewicz"
"150","Raj (Hina'a cousin)"
"307","Ravinder Kaur"
"143","Reese Knowles"
"367","Researchers (of autism)"
"216","Residents of the Galloway Shelter"
"97","Richard"
"365","Rita"
"313","Rouge Hill Parents"
"312","Rouge Hill Secretary"
"166","Roy (Christy's boyfriend)"
"303","Ryan Hoffman"
"304","Ryan Hoffman's family"
"36","Saints"
"205","Santa"
"254","Scarborough locals"
"373","School-aged-children"
"48","Sebastian Dennis"
"243","Senior citizens (""who turned their cottages..."")"
"334","Shoplifter"
"324","Sisters of ""single mamas"""
"25","Slutty Christy"
"345","Small boy with coke-bottle glasses"
"141","Sonia DiSorono"
"153","South Asians"
"361","Specialists"
"239","Sri Lankans"
"273","St. Malachy"
"291","Streetcar driver"
"10","Sylvie Beaudoin"
"318","Sylvie's Grandpa"
"383","Sylvie's readers"
"374","Tammy"
"333","Tarek"
"70","Tasha Roy"
"286","Tenants in Lady's building"
"202","the band Kiss"
"89","the bus driver"
"115","the cashier (dollar store)"
"88","the children on the bus"
"241","The Chinese"
"167","the Creator"
"16","The doctor at the walk-in clinic"
"116","the manager (dollar store)"
"107","the orangutan's mother (in story)"
"59","The police"
"272","The Queen"
"362","The Speech Therapist"
"253","The Swiss"
"275","The third Menendez sister"
"39","Tita Mae"
"136","Tito Ferdie (Bing's uncle)"
"350","Tito Ferdie's Partner"
"344","tone-deaf band"
"321","Track worker"
"227","Travis"
"245","two refugees from El Salvador"
"269","Uncle Olly"
"256","Vet"
"96","Victor"
"284","Victor's mom"
"32","Vietnamese ladies"
"330","Visitors (of the zoo)"
"376","Visitors (to the Powwow)"
"51","Waleed Mohammed"
"14","Walk-in clinic receptionist (19)"
"229","Wendy (Cindy's Aunt)"
"255","Wendy (Cindy's dog)"
"268","Wendy Donohue"
"259","Wendy's litters"
"329","White Handed Gibbons"
"109","white kids' grandparents (77)"
"34","White people"
"346","Whitney Houston"
"147","Winston Dunst"
"121","Winsum"
"251","Winsum's cousins"
"250","Winsum's Mother"
"265","Wives (of homosexuals)"
"223","Woman (Michelle sees collapse)"
"140","Yanna Knowles"
"69","Yanna Roy"
"285","Yanna, Evan, and Tasha's Father"
"263","Young blond man"
"379","Youssef"
"328","Zookeepers"
