source,target,Character 1 <br />(choose),Character 2 <br />(choose),type,weight,startPage,category
6,26,Doctor Cordelia Lochren,John Wildstrand,Directed,1,299,Knows of
6,4,Doctor Cordelia Lochren,Judge Antone Bazil Coutts,Directed,1,298,Knows
6,5,Doctor Cordelia Lochren,Marn Wolde,Directed,1,309,Exchange
6,53,Doctor Cordelia Lochren,Marn Wolde's Father,Directed,1,309,Exchange
6,52,Doctor Cordelia Lochren,Marn Wolde's Mother,Directed,1,309,Exchange
6,163,Doctor Cordelia Lochren,Murdo Harp,Directed,1,297,Knows of
6,163,Doctor Cordelia Lochren,Murdo Harp,Directed,1,298,Knows of
6,163,Doctor Cordelia Lochren,Murdo Harp,Directed,1,299,Knows of
6,163,Doctor Cordelia Lochren,Murdo Harp,Directed,1,302,Knows of
6,163,Doctor Cordelia Lochren,Murdo Harp,Directed,1,303,Knows of
6,163,Doctor Cordelia Lochren,Murdo Harp,Directed,1,304,Knows of
6,241,Doctor Cordelia Lochren,Neptune,Directed,1,297,Knows of
6,27,Doctor Cordelia Lochren,Neve Harp,Directed,1,296,Knows
6,27,Doctor Cordelia Lochren,Neve Harp,Directed,1,299,Exchange
6,27,Doctor Cordelia Lochren,Neve Harp,Directed,1,300,Exchange
6,27,Doctor Cordelia Lochren,Neve Harp,Directed,1,301,Exchange
6,27,Doctor Cordelia Lochren,Neve Harp,Directed,1,302,Exchange
6,27,Doctor Cordelia Lochren,Neve Harp,Directed,1,303,Exchange
6,27,Doctor Cordelia Lochren,Neve Harp,Directed,1,304,Exchange
6,27,Doctor Cordelia Lochren,Neve Harp,Directed,1,305,Exchange
6,27,Doctor Cordelia Lochren,Neve Harp,Directed,1,306,Exchange
6,27,Doctor Cordelia Lochren,Neve Harp,Directed,1,307,Knows of
6,27,Doctor Cordelia Lochren,Neve Harp,Directed,1,310,Knows
6,27,Doctor Cordelia Lochren,Neve Harp,Directed,1,311,Knows
6,129,Doctor Cordelia Lochren,Neve Harp's Potential Third Husband,Directed,1,299,Knows of
6,128,Doctor Cordelia Lochren,Neve Harp's Second Husband,Directed,1,299,Knows of
6,128,Doctor Cordelia Lochren,Neve Harp's Second Husband,Directed,1,305,Knows of
6,269,Doctor Cordelia Lochren,Neve's Step Children,Directed,1,305,Knows of
6,270,Doctor Cordelia Lochren,Neve's Step Grandchildren,Directed,1,305,Knows of
6,262,Doctor Cordelia Lochren,New Hampshire Mail Carrier,Directed,1,303,Knows of
6,274,Doctor Cordelia Lochren,Nurse (who found Warren dead),Directed,1,310,Exchange
6,29,Doctor Cordelia Lochren,Octave Harp,Directed,1,297,Knows of
6,29,Doctor Cordelia Lochren,Octave Harp,Directed,1,298,Knows of
6,29,Doctor Cordelia Lochren,Octave Harp,Directed,1,299,Knows of
6,29,Doctor Cordelia Lochren,Octave Harp,Directed,1,300,Knows of
6,29,Doctor Cordelia Lochren,Octave Harp,Directed,1,301,Knows of
6,29,Doctor Cordelia Lochren,Octave Harp,Directed,1,302,Knows of
6,29,Doctor Cordelia Lochren,Octave Harp,Directed,1,303,Knows of
6,29,Doctor Cordelia Lochren,Octave Harp,Directed,1,304,Knows of
6,29,Doctor Cordelia Lochren,Octave Harp,Directed,1,306,Knows of
6,65,Doctor Cordelia Lochren,Oric Hoag,Directed,1,298,Knows
6,65,Doctor Cordelia Lochren,Oric Hoag,Directed,1,307,Knows
6,265,Doctor Cordelia Lochren,Pliny the Elder,Directed,1,303,Knows of
6,265,Doctor Cordelia Lochren,Pliny the Elder,Directed,1,304,Knows of
6,264,Doctor Cordelia Lochren,Pliny the Younger,Directed,1,303,Knows of
6,264,Doctor Cordelia Lochren,Pliny the Younger,Directed,1,304,Knows of
6,245,Doctor Cordelia Lochren,Pluto,Directed,1,297,Knows of
6,228,Doctor Cordelia Lochren,Priest (in Pluto),Directed,1,295,Knows of
6,228,Doctor Cordelia Lochren,Priest (in Pluto),Directed,1,301,Exchange
6,15,Doctor Cordelia Lochren,Seraph Milk (Mooshum),Directed,1,297,Knows
6,15,Doctor Cordelia Lochren,Seraph Milk (Mooshum),Directed,1,307,Knows of
6,15,Doctor Cordelia Lochren,Seraph Milk (Mooshum),Directed,1,308,Knows of
6,258,Doctor Cordelia Lochren,Soldiers,Directed,1,302,Knows of
6,257,Doctor Cordelia Lochren,Stamp Dealers,Directed,1,302,Knows of
6,257,Doctor Cordelia Lochren,Stamp Dealers,Directed,1,303,Knows of
6,254,Doctor Cordelia Lochren,Student (who married the swim coach),Directed,1,299,Knows of
6,253,Doctor Cordelia Lochren,Swimming Coach,Directed,1,299,Knows
6,117,Doctor Cordelia Lochren,The Kindred,Directed,1,305,Knows of
6,45,Doctor Cordelia Lochren,The Lochren Family,Directed,1,297,Knows
6,45,Doctor Cordelia Lochren,The Lochren Family,Directed,1,298,Knows
6,45,Doctor Cordelia Lochren,The Lochren Family,Directed,1,307,Knows
6,45,Doctor Cordelia Lochren,The Lochren Family,Directed,1,308,Knows
6,45,Doctor Cordelia Lochren,The Lochren Family,Directed,1,311,Knows
6,49,Doctor Cordelia Lochren,The Lochren Murder,Directed,1,297,Knows
6,49,Doctor Cordelia Lochren,The Lochren Murder,Directed,1,298,Knows
6,49,Doctor Cordelia Lochren,The Lochren Murder,Directed,1,307,Knows
6,49,Doctor Cordelia Lochren,The Lochren Murder,Directed,1,308,Knows
6,49,Doctor Cordelia Lochren,The Lochren Murder,Directed,1,311,Knows of
6,50,Doctor Cordelia Lochren,The Lynching,Directed,1,297,Knows of
6,50,Doctor Cordelia Lochren,The Lynching,Directed,1,307,Knows of
6,50,Doctor Cordelia Lochren,The Lynching,Directed,1,308,Knows of
6,152,Doctor Cordelia Lochren,Tobek Hess,Directed,1,297,Knows of
6,152,Doctor Cordelia Lochren,Tobek Hess,Directed,1,298,Knows of
6,152,Doctor Cordelia Lochren,Tobek Hess,Directed,1,307,Knows of
6,152,Doctor Cordelia Lochren,Tobek Hess,Directed,1,308,Knows of
6,230,Doctor Cordelia Lochren,Town Council,Directed,1,295,Knows of
6,157,Doctor Cordelia Lochren,Townsmen (involved in the lynching),Directed,1,297,Knows of
6,272,Doctor Cordelia Lochren,Undertaker (for the Lochren Family),Directed,1,307,Knows
6,244,Doctor Cordelia Lochren,Venus,Directed,1,297,Knows of
6,8,Doctor Cordelia Lochren,Warren Wolde,Directed,1,307,Exchange
6,8,Doctor Cordelia Lochren,Warren Wolde,Directed,1,309,Exchange
6,8,Doctor Cordelia Lochren,Warren Wolde,Directed,1,310,Exchange
6,8,Doctor Cordelia Lochren,Warren Wolde,Directed,1,311,Exchange
6,273,Doctor Cordelia Lochren,Warren Wolde's Lawyer,Directed,1,310,Exchange
6,261,Doctor Cordelia Lochren,Wealthy Brazilian Woman,Directed,1,303,Knows of
6,261,Doctor Cordelia Lochren,Wealthy Brazilian Woman,Directed,1,304,Knows of
6,234,Doctor Cordelia Lochren,Young Mothers,Directed,1,296,Knows of
6,240,Doctor Cordelia Lochren,Zeus,Directed,1,297,Knows of
165,23,Earl,"""[S]mall town stripper""",Directed,1,295,Knows
165,6,Earl,Doctor Cordelia Lochren,Directed,1,302,Exchange
18,163,Edward Harp,Murdo Harp,Directed,1,303,Exchange
18,27,Edward Harp,Neve Harp,Directed,1,300,Knows
18,27,Edward Harp,Neve Harp,Directed,1,301,Knows
18,27,Edward Harp,Neve Harp,Directed,1,303,Exchange
18,27,Edward Harp,Neve Harp,Directed,1,306,Knows
151,6,Electa Hoag,Doctor Cordelia Lochren,Directed,1,298,Knows
151,6,Electa Hoag,Doctor Cordelia Lochren,Directed,1,307,Exchange
151,249,Electa Hoag,Electa and Tobek's Parents,Directed,1,298,Knows
