source,target,Char 1 Name,Char 2 Name,startPage,type,weight
1,58,Speaker Jordan Abel,"""Pole of Sagaween""",3.0,Undirected,1
1,60,Speaker Jordan Abel,collage photos,3.0,Undirected,1
58,60,"""Pole of Sagaween""",collage photos,3.0,Undirected,1
1,58,Speaker Jordan Abel,"""Pole of Sagaween""",3.4,Undirected,1
58,53,"""Pole of Sagaween""",blank (missing null option here),3.4,Undirected,1
1,53,Speaker Jordan Abel,blank (missing null option here),3.4,Undirected,1
4,7,"Gisk'aast (""Gyispawaduwada""/Killer Whale Clan)","Oyee (""Oyai"")",5.0,Undirected,1
14,57,Real Marius Barbeau,Macmillan Company of Canada,5.0,Undirected,1
4,56,"Gisk'aast (""Gyispawaduwada""/Killer Whale Clan)",Caxton Printers,5.0,Undirected,1
5,54,"""Sispagut"" (Gisk'aast)","""ancestors of Eagles""",5.0,Undirected,1
3,57,"""Eagle-Raven clan""",Macmillan Company of Canada,5.0,Undirected,1
56,57,Caxton Printers,Macmillan Company of Canada,5.0,Undirected,1
6,7,"""Hladerh"" (Laxgibuu)","Oyee (""Oyai"")",5.0,Undirected,1
3,54,"""Eagle-Raven clan""","""ancestors of Eagles""",5.0,Undirected,1
3,5,"""Eagle-Raven clan""","""Sispagut"" (Gisk'aast)",5.0,Undirected,1
54,57,"""ancestors of Eagles""",Macmillan Company of Canada,5.0,Undirected,1
20,55,"Laxgibuu (""Wolf clan"")","""ancestors of Wolves""",5.0,Undirected,1
7,55,"Oyee (""Oyai"")","""ancestors of Wolves""",5.0,Undirected,1
6,56,"""Hladerh"" (Laxgibuu)",Caxton Printers,5.0,Undirected,1
14,54,Real Marius Barbeau,"""ancestors of Eagles""",5.0,Undirected,1
7,14,"Oyee (""Oyai"")",Real Marius Barbeau,5.0,Undirected,1
2,55,"Sag̱aween/""Sakau'wan""/""Chief Mountain"" (Laxsgiik)","""ancestors of Wolves""",5.0,Undirected,1
5,14,"""Sispagut"" (Gisk'aast)",Real Marius Barbeau,5.0,Undirected,1
2,7,"Sag̱aween/""Sakau'wan""/""Chief Mountain"" (Laxsgiik)","Oyee (""Oyai"")",5.0,Undirected,1
3,20,"""Eagle-Raven clan""","Laxgibuu (""Wolf clan"")",5.0,Undirected,1
14,20,Real Marius Barbeau,"Laxgibuu (""Wolf clan"")",5.0,Undirected,1
2,3,"Sag̱aween/""Sakau'wan""/""Chief Mountain"" (Laxsgiik)","""Eagle-Raven clan""",5.0,Undirected,1
5,20,"""Sispagut"" (Gisk'aast)","Laxgibuu (""Wolf clan"")",5.0,Undirected,1
7,54,"Oyee (""Oyai"")","""ancestors of Eagles""",5.0,Undirected,1
2,6,"Sag̱aween/""Sakau'wan""/""Chief Mountain"" (Laxsgiik)","""Hladerh"" (Laxgibuu)",5.0,Undirected,1
6,55,"""Hladerh"" (Laxgibuu)","""ancestors of Wolves""",5.0,Undirected,1
7,57,"Oyee (""Oyai"")",Macmillan Company of Canada,5.0,Undirected,1
20,54,"Laxgibuu (""Wolf clan"")","""ancestors of Eagles""",5.0,Undirected,1
54,56,"""ancestors of Eagles""",Caxton Printers,5.0,Undirected,1
20,57,"Laxgibuu (""Wolf clan"")",Macmillan Company of Canada,5.0,Undirected,1
3,56,"""Eagle-Raven clan""",Caxton Printers,5.0,Undirected,1
3,14,"""Eagle-Raven clan""",Real Marius Barbeau,5.0,Undirected,1
2,4,"Sag̱aween/""Sakau'wan""/""Chief Mountain"" (Laxsgiik)","Gisk'aast (""Gyispawaduwada""/Killer Whale Clan)",5.0,Undirected,1
