Name,Color,HEX Code
Billy Peace,salmon,
Corwin Peace,green,
Doctor Cordelia Lochren,chartreuse,
Evelina Harp,blue,
Henri Peace,magenta,
Judge Antone Bazil Coutts,yellow,
Lafayette Peace,cyan,
Marn Wolde,red,
SOLO Narrator,gray,
Seraph Milk,purple,
Shamengwa Milk,orange,
Warren Wolde,violet,
