Name,Color,HEX Code
Atticus,magenta,#FF00FF
Boo Radley,cyan,#00FFFF
Dill,yellow,#FFFF00
Jem,blue,#2891ff
Scout,red,#FF0000
Tom Robinson,green,#00FF00
