Name,Color,HEX Code
3rd-Person,Gray,#C0C0C0
Alabaster,Blue,#2891ff
Damaya,Yellow,#FFFF00
Essun,Red,#FF0000
Hoa,Cyan,#00FFFF
Schaffa,Magenta,#FF00FF
Syenite,Orange,#FFA500
