id,Type of Relationship,Character 1,Character 2,Is Reciprocal?,Narrative Container,Start Page,End Page
86,"Exchange","""the boys"" (who worked for Pokey) (12)","Timmy Hanrahan","1","Bobby","11","11"
87,"Exchange","Bobby Mahon","Triona Cahill/Mahon","1","Bobby","12","15"
88,"Knows of","Bobby Mahon","""smart boys"" (12)","0","Bobby","12","14"
89,"Exchange","""smart boys"" (12)","Triona Cahill/Mahon","1","Bobby","13","13"
90,"Knows","Triona Cahill/Mahon","Frank Mahon","1","Bobby","13","13"
91,"Exchange","Bobby Mahon","Frank Mahon","1","Bobby","13","13"
92,"Knows","Bobby Mahon","Bobby's Mother","1","Bobby","13","13"
93,"Knows","Bobby's Mother","Frank Mahon","1","Bobby","13","13"
94,"Knows","""the boys"" (who worked for Pokey) (12)","Pokey Burke","1","Bobby","13","13"
95,"Knows of","Bobby Mahon","the Cunliffes' son","0","Bobby","13","14"
96,"Knows of","Bobby Mahon","Eugene Penrose","0","Bobby","13","13"
97,"Exchange","Eugene Penrose","the Cunliffes' son","0","Bobby","13","13"
98,"Knows of","Bobby Mahon","the Penroses","0","Bobby","13","13"
99,"Knows","the Penroses","Eugene Penrose","1","Bobby","13","13"
100,"Knows","the Cunliffes","the Cunliffes' son","1","Bobby","13","13"
101,"Knows of","Bobby Mahon","the Cunliffes","0","Bobby","13","13"
102,"Knows","the Cunliffes' son's aunt","the Cunliffes' son","1","Bobby","13","13"
103,"Knows of","Bobby Mahon","the Cunliffes' son's aunt","0","Bobby","13","13"
104,"Knows of","Bobby Mahon","""a lad from the village"" (14)","0","Bobby","14","14"
105,"Knows","Bobby Mahon","Pawsy Rogers","1","Bobby","14","14"
106,"Exchange","""a lad from the village"" (14)","Pawsy Rogers","1","Bobby","14","14"
107,"Knows of","Bobby Mahon","King Lear","0","Bobby","14","14"
108,"Knows of","Bobby Mahon","Goneril","0","Bobby","14","14"
109,"Knows of","Bobby Mahon","Regan","0","Bobby","14","14"
110,"Knows","Bobby Mahon","Cordelia","0","Bobby","14","14"
111,"Knows","King Lear","Goneril","1","Bobby","14","14"
112,"Knows","King Lear","Regan","1","Bobby","14","14"
113,"Knows","King Lear","Cordelia","1","Bobby","14","14"
114,"Exchange","Bobby Mahon","Josie Burke","1","Bobby","14","15"
115,"Knows","Bobby Mahon","Pokey Burke","1","Bobby","14","15"
116,"Knows","Josie Burke","Pokey Burke","1","Bobby","14","14"
117,"Knows of","Bobby Mahon","taxman","0","Bobby","15","15"
118,"Knows of","Bobby Mahon","welfare inspectors","0","Bobby","15","15"
119,"Knows","Bobby Mahon","Seanie Shaper (Sean Shanahan)","1","Bobby","15","16"
120,"Knows","Bobby Mahon","Rory Slattery","1","Bobby","15","15"
121,"Knows","Triona Cahill/Mahon","Seanie Shaper (Sean Shanahan)","1","Bobby","15","15"
122,"Knows","Triona Cahill/Mahon","Rory Slattery","1","Bobby","15","15"
123,"Knows","Bobby Mahon","God","0","Bobby","15","15"
124,"Knows","Bobby Mahon","Frank Mahon","1","Bobby","15","19"
125,"Knows","Bobby Mahon","Seanie's brothers","1","Bobby","16","16"
126,"Knows","Bobby Mahon","Seanie's Father","1","Bobby","16","16"
127,"Knows","Bobby Mahon","Seanie's Mother","1","Bobby","16","16"
128,"Knows","Bobby Mahon","Seanie's sister","1","Bobby","16","16"
129,"Exchange","Seanie Shaper (Sean Shanahan)","Seanie's brothers","1","Bobby","16","16"
130,"Exchange","Seanie Shaper (Sean Shanahan)","Seanie's Father","1","Bobby","16","16"
131,"Exchange","Seanie Shaper (Sean Shanahan)","Seanie's Mother","1","Bobby","16","16"
132,"Exchange","Seanie Shaper (Sean Shanahan)","Seanie's sister","1","Bobby","16","16"
133,"Exchange","Seanie's brothers","Seanie's Father","1","Bobby","16","16"
134,"Exchange","Seanie's brothers","Seanie's Mother","1","Bobby","16","16"
135,"Exchange","Seanie's brothers","Seanie's sister","1","Bobby","16","16"
136,"Exchange","Seanie's Father","Seanie's Mother","1","Bobby","16","16"
137,"Exchange","Seanie's Father","Seanie's sister","1","Bobby","16","16"
138,"Exchange","Seanie's Mother","Seanie's sister","1","Bobby","16","16"
139,"Knows","Bobby Mahon","Ciss Brien","0","Bobby","11","11"
140,"Exchange","Bobby Mahon","Bobby's ""Grandad""","1","Bobby","17","18"
141,"Exchange","Frank Mahon","Bobby's ""Grandad""","1","Bobby","17","18"
142,"Exchange","Paulie Jackman","Frank Mahon","1","Bobby","17","17"
143,"Exchange","Frank Mahon","Ciss Brien","1","Bobby","17","17"
144,"Knows","""old guard in front of Ciss's front bar"" (17)","Frank Mahon","1","Bobby","17","17"
145,"Exchange","Frank Mahon","Men (Frank didn't like)","1","Bobby","17","17"
146,"Exchange","Frank Mahon","Women (""common whores"") (17)","1","Bobby","17","17"
147,"Knows","Frank Mahon","Bobby's Mother","1","Bobby","18","18"
148,"Knows","Bobby Mahon","Bobby's Mother","1","Bobby","18","19"
149,"Exchange","Bobby Mahon","Pokey Burke","1","Bobby","19","19"
150,"Exchange","Triona Cahill/Mahon","Bobby Mahon","1","Bobby","19","20"
151,"Exchange","Triona Cahill/Mahon","Triona's friend","1","Bobby","19","19"
152,"Knows","Triona's friend","Bobby Mahon","1","Bobby","19","19"
153,"Knows of","Triona's friend","Frank Mahon","0","Bobby","19","19"
154,"Knows of","Triona's friend","Bobby's Mother","0","Bobby","19","19"
155,"Knows of","Triona Cahill/Mahon","Frank Mahon","0","Bobby","19","19"
156,"Knows of","Triona Cahill/Mahon","Bobby's Mother","0","Bobby","19","19"
157,"Exchange","Pokey Burke","Triona Cahill/Mahon","1","Bobby","19","19"
158,"Knows","Bobby Mahon","God","0","Bobby","20","20"
159,"Knows","Pokey Burke","Bobby Mahon","1","Bobby","20","20"
160,"Exchange","Actor (playing the husband)","Actress (playing the wife)","1","Bobby","20","20"
161,"Exchange","Actor (playing the husband)","Bobby Mahon","1","Bobby","20","20"
162,"Exchange","Actress (playing the wife)","Bobby Mahon","1","Bobby","20","20"
163,"Exchange","Actor (playing the husband)","Triona Cahill/Mahon","0","Bobby","20","20"
164,"Exchange","Actress (playing the wife)","Triona Cahill/Mahon","0","Bobby","20","20"
165,"Knows","Josie Burke","Eamonn Burke","1","Josie","21","21"
166,"Knows","Josie Burke","Pokey Burke","1","Josie","21","22"
167,"Knows","Eamonn Burke","Pokey Burke","1","Josie","21","21"
168,"Exchange","Josie Burke","Bobby Mahon","1","Josie","21","22"
169,"Knows","Bobby Mahon","Pokey Burke","1","Josie","21","22"
170,"Exchange","Josie Burke","Eileen Burke","1","Josie","22","24"
171,"Knows","Eileen Burke","Pokey Burke","1","Josie","22","22"
172,"Knows","Josie Burke","God","0","Josie","22","22"
173,"Exchange","Josie Burke","Mags Burke","1","Josie","23","23"
174,"Knows of","Mags Burke","Tibetan Monks","0","Josie","23","23"
175,"Knows of","Josie Burke","Tibetan Monks","0","Josie","23","23"
176,"Knows","Josie Burke","""great big fat fella"" (Josie worked for) (23)","1","Josie","23","23"
177,"Knows","""four or five boys"" (Josie brought with him) (23)","Josie Burke","1","Josie","23","23"
178,"Exchange","Josie Burke","Lily","1","Josie","24","24"
179,"Exchange","Josie Burke","Josie Burke Sr.","1","Josie","24","24"
180,"Knows","Josie Burke","Pokey Burke","1","Josie","24","25"
181,"Knows","Pokey Burke","""the boys"" (who worked for Pokey) (12)","1","Josie","24","24"
182,"Knows","Eileen Burke","Pokey Burke","1","Josie","25","25"
183,"Knows","Eamonn Burke","Pokey Burke","1","Josie","25","26"
184,"Exchange","Josie Burke","Eamonn Burke","1","Josie","25","26"
185,"Exchange","Josie Burke","God","0","Josie","25","25"
186,"Knows","John Cotter","Josie Burke","1","Josie","25","25"
187,"Knows","Eamonn Burke","""other teachers"" (26)","1","Josie","26","26"
188,"Knows","Eamonn Burke","""young lads"" (26)","1","Josie","26","26"
189,"Knows","Eamonn Burke","Yvonne Burke","1","Josie","26","26"
190,"Knows","Eamonn Burke","Yvonne's family","1","Josie","26","26"
191,"Knows","Yvonne Burke","Yvonne's family","1","Josie","26","26"
