source,target,Char 1 Name,Char 2 Name,startPage,type,weight
12,52,Seanie Shaper (Sean Shanahan),"""the boys"" (who worked for Pokey)",12,Undirected,1
22,53,Pokey Burke,"""smart boys""",12,Undirected,1
1,21,Bobby Mahon,Triona Cahill/Mahon,12,Undirected,1
6,21,Timmy Hanrahan,Triona Cahill/Mahon,12,Undirected,1
6,15,Timmy Hanrahan,Rory Slattery,12,Undirected,1
51,53,"""little blonde girl""","""smart boys""",12,Undirected,1
21,22,Triona Cahill/Mahon,Pokey Burke,12,Undirected,1
6,51,Timmy Hanrahan,"""little blonde girl""",12,Undirected,1
12,22,Seanie Shaper (Sean Shanahan),Pokey Burke,12,Undirected,1
1,52,Bobby Mahon,"""the boys"" (who worked for Pokey)",12,Undirected,1
15,51,Rory Slattery,"""little blonde girl""",12,Undirected,1
52,21,"""the boys"" (who worked for Pokey)",Triona Cahill/Mahon,12,Undirected,1
1,21,Bobby Mahon,Triona Cahill/Mahon,13,Undirected,1
56,58,the Penroses,the Cunliffes' son's aunt,13,Undirected,1
20,53,Frank Mahon,"""smart boys""",13,Undirected,1
56,55,the Penroses,the Cunliffes' son,13,Undirected,1
21,58,Triona Cahill/Mahon,the Cunliffes' son's aunt,13,Undirected,1
54,58,Bobby's Mother,the Cunliffes' son's aunt,13,Undirected,1
54,55,Bobby's Mother,the Cunliffes' son,13,Undirected,1
1,52,Bobby Mahon,"""the boys"" (who worked for Pokey)",13,Undirected,1
1,58,Bobby Mahon,the Cunliffes' son's aunt,13,Undirected,1
56,22,the Penroses,Pokey Burke,13,Undirected,1
1,55,Bobby Mahon,the Cunliffes' son,13,Undirected,1
21,52,Triona Cahill/Mahon,"""the boys"" (who worked for Pokey)",13,Undirected,1
54,52,Bobby's Mother,"""the boys"" (who worked for Pokey)",13,Undirected,1
21,55,Triona Cahill/Mahon,the Cunliffes' son,13,Undirected,1
33,20,Eugene Penrose,Frank Mahon,13,Undirected,1
56,52,the Penroses,"""the boys"" (who worked for Pokey)",13,Undirected,1
55,57,the Cunliffes' son,the Cunliffes,13,Undirected,1
52,58,"""the boys"" (who worked for Pokey)",the Cunliffes' son's aunt,13,Undirected,1
21,22,Triona Cahill/Mahon,Pokey Burke,13,Undirected,1
33,54,Eugene Penrose,Bobby's Mother,13,Undirected,1
54,22,Bobby's Mother,Pokey Burke,13,Undirected,1
52,55,"""the boys"" (who worked for Pokey)",the Cunliffes' son,13,Undirected,1
33,57,Eugene Penrose,the Cunliffes,13,Undirected,1
21,57,Triona Cahill/Mahon,the Cunliffes,13,Undirected,1
1,20,Bobby Mahon,Frank Mahon,13,Undirected,1
20,58,Frank Mahon,the Cunliffes' son's aunt,13,Undirected,1
20,52,Frank Mahon,"""the boys"" (who worked for Pokey)",13,Undirected,1
21,54,Triona Cahill/Mahon,Bobby's Mother,13,Undirected,1
1,57,Bobby Mahon,the Cunliffes,13,Undirected,1
52,57,"""the boys"" (who worked for Pokey)",the Cunliffes,13,Undirected,1
1,54,Bobby Mahon,Bobby's Mother,13,Undirected,1
53,22,"""smart boys""",Pokey Burke,13,Undirected,1
33,53,Eugene Penrose,"""smart boys""",13,Undirected,1
20,22,Frank Mahon,Pokey Burke,13,Undirected,1
56,21,the Penroses,Triona Cahill/Mahon,13,Undirected,1
33,56,Eugene Penrose,the Penroses,13,Undirected,1
22,57,Pokey Burke,the Cunliffes,13,Undirected,1
58,55,the Cunliffes' son's aunt,the Cunliffes' son,13,Undirected,1
1,33,Bobby Mahon,Eugene Penrose,13,Undirected,1
33,55,Eugene Penrose,the Cunliffes' son,13,Undirected,1
33,52,Eugene Penrose,"""the boys"" (who worked for Pokey)",13,Undirected,1
56,20,the Penroses,Frank Mahon,13,Undirected,1
20,21,Frank Mahon,Triona Cahill/Mahon,13,Undirected,1
58,57,the Cunliffes' son's aunt,the Cunliffes,13,Undirected,1
22,55,Pokey Burke,the Cunliffes' son,13,Undirected,1
22,58,Pokey Burke,the Cunliffes' son's aunt,13,Undirected,1
22,52,Pokey Burke,"""the boys"" (who worked for Pokey)",13,Undirected,1
53,55,"""smart boys""",the Cunliffes' son,13,Undirected,1
53,58,"""smart boys""",the Cunliffes' son's aunt,13,Undirected,1
56,57,the Penroses,the Cunliffes,13,Undirected,1
53,52,"""smart boys""","""the boys"" (who worked for Pokey)",13,Undirected,1
54,57,Bobby's Mother,the Cunliffes,13,Undirected,1
20,55,Frank Mahon,the Cunliffes' son,13,Undirected,1
56,54,the Penroses,Bobby's Mother,13,Undirected,1
33,22,Eugene Penrose,Pokey Burke,13,Undirected,1
20,57,Frank Mahon,the Cunliffes,13,Undirected,1
54,53,Bobby's Mother,"""smart boys""",13,Undirected,1
21,53,Triona Cahill/Mahon,"""smart boys""",13,Undirected,1
20,54,Frank Mahon,Bobby's Mother,13,Undirected,1
33,21,Eugene Penrose,Triona Cahill/Mahon,13,Undirected,1
1,22,Bobby Mahon,Pokey Burke,13,Undirected,1
56,53,the Penroses,"""smart boys""",13,Undirected,1
53,57,"""smart boys""",the Cunliffes,13,Undirected,1
33,58,Eugene Penrose,the Cunliffes' son's aunt,13,Undirected,1
1,53,Bobby Mahon,"""smart boys""",13,Undirected,1
1,56,Bobby Mahon,the Penroses,13,Undirected,1
21,22,Triona Cahill/Mahon,Pokey Burke,14,Undirected,1
22,63,Pokey Burke,Regan,14,Undirected,1
59,61,"""a lad from the village""",King Lear,14,Undirected,1
22,60,Pokey Burke,Pawsy Rogers,14,Undirected,1
55,63,the Cunliffes' son,Regan,14,Undirected,1
64,62,Cordelia,Goneril,14,Undirected,1
53,59,"""smart boys""","""a lad from the village""",14,Undirected,1
55,53,the Cunliffes' son,"""smart boys""",14,Undirected,1
