id,Type of Relationship,Character 1,Character 2,Is Reciprocal?,Narrative Container,Start Page,End Page
79,"Knows","Mr. Bennet","Lydia Bennet","1","Chapter I (V2)","135","135"
80,"Knows","Mr. Bennet","Kitty Bennet","1","Chapter I (V2)","135","135"
81,"Knows","Mrs. Bennet","Mr. Bennet","1","Chapter I (V2)","135","135"
82,"Knows","Mrs. Bennet","Mary Bennet","1","Chapter I (V2)","135","135"
83,"Knows","Mrs. Bennet","Lydia Bennet","1","Chapter I (V2)","135","135"
84,"Knows","Mrs. Bennet","Kitty Bennet","1","Chapter I (V2)","135","135"
85,"Knows","Jane Bennet","Mary Bennet","1","Chapter I (V2)","135","135"
86,"Knows","Jane Bennet","Lydia Bennet","1","Chapter I (V2)","135","135"
87,"Knows","Jane Bennet","Kitty Bennet","1","Chapter I (V2)","135","135"
88,"Knows","Elizabeth Bennet","Mary Bennet","1","Chapter I (V2)","135","135"
89,"Knows","Elizabeth Bennet","Lydia Bennet","1","Chapter I (V2)","135","135"
90,"Knows","Elizabeth Bennet","Kitty Bennet","1","Chapter I (V2)","135","135"
91,"Knows","Mary Bennet","Lydia Bennet","1","Chapter I (V2)","135","135"
92,"Knows","Mary Bennet","Kitty Bennet","1","Chapter I (V2)","135","135"
93,"Knows","Lydia Bennet","Kitty Bennet","1","Chapter I (V2)","135","135"
94,"Knows","Mr. Wickham","Mrs. Bennet","1","Chapter I (V2)","135","135"
95,"Knows","Mr. Wickham","Jane Bennet","1","Chapter I (V2)","135","135"
96,"Knows","Mr. Wickham","Mary Bennet","1","Chapter I (V2)","135","135"
97,"Knows","Mr. Wickham","Lydia Bennet","1","Chapter I (V2)","135","135"
98,"Knows","Mr. Wickham","Kitty Bennet","1","Chapter I (V2)","135","135"
99,"Knows","Mr. Wickham","Mr. Darcy","1","Chapter I (V2)","135","136"
100,"Knows","Mrs. Bennet","Mr. Darcy","1","Chapter I (V2)","135","136"
101,"Knows","Mr. Bennet","Mr. Darcy","1","Chapter I (V2)","135","136"
103,"Knows","Mary Bennet","Mr. Darcy","1","Chapter I (V2)","135","136"
104,"Knows","Lydia Bennet","Mr. Darcy","1","Chapter I (V2)","135","136"
105,"Knows","Kitty Bennet","Mr. Darcy","1","Chapter I (V2)","135","136"
106,"Knows","Mr. Collins","Charlotte Lucas","1","Chapter II (V2)","137","137"
107,"Exchange","Mr. Collins","Mr. Bennet","1","Chapter II (V2)","137","137"
108,"Knows","Mr. Collins","Mrs. Bennet","1","Chapter II (V2)","137","137"
109,"Exchange","Mr. Collins","Jane Bennet","1","Chapter II (V2)","137","137"
110,"Exchange","Mr. Collins","Elizabeth Bennet","1","Chapter II (V2)","137","137"
111,"Exchange","Mr. Collins","Mary Bennet","1","Chapter II (V2)","137","137"
112,"Exchange","Mr. Collins","Lydia Bennet","1","Chapter II (V2)","137","137"
113,"Exchange","Mr. Collins","Kitty Bennet","1","Chapter II (V2)","137","137"
114,"Knows","Mrs. Bennet","Mr. Gardiner","1","Chapter II (V2)","137","137"
115,"Knows","Mrs. Bennet","Mrs. Gardiner","1","Chapter II (V2)","137","137"
116,"Knows","Mrs. Bennet","Mrs. Philips","1","Chapter II (V2)","137","137"
117,"Knows","Mrs. Gardiner","Mr. Gardiner","1","Chapter II (V2)","137","137"
118,"Knows","Mr. Gardiner","Mrs. Philips","1","Chapter II (V2)","137","137"
119,"Knows","Mrs. Gardiner","Jane Bennet","1","Chapter II (V2)","137","140"
120,"Knows","Mrs. Gardiner","Elizabeth Bennet","1","Chapter II (V2)","137","137"
121,"Knows","Mrs. Gardiner","Mary Bennet","1","Chapter II (V2)","137","137"
122,"Knows","Mrs. Gardiner","Lydia Bennet","1","Chapter II (V2)","137","137"
123,"Knows","Mrs. Gardiner","Kitty Bennet","1","Chapter II (V2)","137","137"
124,"Exchange","Mrs. Bennet","Mrs. Gardiner","1","Chapter II (V2)","138","138"
125,"Knows","Mrs. Bennet","Jane Bennet","1","Chapter II (V2)","138","138"
126,"Knows","Mrs. Bennet","Elizabeth Bennet","1","Chapter II (V2)","138","138"
127,"Knows","Mrs. Bennet","Mr. Bingley","1","Chapter II (V2)","138","138"
128,"Knows","Mrs. Bennet","Mr. Collins","1","Chapter II (V2)","138","138"
129,"Exchange","Mrs. Gardiner","Elizabeth Bennet","1","Chapter II (V2)","138","140"
130,"Knows","Jane Bennet","Mr. Bingley","1","Chapter II (V2)","138","138"
131,"Knows","Mrs. Bennet","Lady Lucas","1","Chapter II (V2)","138","138"
132,"Knows","Mrs. Bennet","Charlotte Lucas","1","Chapter II (V2)","138","138"
133,"Knows","Mrs. Bennet","Sir William Lucas","1","Chapter II (V2)","138","138"
134,"Knows","Mrs. Bennet","Lucas brothers","1","Chapter II (V2)","138","138"
135,"Knows","Mrs. Gardiner","Mr. Bingley","0","Chapter II (V2)","138","139"
136,"Knows","Mrs. Gardiner","Mr. Collins","0","Chapter II (V2)","138","138"
137,"Knows","Mrs. Gardiner","Lady Lucas","0","Chapter II (V2)","138","138"
138,"Knows","Mrs. Gardiner","Sir William Lucas","0","Chapter II (V2)","138","138"
139,"Knows","Mrs. Bennet","Young Lucas","1","Chapter II (V2)","138","138"
140,"Knows","Mrs. Gardiner","Young Lucas","0","Chapter II (V2)","138","138"
141,"Knows","Mrs. Gardiner","Lucas brothers","0","Chapter II (V2)","138","138"
142,"Knows","Jane Bennet","Mr. Bingley","1","Chapter II (V2)","138","139"
143,"Knows","Jane Bennet","Elizabeth Bennet","1","Chapter II (V2)","138","140"
144,"Knows","Elizabeth Bennet","Mr. Darcy","1","Chapter II (V2)","139","139"
145,"Knows","Mrs. Gardiner","Mr. Darcy","0","Chapter II (V2)","139","139"
146,"Knows","Mr. Darcy","Mr. Bingley","1","Chapter II (V2)","139","139"
147,"Knows","Elizabeth Bennet","Mr. Bingley","1","Chapter II (V2)","138","140"
148,"Knows","Jane Bennet","Miss Bingley","1","Chapter II (V2)","139","140"
149,"Knows","Mrs. Gardiner","Miss Bingley","0","Chapter II (V2)","139","139"
150,"Knows","Elizabeth Bennet","Miss Bingley","1","Chapter II (V2)","139","139"
151,"Knows","Mrs. Gardiner","Mr. Gardiner","1","Chapter II (V2)","140","140"
