,id_cont,Title <br />(100 chars),Level <br />(choose),Start Page_cont,End Page_cont,Narrator <br />(choose),Protagonist <br />(choose),Embed. Type <br />(choose),id_rel,Type of Relationship <br />(choose),Character 1 <br />(choose),Character 2 <br />(choose),Is Reciprocal? <br />(choose),Narrative Container <br />(choose),Start Page_rel,End Page_rel,index
34,83,Dene Oxendene (I),level 2 (sub-section),27,44,[NULL],Dene Oxendene,[NULL],217,Knows,Dene Oxendene,Lucas,1,Dene Oxendene (I),29,30,
35,83,Dene Oxendene (I),level 2 (sub-section),27,44,[NULL],Dene Oxendene,[NULL],218,Exchange,Dene Oxendene,Norma,1,Dene Oxendene (I),30,30,
36,83,Dene Oxendene (I),level 2 (sub-section),27,44,[NULL],Dene Oxendene,[NULL],220,Exchange,Dene Oxendene,Lucas,1,Dene Oxendene (I),30,33,
37,83,Dene Oxendene (I),level 2 (sub-section),27,44,[NULL],Dene Oxendene,[NULL],223,Knows of,Dene Oxendene,Opal Viola Victoria Bear Shield,0,Dene Oxendene (I),32,32,
38,83,Dene Oxendene (I),level 2 (sub-section),27,44,[NULL],Dene Oxendene,[NULL],225,Knows,Dene Oxendene,Norma,1,Dene Oxendene (I),33,33,
39,83,Dene Oxendene (I),level 2 (sub-section),27,44,[NULL],Dene Oxendene,[NULL],226,Exchange,Dene Oxendene,Norma,1,Dene Oxendene (I),34,36,
40,83,Dene Oxendene (I),level 2 (sub-section),27,44,[NULL],Dene Oxendene,[NULL],227,Exchange,Dene Oxendene,Lucas,1,Dene Oxendene (I),36,37,
41,83,Dene Oxendene (I),level 2 (sub-section),27,44,[NULL],Dene Oxendene,[NULL],228,Exchange,Dene Oxendene,Rob,1,Dene Oxendene (I),37,39,
42,83,Dene Oxendene (I),level 2 (sub-section),27,44,[NULL],Dene Oxendene,[NULL],230,Knows of,Dene Oxendene,Gertrude Stein,0,Dene Oxendene (I),38,39,
43,83,Dene Oxendene (I),level 2 (sub-section),27,44,[NULL],Dene Oxendene,[NULL],231,Exchange,Dene Oxendene,"""youngish Hispanic guy"" (grant judge)",1,Dene Oxendene (I),39,41,
44,83,Dene Oxendene (I),level 2 (sub-section),27,44,[NULL],Dene Oxendene,[NULL],232,Exchange,Dene Oxendene,"""Old white lady"" (grant judge)",1,Dene Oxendene (I),39,41,
45,83,Dene Oxendene (I),level 2 (sub-section),27,44,[NULL],Dene Oxendene,[NULL],233,Exchange,Dene Oxendene,"""middle-aged white lady"" (2) (grant judge)",1,Dene Oxendene (I),39,41,
46,83,Dene Oxendene (I),level 2 (sub-section),27,44,[NULL],Dene Oxendene,[NULL],234,Exchange,Dene Oxendene,"""middle-aged white lady"" (1) (grant judge)",1,Dene Oxendene (I),39,41,
