source,target,startPage,type,weight
67,103,39,Undirected,1
100,103,39,Undirected,1
67,100,39,Undirected,1
102,103,39,Undirected,1
97,67,39,Undirected,1
96,99,39,Undirected,1
99,95,39,Undirected,1
96,102,39,Undirected,1
98,99,39,Undirected,1
101,95,39,Undirected,1
98,102,39,Undirected,1
99,104,39,Undirected,1
101,104,39,Undirected,1
104,103,39,Undirected,1
103,95,39,Undirected,1
97,100,39,Undirected,1
97,103,39,Undirected,1
67,99,39,Undirected,1
100,99,39,Undirected,1
67,102,39,Undirected,1
100,102,39,Undirected,1
102,99,39,Undirected,1
96,98,39,Undirected,1
98,92,40,Undirected,1
99,103,40,Undirected,1
98,101,40,Undirected,1
99,100,40,Undirected,1
98,104,40,Undirected,1
101,103,40,Undirected,1
98,67,40,Undirected,1
67,92,40,Undirected,1
97,99,40,Undirected,1
100,92,40,Undirected,1
97,102,40,Undirected,1
67,101,40,Undirected,1
100,101,40,Undirected,1
102,92,40,Undirected,1
67,104,40,Undirected,1
100,104,40,Undirected,1
102,104,40,Undirected,1
98,100,40,Undirected,1
98,103,40,Undirected,1
99,102,40,Undirected,1
104,92,40,Undirected,1
101,102,40,Undirected,1
97,92,40,Undirected,1
97,98,40,Undirected,1
97,101,40,Undirected,1
97,104,40,Undirected,1
67,103,40,Undirected,1
100,103,40,Undirected,1
67,100,40,Undirected,1
102,103,40,Undirected,1
97,67,40,Undirected,1
99,92,40,Undirected,1
99,101,40,Undirected,1
98,99,40,Undirected,1
101,92,40,Undirected,1
99,104,40,Undirected,1
98,102,40,Undirected,1
103,92,40,Undirected,1
101,104,40,Undirected,1
103,104,40,Undirected,1
97,100,40,Undirected,1
97,103,40,Undirected,1
99,67,40,Undirected,1
67,102,40,Undirected,1
100,102,40,Undirected,1
99,103,41,Undirected,1
98,101,41,Undirected,1
98,104,41,Undirected,1
101,103,41,Undirected,1
98,67,41,Undirected,1
97,99,41,Undirected,1
67,101,41,Undirected,1
97,102,41,Undirected,1
100,101,41,Undirected,1
67,104,41,Undirected,1
100,104,41,Undirected,1
102,104,41,Undirected,1
98,100,41,Undirected,1
98,103,41,Undirected,1
101,99,41,Undirected,1
101,102,41,Undirected,1
97,98,41,Undirected,1
97,101,41,Undirected,1
97,104,41,Undirected,1
67,103,41,Undirected,1
100,103,41,Undirected,1
67,100,41,Undirected,1
102,103,41,Undirected,1
97,67,41,Undirected,1
98,99,41,Undirected,1
99,104,41,Undirected,1
98,102,41,Undirected,1
101,104,41,Undirected,1
104,103,41,Undirected,1
97,100,41,Undirected,1
97,103,41,Undirected,1
67,99,41,Undirected,1
100,99,41,Undirected,1
67,102,41,Undirected,1
100,102,41,Undirected,1
102,99,41,Undirected,1
97,67,42,Undirected,1
98,67,42,Undirected,1
97,98,42,Undirected,1
67,93,43,Undirected,1
92,93,43,Undirected,1
67,92,43,Undirected,1
67,93,44,Undirected,1
92,93,44,Undirected,1
67,92,44,Undirected,1
105,82,45,Undirected,1
82,85,45,Undirected,1
105,85,45,Undirected,1
112,85,46,Undirected,1
105,113,46,Undirected,1
114,85,46,Undirected,1
113,157,46,Undirected,1
134,82,46,Undirected,1
82,157,46,Undirected,1
115,157,46,Undirected,1
134,85,46,Undirected,1
112,115,46,Undirected,1
113,114,46,Undirected,1
105,82,46,Undirected,1
82,114,46,Undirected,1
115,114,46,Undirected,1
105,85,46,Undirected,1
134,115,46,Undirected,1
134,112,46,Undirected,1
105,115,46,Undirected,1
112,157,46,Undirected,1
105,112,46,Undirected,1
114,157,46,Undirected,1
112,114,46,Undirected,1
134,157,46,Undirected,1
134,105,46,Undirected,1
85,157,46,Undirected,1
113,82,46,Undirected,1
105,157,46,Undirected,1
134,114,46,Undirected,1
113,85,46,Undirected,1
82,85,46,Undirected,1
115,85,46,Undirected,1
105,114,46,Undirected,1
113,115,46,Undirected,1
112,113,46,Undirected,1
82,115,46,Undirected,1
134,113,46,Undirected,1
112,82,46,Undirected,1
82,115,47,Undirected,1
105,115,47,Undirected,1
82,85,47,Undirected,1
105,82,47,Undirected,1
115,85,47,Undirected,1
105,85,47,Undirected,1
105,116,48,Undirected,1
116,85,48,Undirected,1
105,85,48,Undirected,1
85,159,49,Undirected,1
105,116,49,Undirected,1
160,116,49,Undirected,1
105,82,49,Undirected,1
116,159,49,Undirected,1
160,82,49,Undirected,1
116,85,49,Undirected,1
105,85,49,Undirected,1
160,85,49,Undirected,1
105,158,49,Undirected,1
160,158,49,Undirected,1
116,158,49,Undirected,1
85,158,49,Undirected,1
82,159,49,Undirected,1
82,116,49,Undirected,1
160,105,49,Undirected,1
82,85,49,Undirected,1
82,158,49,Undirected,1
160,159,49,Undirected,1
158,159,49,Undirected,1
105,159,49,Undirected,1
105,116,50,Undirected,1
162,116,50,Undirected,1
161,105,50,Undirected,1
105,82,50,Undirected,1
105,85,50,Undirected,1
116,85,50,Undirected,1
162,82,50,Undirected,1
162,85,50,Undirected,1
161,135,50,Undirected,1
135,116,50,Undirected,1
105,115,50,Undirected,1
162,115,50,Undirected,1
161,162,50,Undirected,1
135,82,50,Undirected,1
135,85,50,Undirected,1
82,116,50,Undirected,1
115,116,50,Undirected,1
161,116,50,Undirected,1
135,115,50,Undirected,1
162,105,50,Undirected,1
82,85,50,Undirected,1
115,85,50,Undirected,1
161,82,50,Undirected,1
161,85,50,Undirected,1
162,135,50,Undirected,1
82,115,50,Undirected,1
161,115,50,Undirected,1
135,105,50,Undirected,1
325,177,51,Undirected,1
325,116,51,Undirected,1
163,115,51,Undirected,1
166,135,51,Undirected,1
165,115,51,Undirected,1
325,85,51,Undirected,1
163,325,51,Undirected,1
116,85,51,Undirected,1
165,325,51,Undirected,1
166,177,51,Undirected,1
166,116,51,Undirected,1
177,116,51,Undirected,1
135,177,51,Undirected,1
135,116,51,Undirected,1
165,166,51,Undirected,1
325,115,51,Undirected,1
163,166,51,Undirected,1
166,85,51,Undirected,1
177,85,51,Undirected,1
135,85,51,Undirected,1
115,116,51,Undirected,1
163,135,51,Undirected,1
165,135,51,Undirected,1
166,115,51,Undirected,1
177,115,51,Undirected,1
135,115,51,Undirected,1
163,165,51,Undirected,1
115,85,51,Undirected,1
163,177,51,Undirected,1
163,116,51,Undirected,1
166,325,51,Undirected,1
165,177,51,Undirected,1
165,116,51,Undirected,1
135,325,51,Undirected,1
163,85,51,Undirected,1
165,85,51,Undirected,1
178,85,52,Undirected,1
105,177,52,Undirected,1
166,178,52,Undirected,1
178,115,52,Undirected,1
105,82,52,Undirected,1
105,85,52,Undirected,1
166,177,52,Undirected,1
105,115,52,Undirected,1
177,82,52,Undirected,1
166,82,52,Undirected,1
166,85,52,Undirected,1
177,85,52,Undirected,1
166,115,52,Undirected,1
177,115,52,Undirected,1
82,85,52,Undirected,1
115,85,52,Undirected,1
105,178,52,Undirected,1
82,115,52,Undirected,1
166,105,52,Undirected,1
177,178,52,Undirected,1
178,82,52,Undirected,1
178,85,53,Undirected,1
180,116,53,Undirected,1
182,116,53,Undirected,1
85,116,53,Undirected,1
178,179,53,Undirected,1
180,85,53,Undirected,1
178,182,53,Undirected,1
82,178,53,Undirected,1
161,178,53,Undirected,1
180,182,53,Undirected,1
85,182,53,Undirected,1
179,116,53,Undirected,1
82,116,53,Undirected,1
179,180,53,Undirected,1
82,180,53,Undirected,1
161,116,53,Undirected,1
161,180,53,Undirected,1
179,85,53,Undirected,1
82,85,53,Undirected,1
161,82,53,Undirected,1
161,85,53,Undirected,1
178,116,53,Undirected,1
178,180,53,Undirected,1
82,179,53,Undirected,1
179,182,53,Undirected,1
82,182,53,Undirected,1
161,179,53,Undirected,1
161,182,53,Undirected,1
161,85,54,Undirected,1
179,183,54,Undirected,1
161,184,54,Undirected,1
85,184,54,Undirected,1
183,184,54,Undirected,1
82,183,54,Undirected,1
161,183,54,Undirected,1
82,179,54,Undirected,1
85,183,54,Undirected,1
179,85,54,Undirected,1
161,179,54,Undirected,1
82,85,54,Undirected,1
179,184,54,Undirected,1
161,82,54,Undirected,1
82,184,54,Undirected,1
161,85,55,Undirected,1
178,85,55,Undirected,1
179,183,55,Undirected,1
82,183,55,Undirected,1
161,183,55,Undirected,1
178,183,55,Undirected,1
82,179,55,Undirected,1
82,85,55,Undirected,1
85,183,55,Undirected,1
179,85,55,Undirected,1
161,179,55,Undirected,1
178,179,55,Undirected,1
161,82,55,Undirected,1
161,178,55,Undirected,1
178,82,55,Undirected,1
178,85,56,Undirected,1
82,85,56,Undirected,1
178,105,56,Undirected,1
105,82,56,Undirected,1
105,85,56,Undirected,1
178,82,56,Undirected,1
82,182,57,Undirected,1
82,85,57,Undirected,1
105,182,57,Undirected,1
105,82,57,Undirected,1
85,182,57,Undirected,1
105,85,57,Undirected,1
82,115,58,Undirected,1
85,182,58,Undirected,1
82,185,58,Undirected,1
105,115,58,Undirected,1
82,182,58,Undirected,1
82,85,58,Undirected,1
115,182,58,Undirected,1
182,185,58,Undirected,1
105,182,58,Undirected,1
115,185,58,Undirected,1
105,82,58,Undirected,1
115,85,58,Undirected,1
105,185,58,Undirected,1
105,85,58,Undirected,1
85,185,58,Undirected,1
112,85,59,Undirected,1
105,174,59,Undirected,1
105,116,59,Undirected,1
105,82,59,Undirected,1
116,85,59,Undirected,1
105,85,59,Undirected,1
112,185,59,Undirected,1
105,112,59,Undirected,1
105,185,59,Undirected,1
116,185,59,Undirected,1
85,185,59,Undirected,1
82,116,59,Undirected,1
174,116,59,Undirected,1
82,85,59,Undirected,1
174,82,59,Undirected,1
174,85,59,Undirected,1
112,116,59,Undirected,1
174,112,59,Undirected,1
82,185,59,Undirected,1
112,82,59,Undirected,1
174,185,59,Undirected,1
193,195,60,Undirected,1
178,85,60,Undirected,1
193,85,60,Undirected,1
193,82,60,Undirected,1
194,105,60,Undirected,1
105,82,60,Undirected,1
178,185,60,Undirected,1
105,85,60,Undirected,1
195,85,60,Undirected,1
194,178,60,Undirected,1
195,82,60,Undirected,1
193,185,60,Undirected,1
193,194,60,Undirected,1
105,185,60,Undirected,1
195,185,60,Undirected,1
85,185,60,Undirected,1
193,105,60,Undirected,1
193,178,60,Undirected,1
194,195,60,Undirected,1
82,85,60,Undirected,1
195,105,60,Undirected,1
194,82,60,Undirected,1
105,178,60,Undirected,1
194,85,60,Undirected,1
195,178,60,Undirected,1
82,185,60,Undirected,1
194,185,60,Undirected,1
178,82,60,Undirected,1
197,198,63,Undirected,1
198,199,63,Undirected,1
196,199,63,Undirected,1
196,86,63,Undirected,1
198,86,63,Undirected,1
196,198,63,Undirected,1
199,86,63,Undirected,1
197,199,63,Undirected,1
196,197,63,Undirected,1
197,86,63,Undirected,1
80,200,64,Undirected,1
200,71,64,Undirected,1
80,71,64,Undirected,1
86,71,64,Undirected,1
80,86,64,Undirected,1
200,86,64,Undirected,1
201,86,65,Undirected,1
202,86,65,Undirected,1
201,202,65,Undirected,1
203,71,66,Undirected,1
80,203,66,Undirected,1
80,71,66,Undirected,1
203,86,66,Undirected,1
86,71,66,Undirected,1
80,86,66,Undirected,1
86,71,67,Undirected,1
86,71,68,Undirected,1
178,387,69,Undirected,1
178,71,69,Undirected,1
387,71,69,Undirected,1
86,71,69,Undirected,1
387,86,69,Undirected,1
178,86,69,Undirected,1
178,71,70,Undirected,1
86,71,70,Undirected,1
178,86,70,Undirected,1
178,86,71,Undirected,1
80,204,72,Undirected,1
204,71,72,Undirected,1
80,71,72,Undirected,1
86,71,72,Undirected,1
204,86,72,Undirected,1
80,86,72,Undirected,1
86,71,73,Undirected,1
80,86,73,Undirected,1
80,71,73,Undirected,1
86,71,74,Undirected,1
86,71,75,Undirected,1
80,86,75,Undirected,1
80,71,75,Undirected,1
84,86,76,Undirected,1
86,71,76,Undirected,1
84,71,76,Undirected,1
86,71,77,Undirected,1
215,86,77,Undirected,1
215,71,77,Undirected,1
80,188,81,Undirected,1
86,71,82,Undirected,1
80,86,82,Undirected,1
80,71,82,Undirected,1
106,71,83,Undirected,1
80,71,83,Undirected,1
80,106,83,Undirected,1
106,86,83,Undirected,1
86,71,83,Undirected,1
80,86,83,Undirected,1
71,107,84,Undirected,1
130,71,84,Undirected,1
130,106,84,Undirected,1
106,107,84,Undirected,1
71,106,84,Undirected,1
130,80,84,Undirected,1
130,86,84,Undirected,1
71,80,84,Undirected,1
106,80,84,Undirected,1
106,86,84,Undirected,1
71,86,84,Undirected,1
107,80,84,Undirected,1
107,86,84,Undirected,1
80,86,84,Undirected,1
130,107,84,Undirected,1
80,120,85,Undirected,1
133,123,85,Undirected,1
353,126,85,Undirected,1
130,124,85,Undirected,1
353,80,85,Undirected,1
108,121,85,Undirected,1
118,122,85,Undirected,1
132,133,85,Undirected,1
109,122,85,Undirected,1
111,119,85,Undirected,1
120,122,85,Undirected,1
353,119,85,Undirected,1
130,108,85,Undirected,1
110,123,85,Undirected,1
80,122,85,Undirected,1
130,117,85,Undirected,1
118,124,85,Undirected,1
108,123,85,Undirected,1
122,124,85,Undirected,1
132,126,85,Undirected,1
121,126,85,Undirected,1
117,119,85,Undirected,1
132,80,85,Undirected,1
133,109,85,Undirected,1
109,124,85,Undirected,1
120,124,85,Undirected,1
133,118,85,Undirected,1
353,121,85,Undirected,1
130,110,85,Undirected,1
80,124,85,Undirected,1
353,130,85,Undirected,1
118,126,85,Undirected,1
122,126,85,Undirected,1
109,117,85,Undirected,1
133,111,85,Undirected,1
80,117,85,Undirected,1
133,120,85,Undirected,1
110,118,85,Undirected,1
119,121,85,Undirected,1
353,123,85,Undirected,1
124,126,85,Undirected,1
108,109,85,Undirected,1
111,126,85,Undirected,1
353,132,85,Undirected,1
118,119,85,Undirected,1
108,118,85,Undirected,1
111,80,85,Undirected,1
132,121,85,Undirected,1
130,133,85,Undirected,1
109,110,85,Undirected,1
110,111,85,Undirected,1
117,126,85,Undirected,1
119,123,85,Undirected,1
133,122,85,Undirected,1
110,120,85,Undirected,1
108,111,85,Undirected,1
108,120,85,Undirected,1
130,126,85,Undirected,1
132,123,85,Undirected,1
121,123,85,Undirected,1
130,80,85,Undirected,1
353,109,85,Undirected,1
353,118,85,Undirected,1
133,124,85,Undirected,1
110,122,85,Undirected,1
111,121,85,Undirected,1
108,122,85,Undirected,1
130,119,85,Undirected,1
133,108,85,Undirected,1
117,121,85,Undirected,1
353,111,85,Undirected,1
133,117,85,Undirected,1
353,120,85,Undirected,1
133,126,85,Undirected,1
109,126,85,Undirected,1
110,124,85,Undirected,1
111,123,85,Undirected,1
120,126,85,Undirected,1
109,80,85,Undirected,1
80,126,85,Undirected,1
132,109,85,Undirected,1
130,121,85,Undirected,1
132,118,85,Undirected,1
123,124,85,Undirected,1
133,110,85,Undirected,1
117,123,85,Undirected,1
119,120,85,Undirected,1
133,119,85,Undirected,1
109,119,85,Undirected,1
110,117,85,Undirected,1
353,122,85,Undirected,1
110,126,85,Undirected,1
80,119,85,Undirected,1
108,117,85,Undirected,1
132,111,85,Undirected,1
130,123,85,Undirected,1
132,120,85,Undirected,1
118,121,85,Undirected,1
130,132,85,Undirected,1
123,126,85,Undirected,1
119,122,85,Undirected,1
110,119,85,Undirected,1
109,121,85,Undirected,1
111,118,85,Undirected,1
120,121,85,Undirected,1
353,124,85,Undirected,1
108,110,85,Undirected,1
80,121,85,Undirected,1
118,123,85,Undirected,1
132,122,85,Undirected,1
121,122,85,Undirected,1
122,123,85,Undirected,1
117,118,85,Undirected,1
353,108,85,Undirected,1
353,117,85,Undirected,1
110,121,85,Undirected,1
109,123,85,Undirected,1
111,120,85,Undirected,1
119,124,85,Undirected,1
120,123,85,Undirected,1
80,123,85,Undirected,1
130,109,85,Undirected,1
130,118,85,Undirected,1
133,80,85,Undirected,1
132,124,85,Undirected,1
108,124,85,Undirected,1
121,124,85,Undirected,1
117,120,85,Undirected,1
353,110,85,Undirected,1
119,126,85,Undirected,1
111,122,85,Undirected,1
130,111,85,Undirected,1
132,108,85,Undirected,1
130,120,85,Undirected,1
132,117,85,Undirected,1
110,80,85,Undirected,1
108,126,85,Undirected,1
108,80,85,Undirected,1
117,122,85,Undirected,1
109,118,85,Undirected,1
111,124,85,Undirected,1
80,118,85,Undirected,1
133,121,85,Undirected,1
132,110,85,Undirected,1
353,133,85,Undirected,1
130,122,85,Undirected,1
132,119,85,Undirected,1
108,119,85,Undirected,1
118,120,85,Undirected,1
109,111,85,Undirected,1
117,124,85,Undirected,1
109,120,85,Undirected,1
111,117,85,Undirected,1
128,130,86,Undirected,1
130,127,86,Undirected,1
129,131,86,Undirected,1
80,144,86,Undirected,1
128,129,86,Undirected,1
128,80,86,Undirected,1
128,144,86,Undirected,1
129,127,86,Undirected,1
129,130,86,Undirected,1
131,127,86,Undirected,1
130,80,86,Undirected,1
130,144,86,Undirected,1
128,131,86,Undirected,1
128,127,86,Undirected,1
144,127,86,Undirected,1
80,127,86,Undirected,1
130,131,86,Undirected,1
129,80,86,Undirected,1
129,144,86,Undirected,1
131,80,86,Undirected,1
131,144,86,Undirected,1
146,148,88,Undirected,1
145,146,88,Undirected,1
81,146,88,Undirected,1
145,81,88,Undirected,1
145,149,88,Undirected,1
81,149,88,Undirected,1
149,148,88,Undirected,1
147,149,88,Undirected,1
145,148,88,Undirected,1
146,147,88,Undirected,1
81,148,88,Undirected,1
