id,Type of Relationship,Character 1,Character 2,Is Reciprocal?,Narrative Container,Start Page,End Page
30,"Exchange","Vernon Dursley","Tiny old man","1","The Boy Who Lived","9","10"
31,"Knows","Harry Potter","Severus Snape","1","Through the Trapdoor","191","191"
32,"Knows","Hermione Granger","Severus Snape","1","Through the Trapdoor","191","191"
33,"Knows of","Tiny old man","Voldemort","0","The Boy Who Lived","10","10"
34,"Knows of","Ronald Weasley","Voldemort","1","Through the Trapdoor","191","191"
35,"Exchange","Vernon Dursley","Professor McGonagall","1","The Boy Who Lived","10","10"
36,"Knows of","Bird Watchers","Owls","0","The Boy Who Lived","9","11"
37,"Exchange","Jim McGuffin","Viewers","1","The Boy Who Lived","10","11"
38,"Exchange","Albus Dumbledore","Professor McGonagall","1","The Boy Who Lived","12","17"
39,"Exchange","Hermione Granger","Harry Potter","1","Through the Trapdoor","192","193"
40,"Knows","Harry Potter","Lee Jordan","1","Through the Trapdoor","192","192"
41,"Knows","Harry Potter","The Weasley Twins","1","Through the Trapdoor","192","192"
42,"Exchange","Professor Binns","Students in Professor Binns class","1","Through the Trapdoor","192","192"
43,"Exchange","Ronald Weasley","Harry Potter","1","Through the Trapdoor","192","192"
44,"Knows","Hermione Granger","","1","Through the Trapdoor","192","192"
45,"Knows","Harry Potter","","1","Through the Trapdoor","192","192"
46,"Knows","Severus Snape","Fuffy","1","Through the Trapdoor","192","192"
47,"Knows","Severus Snape","Fuffy","1","Through the Trapdoor","192","192"
48,"Knows","Ronald Weasley","Rubeus Hagrid","1","Through the Trapdoor","192","192"
49,"Knows","Harry Potter","Rubeus Hagrid","1","Through the Trapdoor","192","192"
50,"Knows","Rubeus Hagrid","Albus Dumbledore","1","Through the Trapdoor","192","192"
51,"Knows","Harry Potter","Albus Dumbledore","1","Through the Trapdoor","192","192"
52,"Exchange","Ronald Weasley","Harry Potter","1","Through the Trapdoor","193","193"
53,"Exchange","Harry Potter","Hermione Granger","1","Through the Trapdoor","193","193"
54,"Exchange","Rubeus Hagrid","The Golden Trio","1","Through the Trapdoor","193","193"
55,"Exchange","Ronald Weasley","Rubeus Hagrid","1","Through the Trapdoor","193","193"
56,"Exchange","Harry Potter","Rubeus Hagrid","1","Through the Trapdoor","193","193"
57,"Knows","Rubeus Hagrid","Fuffy","1","Through the Trapdoor","193","193"
58,"Exchange","Harry Potter","Rubeus Hagrid","1","Through the Trapdoor","194","194"
59,"Exchange","Rubeus Hagrid","Ronald Weasley","1","Through the Trapdoor","194","194"
60,"Exchange","Rubeus Hagrid","Hermione Granger","1","Through the Trapdoor","194","194"
61,"Knows","Harry Potter","Albus Dumbledore","1","Through the Trapdoor","194","194"
62,"Knows of","Harry Potter","Voldemort","1","Through the Trapdoor","194","194"
63,"Knows","Harry Potter","Fuffy","1","Through the Trapdoor","194","194"
64,"Knows","Harry Potter","Severus Snape","1","Through the Trapdoor","194","194"
65,"Exchange","Professor McGonagall","The Golden Trio","1","Through the Trapdoor","194","194"
66,"Knows","Harry Potter","Bane","1","Through the Trapdoor","194","194"
67,"Knows","Harry Potter","Firenze","1","Through the Trapdoor","194","194"
68,"Knows","Professor McGonagall","Albus Dumbledore","1","Through the Trapdoor","194","194"
69,"Exchange","Harry Potter","Professor McGonagall","1","Through the Trapdoor","195","195"
70,"Knows","Harry Potter","Albus Dumbledore","1","Through the Trapdoor","195","195"
71,"Exchange","Severus Snape","The Golden Trio","1","Through the Trapdoor","195","195"
72,"Exchange","Harry Potter","Hermione Granger","1","Through the Trapdoor","195","195"
73,"Exchange","Severus Snape","Harry Potter","1","Through the Trapdoor","195","195"
74,"Exchange","Harry Potter","Hermione Granger","1","Through the Trapdoor","196","196"
75,"Exchange","Ronald Weasley","Hermione Granger","1","Through the Trapdoor","196","196"
76,"Knows","Ronald Weasley","Professor Flitwick","1","Through the Trapdoor","196","196"
77,"Knows","Harry Potter","Professor McGonagall","1","Through the Trapdoor","196","196"
78,"Exchange","Professor McGonagall","The Golden Trio","1","Through the Trapdoor","196","196"
79,"Exchange","The Fat Lady","Harry Potter","1","Through the Trapdoor","196","196"
80,"Knows","The Fat Lady","Professor Flitwick","1","Through the Trapdoor","196","196"
81,"Knows","The Fat Lady","Severus Snape","1","Through the Trapdoor","196","196"
82,"Knows","Hermione Granger","Severus Snape","1","Through the Trapdoor","196","196"
83,"Exchange","Harry Potter","Ronald Weasley","1","Through the Trapdoor","196","196"
84,"Exchange","Harry Potter","Hermione Granger","1","Through the Trapdoor","196","196"
85,"Knows of","Harry Potter","Voldemort","1","Through the Trapdoor","196","196"
86,"Knows of","Harry Potter","Voldemort","1","Through the Trapdoor","197","197"
87,"Knows","Harry Potter","Petunia Dursley","1","Through the Trapdoor","197","197"
88,"Exchange","Hermione Granger","Harry Potter","1","Through the Trapdoor","197","197"
89,"Knows","Harry Potter","James Potter","1","Through the Trapdoor","197","197"
90,"Exchange","Ronald Weasley","Harry Potter","1","Through the Trapdoor","197","197"
91,"Knows","Hermione Granger","Professor Flitwick","1","Through the Trapdoor","197","197"
92,"Knows","Harry Potter","Lee Jordan","1","Through the Trapdoor","197","197"
93,"Exchange","Ronald Weasley","Harry Potter","1","Through the Trapdoor","197","197"
94,"Knows","Harry Potter","Rubeus Hagrid","1","Through the Trapdoor","197","197"
95,"Knows","Harry Potter","Fuffy","1","Through the Trapdoor","197","197"
96,"Knows","Harry Potter","Argus Filtch","1","Through the Trapdoor","197","197"
97,"Exchange","Neville Longbottom","The Golden Trio","1","Through the Trapdoor","197","197"
98,"Exchange","Harry Potter","Neville Longbottom","1","Through the Trapdoor","198","198"
99,"Exchange","Hermione Granger","Neville Longbottom","1","Through the Trapdoor","198","198"
100,"Knows","Harry Potter","Severus Snape","1","Through the Trapdoor","198","198"
101,"Knows","Harry Potter","Fuffy","1","Through the Trapdoor","198","198"
102,"Knows","Neville Longbottom","Trevor","1","Through the Trapdoor","198","198"
103,"Exchange","Harry Potter","Hermione Granger","1","Through the Trapdoor","199","199"
104,"Exchange","Harry Potter","Neville Longbottom","1","Through the Trapdoor","199","199"
105,"Knows","Harry Potter","Peeves","1","Through the Trapdoor","199","199"
106,"Knows","Harry Potter","Argus Filtch","1","Through the Trapdoor","199","199"
