Relative Order,Event Name,Start Date ST,End Date ST,Is Approximate ST,Narrator,Start Page Mention,End Page Mention,Start Date TT,End Date TT,Start Page TT,End Page TT,Is Approximate TT,Evidence,Scout,Jem,Dill,Atticus,Tom Robinson,Boo Radley
6,Mayella is assaulted,12/1/1934,12/1/1934,T,Scout,248,248,7/30/1950,7/30/1950,3,376,T,"""I mean yes I do, he hit me.""",T,F,F,T,T,F
6,Mayella is assaulted,12/1/1934,12/1/1934,T,Scout,249,249,7/30/1950,7/30/1950,3,376,T,"""It most certainly is.""",T,F,F,T,T,F
6,Mayella is assaulted,12/1/1934,12/1/1934,T,Scout,250,250,7/30/1950,7/30/1950,3,376,T,"""I said he hit me.""",T,F,F,T,T,F
6,Mayella is assaulted,12/1/1934,12/1/1934,T,Scout,251,251,7/30/1950,7/30/1950,3,376,T,"""Who beat you up? Tom Robinson or your father?""",T,F,F,T,T,F
6,Mayella is assaulted,12/1/1934,12/1/1934,T,Scout,260,260,7/30/1950,7/30/1950,3,376,T,"""Tom, did you rape Mayella Ewell?""",T,F,F,T,T,F
7,Atticus tells Scout he's defending Tom Robinson,12/2/1934,12/2/1934,T,Scout,100,100,7/30/1950,7/30/1950,3,376,T,"""I'm simply defending a N****""",T,F,F,T,T,F
7,Atticus tells Scout he's defending Tom Robinson,12/2/1934,12/2/1934,T,Scout,101,101,7/30/1950,7/30/1950,3,376,T,"""...every lawyer gets at least one case in his lifetime that affects him personally.""",T,F,F,T,T,F
7,Atticus tells Scout he's defending Tom Robinson,12/2/1934,12/2/1934,T,Scout,102,102,7/30/1950,7/30/1950,3,376,T,"""...no matter how bitter things get...""",T,F,F,T,T,F
8,Scout goes to Finch's Landing,12/25/1934,12/25/1934,T,Scout,102,102,7/30/1950,7/30/1950,3,376,T,Jem and I viewed Christmas with mixed feelings.,T,T,F,T,F,F
8,Scout goes to Finch's Landing,12/25/1934,12/25/1934,T,Scout,103,103,7/30/1950,7/30/1950,3,376,T,No amount of sighing could induce Atticus to let us spend Christmas at home.,T,T,F,T,F,F
8,Scout goes to Finch's Landing,12/25/1934,12/25/1934,T,Scout,104,104,7/30/1950,7/30/1950,3,376,T,"""What's i those packages?"" I asked him.",T,T,F,T,F,F
8,Scout goes to Finch's Landing,12/25/1934,12/25/1934,T,Scout,105,105,7/30/1950,7/30/1950,3,376,T,But at supper that evening...,T,T,F,T,F,F
8,Scout goes to Finch's Landing,12/25/1934,12/25/1934,T,Scout,106,106,7/30/1950,7/30/1950,3,376,T,It took Atticus's courtroom voice to drag us away from the tree.,T,T,F,T,F,F
8,Scout goes to Finch's Landing,12/25/1934,12/25/1934,T,Scout,107,107,7/30/1950,7/30/1950,3,376,T,There went with the house the usual legend about the Yankees...,T,T,F,T,F,F
8,Scout goes to Finch's Landing,12/25/1934,12/25/1934,T,Scout,108,108,7/30/1950,7/30/1950,3,376,T,Aunt Alexandra was fanatical on the subject of my attire.,T,T,F,T,F,F
8,Scout goes to Finch's Landing,12/25/1934,12/25/1934,T,Scout,109,109,7/30/1950,7/30/1950,3,376,T,"Afterwards, the adults made for the livingroom and sat around in a dazed condition.",T,T,F,T,F,F
8,Scout goes to Finch's Landing,12/25/1934,12/25/1934,T,Scout,110,110,7/30/1950,7/30/1950,3,376,T,"""Francis, that's not so!""",T,T,F,T,F,F
8,Scout goes to Finch's Landing,12/25/1934,12/25/1934,T,Scout,111,111,7/30/1950,7/30/1950,3,376,T,"Francis shot back into the kitchen, so I retired to the steps.",T,T,F,T,F,F
