Relative Order,Event Name,Start Date,End Date,Is Approximate?,Narrator,Start Page,End Page,Start Date TT,End Date TT,Start Page TT,End Page TT,Is Approximate TT?,Evidence,Participating Characters,Cholly Breedlove,Cholly's Mother,Aunt Jimmy,White man (flashlight),White man (spirit lamp),Darlene,Samson Fuller (Cholly's Father),Man (selling bus tickets),'Fat Black Lady' (on the bus),Old White-Haired Man,Men (in the alley),Pauline Breedlove,Sammy Breedlove,Pecola Breedlove,Clark Gable,Jean Harlow,The little Fisher girl,Mr. Fisher,Mrs. Fisher,Mr. Henry,Claudia,Frieda,Mrs. MacTeer (Claudia's Mother),Mr. MacTeer (Claudia's Father),Rosemary Villanucci,Maureen Peal,Bay Boy,Woodrow Cain,Buddy Wilson,Junie Bug,Louis Junior,Geraldine,Mr. Buford,Mrs. Dunion,Soaphead Church,Pecola's Baby
,Cholly rapes Pecola and impregnates her,1941-03-20,1941-06-21,T,3rd Person Narrator (The Bluest Eye),162,162,,,,,,“in the thin light of spring” (161),Cholly Breedlove and Pecola Breedlove,T,,,,,,,,,,,,,T,,,,,,,,,,,,,,,,,,,,,,
,Cholly rapes Pecola and impregnates her,1941-03-20,1941-06-21,T,3rd Person Narrator (The Bluest Eye),163,163,,,,,,“in the thin light of spring” (161),Cholly Breedlove and Pecola Breedlove,T,,,,,,,,,,,,,T,,,,,,,,,,,,,,,,,,,,,,
,Cholly rapes Pecola and impregnates her,1941-03-20,1941-06-21,T,Claudia (narrator),188,188,1943-01-01,1993-01-01,187,192,T,“in the thin light of spring” (161),Cholly Breedlove and Pecola Breedlove,T,,,,,,,,,,,,,T,,,,,,,,,,,,,,,,,,,,,,
,Cholly rapes Pecola and impregnates her,1941-03-20,1941-06-21,T,Claudia (narrator),189,189,1943-01-01,1993-01-01,187,192,T,“in the thin light of spring” (161),Cholly Breedlove and Pecola Breedlove,T,,,,,,,,,,,,,T,,,,,,,,,,,,,,,,,,,,,,
,Cholly rapes Pecola and impregnates her,1941-03-20,1941-06-21,T,Claudia (narrator),190,190,1943-01-01,1993-01-01,187,192,T,“in the thin light of spring” (161),Cholly Breedlove and Pecola Breedlove,T,,,,,,,,,,,,,T,,,,,,,,,,,,,,,,,,,,,,
,Cholly rapes Pecola and impregnates her,1941-03-20,1941-06-21,T,Pecola Breedlove,199,199,1941-01-09,1941-09-22,193,204,T,“in the thin light of spring” (161),Cholly Breedlove and Pecola Breedlove,T,,,,,,,,,,,,,T,,,,,,,,,,,,,,,,,,,,,,
,Cholly rapes Pecola and impregnates her,1941-03-20,1941-06-21,T,Pecola Breedlove,201,201,1941-01-09,1941-09-22,193,204,T,“in the thin light of spring” (161),Cholly Breedlove and Pecola Breedlove,T,,,,,,,,,,,,,T,,,,,,,,,,,,,,,,,,,,,,
,Cholly rapes Pecola and impregnates her,1941-03-20,1941-06-21,T,Claudia (narrator),206,206,1943-01-01,1993-01-01,204,204,T,“in the thin light of spring” (161),Cholly Breedlove and Pecola Breedlove,T,,,,,,,,,,,,,T,,,,,,,,,,,,,,,,,,,,,,
,Mr. Henry assaults Frieda,1941-03-20,1941-05-05,T,Claudia (narrator),98,98,1943-01-01,1993-01-01,97,109,T,“early spring” (106),"Frieda, Mr. Buford, Mr. Henry, Mr. MacTeer (Claudia's Father), Mrs. Dunion, Mrs. MacTeer (Claudia's Mother), and Rosemary Villanucci",,,,,,,,,,,,,,,,,,,,T,,T,T,T,T,,,,,,,,T,T,,
,Mr. Henry assaults Frieda,1941-03-20,1941-05-05,T,Claudia (narrator),99,99,1943-01-01,1993-01-01,97,109,T,“early spring” (106),"Frieda, Mr. Buford, Mr. Henry, Mr. MacTeer (Claudia's Father), Mrs. Dunion, Mrs. MacTeer (Claudia's Mother), and Rosemary Villanucci",,,,,,,,,,,,,,,,,,,,T,,T,T,T,T,,,,,,,,T,T,,
,Mr. Henry assaults Frieda,1941-03-20,1941-05-05,T,Claudia (narrator),100,100,1943-01-01,1993-01-01,97,109,T,“early spring” (106),"Frieda, Mr. Buford, Mr. Henry, Mr. MacTeer (Claudia's Father), Mrs. Dunion, Mrs. MacTeer (Claudia's Mother), and Rosemary Villanucci",,,,,,,,,,,,,,,,,,,,T,,T,T,T,T,,,,,,,,T,T,,
,Pecola asks Soaphead Church for blue eyes,1941-03-20,1941-06-21,T,3rd Person Narrator (The Bluest Eye),173,173,,,,,,"Occurs in on""one late hot afternoon"" (173) the section ""Spring""",Pecola Breedlove and Soaphead Church,,,,,,,,,,,,,,T,,,,,,,,,,,,,,,,,,,,,T,
,Pecola asks Soaphead Church for blue eyes,1941-03-20,1941-06-21,T,3rd Person Narrator (The Bluest Eye),174,174,,,,,,"Occurs in on""one late hot afternoon"" (173) the section ""Spring""",Pecola Breedlove and Soaphead Church,,,,,,,,,,,,,,T,,,,,,,,,,,,,,,,,,,,,T,
,Pecola asks Soaphead Church for blue eyes,1941-03-20,1941-06-21,T,3rd Person Narrator (The Bluest Eye),175,175,,,,,,"Occurs in on""one late hot afternoon"" (173) the section ""Spring""",Pecola Breedlove and Soaphead Church,,,,,,,,,,,,,,T,,,,,,,,,,,,,,,,,,,,,T,
,Pecola asks Soaphead Church for blue eyes,1941-03-20,1941-06-21,T,3rd Person Narrator (The Bluest Eye),176,176,,,,,,"Occurs in on""one late hot afternoon"" (173) the section ""Spring""",Pecola Breedlove and Soaphead Church,,,,,,,,,,,,,,T,,,,,,,,,,,,,,,,,,,,,T,
,Pecola asks Soaphead Church for blue eyes,1941-03-20,1941-06-21,T,3rd Person Narrator (The Bluest Eye),182,182,,,,,,"Occurs in on""one late hot afternoon"" (173) the section ""Spring""",Pecola Breedlove and Soaphead Church,,,,,,,,,,,,,,T,,,,,,,,,,,,,,,,,,,,,T,
,Pecola knocks over her Mother’s cobbler at the Fisher’s house,1941-03-20,1941-05-05,T,Claudia (narrator),108,108,1943-01-01,1993-01-01,97,109,T,"""early spring"" (106)","Claudia, Frieda, Pauline Breedlove, Pecola Breedlove, and The little Fisher girl",,,,,,,,,,,,T,,T,,,T,,,,T,T,,,,,,,,,,,,,,
,Pecola knocks over her Mother’s cobbler at the Fisher’s house,1941-03-20,1941-05-05,T,Claudia (narrator),109,109,1943-01-01,1993-01-01,97,109,T,"""early spring"" (106)","Claudia, Frieda, Pauline Breedlove, Pecola Breedlove, and The little Fisher girl",,,,,,,,,,,,T,,T,,,T,,,,T,T,,,,,,,,,,,,,,
,Cholly passes away,1941-06-22,1941-12-22,T,Claudia (narrator),6,6,1943-01-01,1993-01-01,5,6,T,"""Cholly died in the workhouse"" (205), has to be after he impregnates Pecola",Cholly Breedlove,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cholly passes away,1941-06-22,1941-12-22,T,Pecola Breedlove,200,200,1941-01-09,1941-09-22,193,204,T,"""Cholly died in the workhouse"" (205), has to be after he impregnates Pecola",Cholly Breedlove,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cholly passes away,1941-06-22,1941-12-22,T,Claudia (narrator),205,205,1943-01-01,1993-01-01,204,204,T,"""Cholly died in the workhouse"" (205), has to be after he impregnates Pecola",Cholly Breedlove,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pecola imagines herself a friend,1941-01-09,1941-09-22,T,Pecola Breedlove,193,193,1941-01-09,1941-09-22,193,204,T,“After the first day of school” (197),Pecola Breedlove,,,,,,,,,,,,,,T,,,,,,,,,,,,,,,,,,,,,,
,Pecola imagines herself a friend,1941-01-09,1941-09-22,T,Pecola Breedlove,194,194,1941-01-09,1941-09-22,193,204,T,“After the first day of school” (197),Pecola Breedlove,,,,,,,,,,,,,,T,,,,,,,,,,,,,,,,,,,,,,
,Pecola imagines herself a friend,1941-01-09,1941-09-22,T,Pecola Breedlove,195,195,1941-01-09,1941-09-22,193,204,T,“After the first day of school” (197),Pecola Breedlove,,,,,,,,,,,,,,T,,,,,,,,,,,,,,,,,,,,,,
,Pecola imagines herself a friend,1941-01-09,1941-09-22,T,Pecola Breedlove,196,196,1941-01-09,1941-09-22,193,204,T,“After the first day of school” (197),Pecola Breedlove,,,,,,,,,,,,,,T,,,,,,,,,,,,,,,,,,,,,,
,Pecola imagines herself a friend,1941-01-09,1941-09-22,T,Pecola Breedlove,197,197,1941-01-09,1941-09-22,193,204,T,“After the first day of school” (197),Pecola Breedlove,,,,,,,,,,,,,,T,,,,,,,,,,,,,,,,,,,,,,
,Pecola imagines herself a friend,1941-01-09,1941-09-22,T,Pecola Breedlove,198,198,1941-01-09,1941-09-22,193,204,T,“After the first day of school” (197),Pecola Breedlove,,,,,,,,,,,,,,T,,,,,,,,,,,,,,,,,,,,,,
,Pecola imagines herself a friend,1941-01-09,1941-09-22,T,Pecola Breedlove,199,199,1941-01-09,1941-09-22,193,204,T,“After the first day of school” (197),Pecola Breedlove,,,,,,,,,,,,,,T,,,,,,,,,,,,,,,,,,,,,,
,Pecola imagines herself a friend,1941-01-09,1941-09-22,T,Pecola Breedlove,200,200,1941-01-09,1941-09-22,193,204,T,“After the first day of school” (197),Pecola Breedlove,,,,,,,,,,,,,,T,,,,,,,,,,,,,,,,,,,,,,
,Pecola imagines herself a friend,1941-01-09,1941-09-22,T,Pecola Breedlove,201,201,1941-01-09,1941-09-22,193,204,T,“After the first day of school” (197),Pecola Breedlove,,,,,,,,,,,,,,T,,,,,,,,,,,,,,,,,,,,,,
,Pecola imagines herself a friend,1941-01-09,1941-09-22,T,Pecola Breedlove,202,202,1941-01-09,1941-09-22,193,204,T,“After the first day of school” (197),Pecola Breedlove,,,,,,,,,,,,,,T,,,,,,,,,,,,,,,,,,,,,,
,Pecola imagines herself a friend,1941-01-09,1941-09-22,T,Pecola Breedlove,203,203,1941-01-09,1941-09-22,193,204,T,“After the first day of school” (197),Pecola Breedlove,,,,,,,,,,,,,,T,,,,,,,,,,,,,,,,,,,,,,
,Pecola imagines herself a friend,1941-01-09,1941-09-22,T,3rd Person Narrator (The Bluest Eye),204,204,,,,,,“After the first day of school” (197),Pecola Breedlove,,,,,,,,,,,,,,T,,,,,,,,,,,,,,,,,,,,,,
,Pecola imagines herself a friend,1941-01-09,1941-09-22,T,Claudia (narrator),205,205,1943-01-01,1993-01-01,204,204,T,“After the first day of school” (197),Pecola Breedlove,,,,,,,,,,,,,,T,,,,,,,,,,,,,,,,,,,,,,
,Pecola loses her baby,1941-09-23,1941-12-22,T,Claudia (narrator),5,5,1943-01-01,1993-01-01,5,6,T,"""[T]here were no marigolds in the fall of 1941"" (5)",Pecola Breedlove and Pecola's Baby,,,,,,,,,,,,,,T,,,,,,,,,,,,,,,,,,,,,,T
,Pecola loses her baby,1941-09-23,1941-12-22,T,Claudia (narrator),6,6,1943-01-01,1993-01-01,5,6,T,"""[T]here were no marigolds in the fall of 1941"" (5)",Pecola Breedlove and Pecola's Baby,,,,,,,,,,,,,,T,,,,,,,,,,,,,,,,,,,,,,T
,Pecola loses her baby,1941-09-23,1941-12-22,T,Claudia (narrator),204,204,1943-01-01,1993-01-01,204,204,T,"""[T]here were no marigolds in the fall of 1941"" (5)",Pecola Breedlove and Pecola's Baby,,,,,,,,,,,,,,T,,,,,,,,,,,,,,,,,,,,,,T
