Relative Order,Event Name,Start Date,End Date,Is Approximate?,Narrator,Start Page,End Page,Start Date TT,End Date TT,Start Page TT,End Page TT,Is Approximate TT?,Evidence,Participating Characters,Cholly Breedlove,Cholly's Mother,Aunt Jimmy,White man (flashlight),White man (spirit lamp),Darlene,Samson Fuller (Cholly's Father),Man (selling bus tickets),'Fat Black Lady' (on the bus),Old White-Haired Man,Men (in the alley),Pauline Breedlove,Sammy Breedlove,Pecola Breedlove,Clark Gable,Jean Harlow,The little Fisher girl,Mr. Fisher,Mrs. Fisher,Mr. Henry,Claudia,Frieda,Mrs. MacTeer (Claudia's Mother),Mr. MacTeer (Claudia's Father),Rosemary Villanucci,Maureen Peal,Bay Boy,Woodrow Cain,Buddy Wilson,Junie Bug,Louis Junior,Geraldine,Mr. Buford,Mrs. Dunion,Soaphead Church,Pecola's Baby
2,"Cholly goes to find his Dad in Macon, and his Dad rejects him",1903-01-01,1918-01-01,T,3rd Person Narrator (The Bluest Eye),155,155,,,,,,*Story time dates approximated based on limited textual evidence for visualization purposes* “It was in the spring... that Aunt Jimmy died” (135) “he was fourteen” (154),"'Fat Black Lady' (on the bus), Cholly Breedlove, Man (selling bus tickets), Men (in the alley), Old White-Haired Man, and Samson Fuller (Cholly's Father)",T,,,,,,T,T,T,T,T,,,,,,,,,,,,,,,,,,,,,,,,,
3,Cholly's Mother abandons him,1903-01-01,1904-01-01,T,3rd Person Narrator (The Bluest Eye),132,132,,,,,,"*Story time dates approximated based on limited textual evidence for visualization purposes* ""When Cholly was four days old, his mother wrapped him in two bankets and one newspaper and placed him on a junk heap by the railroad"" (132)","Aunt Jimmy, Cholly Breedlove, and Cholly's Mother",T,T,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Cholly's Mother abandons him,1903-01-01,1904-01-01,T,3rd Person Narrator (The Bluest Eye),133,133,,,,,,"*Story time dates approximated based on limited textual evidence for visualization purposes* ""When Cholly was four days old, his mother wrapped him in two bankets and one newspaper and placed him on a junk heap by the railroad"" (132)","Aunt Jimmy, Cholly Breedlove, and Cholly's Mother",T,T,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Cholly's Mother abandons him,1903-01-01,1904-01-01,T,3rd Person Narrator (The Bluest Eye),142,142,,,,,,"*Story time dates approximated based on limited textual evidence for visualization purposes* ""When Cholly was four days old, his mother wrapped him in two bankets and one newspaper and placed him on a junk heap by the railroad"" (132)","Aunt Jimmy, Cholly Breedlove, and Cholly's Mother",T,T,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Cholly’s ‘rape’ by White men and the 'almost-rape’ of Darlene,1903-01-01,1918-01-01,T,3rd Person Narrator (The Bluest Eye),42,42,,,,,,*Story time dates approximated based on limited textual evidence for visualization purposes*“It was in the spring... that Aunt Jimmy died” (135) “he was fourteen” (154),"Cholly Breedlove, Darlene, White man (flashlight), and White man (spirit lamp)",T,,,T,T,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Cholly’s ‘rape’ by White men and the 'almost-rape’ of Darlene,1903-01-01,1918-01-01,T,3rd Person Narrator (The Bluest Eye),147,147,,,,,,*Story time dates approximated based on limited textual evidence for visualization purposes*“It was in the spring... that Aunt Jimmy died” (135) “he was fourteen” (154),"Cholly Breedlove, Darlene, White man (flashlight), and White man (spirit lamp)",T,,,T,T,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Cholly’s ‘rape’ by White men and the 'almost-rape’ of Darlene,1903-01-01,1918-01-01,T,3rd Person Narrator (The Bluest Eye),148,148,,,,,,*Story time dates approximated based on limited textual evidence for visualization purposes*“It was in the spring... that Aunt Jimmy died” (135) “he was fourteen” (154),"Cholly Breedlove, Darlene, White man (flashlight), and White man (spirit lamp)",T,,,T,T,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Cholly’s ‘rape’ by White men and the 'almost-rape’ of Darlene,1903-01-01,1918-01-01,T,3rd Person Narrator (The Bluest Eye),149,149,,,,,,*Story time dates approximated based on limited textual evidence for visualization purposes*“It was in the spring... that Aunt Jimmy died” (135) “he was fourteen” (154),"Cholly Breedlove, Darlene, White man (flashlight), and White man (spirit lamp)",T,,,T,T,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Cholly’s ‘rape’ by White men and the 'almost-rape’ of Darlene,1903-01-01,1918-01-01,T,3rd Person Narrator (The Bluest Eye),156,156,,,,,,*Story time dates approximated based on limited textual evidence for visualization purposes*“It was in the spring... that Aunt Jimmy died” (135) “he was fourteen” (154),"Cholly Breedlove, Darlene, White man (flashlight), and White man (spirit lamp)",T,,,T,T,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Cholly’s ‘rape’ by White men and the 'almost-rape’ of Darlene,1903-01-01,1918-01-01,T,3rd Person Narrator (The Bluest Eye),160,160,,,,,,*Story time dates approximated based on limited textual evidence for visualization purposes*“It was in the spring... that Aunt Jimmy died” (135) “he was fourteen” (154),"Cholly Breedlove, Darlene, White man (flashlight), and White man (spirit lamp)",T,,,T,T,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"Pauline and Cholly get married and move to Lorain, Ohio",1918-01-01,1926-01-01,T,3rd Person Narrator (The Bluest Eye),116,116,,,,,,"“when the war ended Pauline was fifteen” (113), WWI ended in 1918, and Sammy is born in 1926",Cholly Breedlove and Pauline Breedlove,T,,,,,,,,,,,T,,,,,,,,,,,,,,,,,,,,,,,,
5,"Pauline and Cholly get married and move to Lorain, Ohio",1918-01-01,1926-01-01,T,3rd Person Narrator (The Bluest Eye),160,160,,,,,,"“when the war ended Pauline was fifteen” (113), WWI ended in 1918, and Sammy is born in 1926",Cholly Breedlove and Pauline Breedlove,T,,,,,,,,,,,T,,,,,,,,,,,,,,,,,,,,,,,,
5,Pauline and Cholly meet,1918-01-01,1926-01-01,T,3rd Person Narrator (The Bluest Eye),114,114,,,,,,"“when the war ended Pauline was fifteen” (113), WWI ended in 1918, and Sammy is born in 1926",Cholly Breedlove and Pauline Breedlove,T,,,,,,,,,,,T,,,,,,,,,,,,,,,,,,,,,,,,
5,Pauline and Cholly meet,1918-01-01,1926-01-01,T,3rd Person Narrator (The Bluest Eye),115,115,,,,,,"“when the war ended Pauline was fifteen” (113), WWI ended in 1918, and Sammy is born in 1926",Cholly Breedlove and Pauline Breedlove,T,,,,,,,,,,,T,,,,,,,,,,,,,,,,,,,,,,,,
5,Pauline and Cholly meet,1918-01-01,1926-01-01,T,3rd Person Narrator (The Bluest Eye),160,160,,,,,,"“when the war ended Pauline was fifteen” (113), WWI ended in 1918, and Sammy is born in 1926",Cholly Breedlove and Pauline Breedlove,T,,,,,,,,,,,T,,,,,,,,,,,,,,,,,,,,,,,,
,Pauline is 'educated' by the movies,1925-01-01,1926-01-01,T,3rd Person Narrator (The Bluest Eye),122,122,,,,,,"""There I was, five months pregnant, trying to look like Jean Harlow"" (123)","Clark Gable, Jean Harlow, and Pauline Breedlove",,,,,,,,,,,,T,,,T,T,,,,,,,,,,,,,,,,,,,,
,Pauline is 'educated' by the movies,1925-01-01,1926-01-01,T,Pauline Breedlove,123,123,1941-01-01,1943-01-01,123,126,T,"""There I was, five months pregnant, trying to look like Jean Harlow"" (123)","Clark Gable, Jean Harlow, and Pauline Breedlove",,,,,,,,,,,,T,,,T,T,,,,,,,,,,,,,,,,,,,,
,Sammy is born,1926-01-01,1926-01-01,T,Pauline Breedlove,123,123,1941-01-01,1943-01-01,123,126,T,"""Sammy, [is] fourteen years old"" (35) in 1940, as Claudia states ""there were no marigolds in the fall of 1941"" (5) and then picks up the narration from the previous ""Autumn""(7)",Pauline Breedlove and Sammy Breedlove,,,,,,,,,,,,T,T,,,,,,,,,,,,,,,,,,,,,,,
,Pauline starts working for the Fishers,1929-01-01,1940-01-10,T,3rd Person Narrator (The Bluest Eye),127,127,,,,,,"After Pecola is born and ""on a Saturday morning in October""(39) Claudia narrates about the Breedloves in the fall of 1940","Mr. Fisher, Mrs. Fisher, Pauline Breedlove, and The little Fisher girl",,,,,,,,,,,,T,,,,,T,T,T,,,,,,,,,,,,,,,,,
,Pauline starts working for the Fishers,1929-01-01,1940-01-10,T,3rd Person Narrator (The Bluest Eye),128,128,,,,,,"After Pecola is born and ""on a Saturday morning in October""(39) Claudia narrates about the Breedloves in the fall of 1940","Mr. Fisher, Mrs. Fisher, Pauline Breedlove, and The little Fisher girl",,,,,,,,,,,,T,,,,,T,T,T,,,,,,,,,,,,,,,,,
