id,Type of Relationship,Character 1,Character 2,Is Reciprocal?,Narrative Container,Start Page,End Page
268,"Knows","Rhea","Alice's first sister","0","3 Ask Me If I Care","40","40"
269,"Knows","Jocelyn","Alice's first sister","0","3 Ask Me If I Care","40","40"
270,"Knows of","Scotty Hausmann","Stranglers (band)","0","3 Ask Me If I Care","39","39"
271,"Knows of","Rhea","Stranglers (band)","0","3 Ask Me If I Care","39","39"
272,"Knows of","Alice","Stranglers (band)","0","3 Ask Me If I Care","39","39"
273,"Knows of","Jocelyn","Stranglers (band)","0","3 Ask Me If I Care","39","39"
274,"Knows of","Bennie Salazar","Stranglers (band)","0","3 Ask Me If I Care","39","39"
275,"Knows of","Rhea","Nuns (band)","0","3 Ask Me If I Care","39","39"
276,"Knows of","Scotty Hausmann","Nuns (band)","0","3 Ask Me If I Care","39","39"
277,"Knows of","Jocelyn","Nuns (band)","0","3 Ask Me If I Care","39","39"
278,"Knows of","Alice","Nuns (band)","0","3 Ask Me If I Care","39","39"
279,"Knows of","Bennie Salazar","Nuns (band)","0","3 Ask Me If I Care","39","39"
280,"Knows of","Rhea","Negative Trend (band)","0","3 Ask Me If I Care","39","39"
281,"Knows of","Scotty Hausmann","Negative Trend (band)","0","3 Ask Me If I Care","39","39"
282,"Knows of","Jocelyn","Negative Trend (band)","0","3 Ask Me If I Care","39","39"
283,"Knows of","Alice","Negative Trend (band)","0","3 Ask Me If I Care","39","39"
284,"Knows of","Bennie Salazar","Negative Trend (band)","0","3 Ask Me If I Care","39","39"
285,"Exchange","Scotty Hausmann","Alice","1","3 Ask Me If I Care","39","39"
287,"Knows","Scotty Hausmann","Alice's first sister","0","3 Ask Me If I Care","40","40"
288,"Knows","Bennie Salazar","Alice's first sister","0","3 Ask Me If I Care","40","40"
289,"Knows","Alice","Alice's little sisters","1","3 Ask Me If I Care","39","40"
290,"Knows","Rhea","Bennie Salazar","1","3 Ask Me If I Care","39","42"
291,"Knows","Alice","Bennie Salazar","1","3 Ask Me If I Care","39","40"
292,"Knows","Scotty Hausmann","Jocelyn","1","3 Ask Me If I Care","39","40"
293,"Knows","Scotty Hausmann","Bennie Salazar","1","3 Ask Me If I Care","39","40"
294,"Knows","Jocelyn","Bennie Salazar","1","3 Ask Me If I Care","39","40"
295,"Exchange","Scotty Hausmann","the entire J.V. soccer team","1","3 Ask Me If I Care","41","41"
296,"Exchange","Bennie Salazar","""the cholos""","1","3 Ask Me If I Care","42","42"
297,"Exchange","Rhea","Jocelyn","1","3 Ask Me If I Care","42","42"
298,"Knows of","Rhea","Scotty Hausmann's mother","1","3 Ask Me If I Care","42","42"
299,"Knows","Jocelyn","Lou Kline","1","3 Ask Me If I Care","42","42"
300,"Knows of","Rhea","Lou Kline","0","3 Ask Me If I Care","42","42"
301,"Knows","Jocelyn","Rhea's dad","1","3 Ask Me If I Care","43","43"
302,"Knows","Rhea","Jocelyn's dad","0","3 Ask Me If I Care","43","43"
303,"Exchange","Jocelyn","Lou Kline","1","3 Ask Me If I Care","43","43"
304,"Knows","Lou Kline","Bill Graham","1","3 Ask Me If I Care","43","43"
305,"Knows of","Rhea","Alice's stepfather","0","3 Ask Me If I Care","43","43"
306,"Knows","Rhea","Joel","1","3 Ask Me If I Care","44","44"
307,"Knows","Scotty Hausmann","Joel","1","3 Ask Me If I Care","44","44"
308,"Knows","Jocelyn","Joel","1","3 Ask Me If I Care","44","44"
309,"Knows","Alice","Joel","1","3 Ask Me If I Care","44","44"
310,"Knows","Bennie Salazar","Joel","1","3 Ask Me If I Care","44","44"
311,"Knows","Rhea","Joel's dad","1","3 Ask Me If I Care","44","44"
312,"Knows","Scotty Hausmann","Joel's dad","1","3 Ask Me If I Care","44","44"
313,"Knows","Alice","Joel's dad","1","3 Ask Me If I Care","44","44"
314,"Knows","Jocelyn","Joel's dad","1","3 Ask Me If I Care","44","44"
315,"Knows","Bennie Salazar","Joel's dad","1","3 Ask Me If I Care","44","44"
316,"Exchange","Joel","Joel's dad","1","3 Ask Me If I Care","44","44"
317,"Exchange","Marty","Scotty Hausmann","1","3 Ask Me If I Care","44","44"
318,"Exchange","Bennie Salazar","Marty","1","3 Ask Me If I Care","44","44"
319,"Exchange","Bennie Salazar","Alice","1","3 Ask Me If I Care","45","45"
320,"Exchange","Bennie Salazar","""a gray cat""","1","2 The Gold Cure","32","33"
321,"Knows","Rhea","Alice's second sister","0","3 Ask Me If I Care","40","40"
322,"Knows of","Rhea","Alice's little sisters","1","3 Ask Me If I Care","39","39"
323,"Knows","Scotty Hausmann","Alice's second sister","0","3 Ask Me If I Care","40","40"
324,"Knows of","Scotty Hausmann","Alice's little sisters","1","3 Ask Me If I Care","39","39"
325,"Knows of","Bennie Salazar","Alice's little sisters","1","3 Ask Me If I Care","39","39"
326,"Knows","Bennie Salazar","Alice's second sister","0","3 Ask Me If I Care","40","40"
327,"Knows","Jocelyn","Alice's second sister","0","3 Ask Me If I Care","40","40"
328,"Knows of","Jocelyn","Alice's little sisters","1","3 Ask Me If I Care","39","39"
329,"Knows of","Sasha","""the woman"" (wallet victim)","0","1 Found Objects","5","5"
330,"Exchange","Lassimo Hotel Concierge","""the police""","1","1 Found Objects","10","10"
331,"Exchange","Lassimo Hotel Concierge","""security"" (on the phone)","1","1 Found Objects","10","10"
332,"Knows","Alex","""two security guys"" (Lassimo Hotel)","1","1 Found Objects","10","11"
