id,Title,Level,Start Page,End Page,Narrator,Protagonist,Embed. Type
58,"""The Tale of the Blacked-Out Sky at Noon.""","level 2 (sub-section)","930","939","speaker Abel","blank (missing null option here)","[NULL]"
59,"""thewoodenspoon"" (photo)","level 2 (sub-section)","950","955","collage photos","blank (missing null option here)","[NULL]"
60,"""thewoodenspoon"" (text)","level 2 (sub-section)","955","959","speaker Abel","blank (missing null option here)","[NULL]"
61,"""12.06.2008""","level 2 (sub-section)","970","979","biographical Abel","biographical Abel","[NULL]"
62,"""12.06.2008 / c "" (scatter)","level 2 (sub-section)","990","999","biographical Abel","blank (missing null option here)","[NULL]"
63,"""12.06.2008"" overlapping ""26.06.2008"" (scatter)","level 2 (sub-section)","1010","1019","biographical Abel","blank (missing null option here)","[NULL]"
64,"""26.06.2008"" (scatter)","level 2 (sub-section)","1030","1039","biographical Abel","blank (missing null option here)","[NULL]"
65,"""26.06.2008""","level 2 (sub-section)","1050","1059","biographical Abel","blank (missing null option here)","[NULL]"
66,"illegible collage text (photo)","level 2 (sub-section)","1070","1077","collage photos","blank (missing null option here)","[NULL]"
67,"illegible collage text (text)","level 2 (sub-section)","1070","1079","speaker Abel","blank (missing null option here)","[NULL]"
68,"""Myth explaining some of the crests""","level 2 (sub-section)","1090","1099","real Barbeau","blank (missing null option here)","[NULL]"
69,"""follow / the coast""","level 2 (sub-section)","1110","1119","speaker Abel","blank (missing null option here)","[NULL]"
70,"""the / sockeye""","level 2 (sub-section)","1130","1139","speaker Abel","blank (missing null option here)","[NULL]"
71,"""the / remains of / a / head""","level 2 (sub-section)","1150","1159","speaker Abel","blank (missing null option here)","[NULL]"
72,"""account"" (cloud)","level 2 (sub-section)","1170","1179","speaker Abel","blank (missing null option here)","[NULL]"
73,"""the / plentiful / day""","level 2 (sub-section)","1190","1199","speaker Abel","blank (missing null option here)","[NULL]"
74,"""totempolesofchiefmountain"" (photo)","level 2 (sub-section)","1210","1216","collage photos","blank (missing null option here)","[NULL]"
75,"""totempolesofchiefmountain"" (text)","level 2 (sub-section)","1217","1219","speaker Abel","blank (missing null option here)","[NULL]"
76,"""Totem Poles of Chief Mountain (Boas)""","level 2 (sub-section)","1230","1239","real Barbeau","blank (missing null option here)","[NULL]"
77,"""the deceased""","level 2 (sub-section)","1250","1259","speaker Abel","blank (missing null option here)","[NULL]"
78,"""meaning / his father""","level 2 (sub-section)","1270","1279","speaker Abel","blank (missing null option here)","[NULL]"
79,"""ground open""","level 2 (sub-section)","1290","1299","speaker Abel","blank (missing null option here)","[NULL]"
80,"""and / sung""","level 2 (sub-section)","1310","1319","speaker Abel","blank (missing null option here)","[NULL]"
81,"""column / clear""","level 2 (sub-section)","1330","1339","speaker Abel","blank (missing null option here)","[NULL]"
82,"""the son or"" (cloud)","level 2 (sub-section)","1350","1359","speaker Abel","blank (missing null option here)","[NULL]"
83,"""themilkofhypotheticalhistories"" (photo)","level 2 (sub-section)","1370","1375","collage photos","blank (missing null option here)","[NULL]"
84,"""themilkofhypotheticalhistories"" (text)","level 2 (sub-section)","1356","1359","speaker Abel","blank (missing null option here)","[NULL]"
85,"""21.04.1985""","level 2 (sub-section)","1390","1399","biographical Abel","blank (missing null option here)","[NULL]"
86,"""21.04.1985"" overlapping ""05.08.2011"" ""h r w b"" (scatter)","level 2 (sub-section)","1410","1419","biographical Abel","blank (missing null option here)","[NULL]"
87,"""05.08.2011""","level 2 (sub-section)","1430","1439","biographical Abel","blank (missing null option here)","[NULL]"
88,"""21.04.1985"" overlapping ""05.08.2011"" ""w / m t"" (scatter)","level 2 (sub-section)","1450","1499","biographical Abel","blank (missing null option here)","[NULL]"
89,"""theplaceofscraps"" (photo)","level 2 (sub-section)","1530","1538","collage photos","blank (missing null option here)","[NULL]"
90,"""theplaceofscraps"" (text)","level 2 (sub-section)","1539","1539","speaker Abel","blank (missing null option here)","[NULL]"
91,""" "" / ."" ""","level 2 (sub-section)","1550","1559","speaker Abel","blank (missing null option here)","[NULL]"
92,"""translated / ""shadow / of stars.""""","level 2 (sub-section)","1570","1579","speaker Abel","blank (missing null option here)","[NULL]"
93,"""an endless / hike""","level 2 (sub-section)","1590","1599","speaker Abel","blank (missing null option here)","[NULL]"
94,"""I trudged on""","level 2 (sub-section)","1610","1619","speaker Abel","blank (missing null option here)","[NULL]"
