id,Type of Relationship,Character 1,Character 2,Is Reciprocal?,Narrative Container,Start Page,End Page
64,"Knows","speaker Abel","""Indians"" (abstract)","0","""remove / thousands of / Indians""","250","259"
65,"Knows","real Barbeau","Thunderbird","0","""Removal of the Sakau'wan pole from Nass River.""","310","319"
66,"Knows","real Barbeau","Pole of Sagaween","1","""Removal of the Sakau'wan pole from Nass River.""","310","319"
67,"Knows","real Barbeau","""Indians"" (abstract)","1","""Removal of the Sakau'wan pole from Nass River.""","310","319"
68,"Knows","real Barbeau","residents of Git'iks","0","""Removal of the Sakau'wan pole from Nass River.""","310","319"
70,"Knows","speaker Abel","Pole of Sagaween","1","""his / stateliness""","330","339"
71,"Knows","speaker Abel","residents of Git'iks","0","""his / stateliness""","330","339"
72,"Knows","residents of Git'iks","Pole of Sagaween","1","""his / stateliness""","330","339"
73,"Knows","fictional Barbeau","Barton (Laxgibuu)","1","""The anthropologist humbled by beauty and the sleepless moon.""","430","439"
74,"Knows","fictional Barbeau","Pole of Sagaween","1","""The anthropologist humbled by beauty and the sleepless moon.""","430","439"
75,"Knows of","real Barbeau","""'Neeskyinwaet"" (Laxgibuu)","0","""The pole of 'Neesyoq and 'Neeskywinwaet""","470","479"
76,"Knows of","real Barbeau","first ""'Neesyoq"" (Laxgibuu)","0","""The pole of 'Neesyoq and 'Neeskywinwaet""","470","479"
77,"Knows of","real Barbeau","second ""'Neesyoq"" (Laxgibuu)","0","""The pole of 'Neesyoq and 'Neeskywinwaet""","470","479"
78,"Knows of","real Barbeau","""man with sea cockle (kal'own)""","0","""The pole of 'Neesyoq and 'Neeskywinwaet""","470","479"
79,"Knows","real Barbeau","Laxgibuu (""Wolf clan"")","1","""The pole of 'Neesyoq and 'Neeskywinwaet""","470","479"
80,"Knows of","real Barbeau","""man with sea cockle (kal'own)""","0","""The pole of 'Neesyoq and 'Neeskywinwaet""","470","479"
81,"Knows of","real Barbeau","""Sperm Whale (hlpoon)""","0","""The pole of 'Neesyoq and 'Neeskywinwaet""","470","479"
82,"Knows of","real Barbeau","""person with ... garment (gyet)""","0","""The pole of 'Neesyoq and 'Neeskywinwaet""","470","479"
83,"Knows of","real Barbeau","""Gyaibelk"" (carved)","0","""The pole of 'Neesyoq and 'Neeskywinwaet""","470","479"
84,"Knows","real Barbeau","Dennis Wood","1","""The pole of 'Neesyoq and 'Neeskywinwaet""","470","479"
85,"Knows of","real Barbeau","""Paraet'Naerhl""","0","""The pole of 'Neesyoq and 'Neeskywinwaet""","470","479"
86,"Knows of","real Barbeau","son of ""Paraet'Naerhl""","0","""The pole of 'Neesyoq and 'Neeskywinwaet""","470","479"
87,"Knows","""Paraet'Naerhl""","""man with sea cockle (kal'own)""","1","""The pole of 'Neesyoq and 'Neeskywinwaet""","470","479"
88,"Knows","""Paraet'Naerhl""","""Sperm Whale (hlpoon)""","1","""The pole of 'Neesyoq and 'Neeskywinwaet""","470","479"
89,"Knows","""Paraet'Naerhl""","""person with ... garment (gyet)""","1","""A feud over this pole.""","470","479"
90,"Knows","""Paraet'Naerhl""","""Gyaibelk"" (carved)","1","""The pole of 'Neesyoq and 'Neeskywinwaet""","470","479"
91,"Knows","""Paraet'Naerhl""","son of ""Paraet'Naerhl""","1","""The pole of 'Neesyoq and 'Neeskywinwaet""","470","479"
92,"Knows","""Paraet'Naerhl""","""person with ... garment (gyet)""","1","""The pole of 'Neesyoq and 'Neeskywinwaet""","470","479"
93,"Knows","son of ""Paraet'Naerhl""","""man with sea cockle (kal'own)""","1","""The pole of 'Neesyoq and 'Neeskywinwaet""","470","479"
94,"Knows","son of ""Paraet'Naerhl""","""Sperm Whale (hlpoon)""","1","""The pole of 'Neesyoq and 'Neeskywinwaet""","470","479"
95,"Knows","son of ""Paraet'Naerhl""","""person with ... garment (gyet)""","1","""The pole of 'Neesyoq and 'Neeskywinwaet""","470","479"
