source,target,Char 1 Name,Char 2 Name,startPage,type,weight
35,77,Bird Watchers,Mrs Next Door,10,Undirected,1
5,38,Petunia Dursley,Viewers,10,Undirected,1
6,80,Vernon Dursley,Bird Experts,10,Undirected,1
78,80,Mrs Next Door's Daughter,Bird Experts,10,Undirected,1
78,19,Mrs Next Door's Daughter,Minerva McGonagall,10,Undirected,1
38,78,Viewers,Mrs Next Door's Daughter,10,Undirected,1
35,79,Bird Watchers,Ted (News Reader),10,Undirected,1
4,37,Dudley Dursley,Jim McGuffin,10,Undirected,1
34,35,Tiny old man,Bird Watchers,10,Undirected,1
37,77,Jim McGuffin,Mrs Next Door,10,Undirected,1
36,78,Owls,Mrs Next Door's Daughter,10,Undirected,1
4,80,Dudley Dursley,Bird Experts,10,Undirected,1
36,5,Owls,Petunia Dursley,10,Undirected,1
35,36,Bird Watchers,Owls,10,Undirected,1
11,19,Voldemort,Minerva McGonagall,10,Undirected,1
34,79,Tiny old man,Ted (News Reader),10,Undirected,1
4,78,Dudley Dursley,Mrs Next Door's Daughter,10,Undirected,1
38,37,Viewers,Jim McGuffin,10,Undirected,1
35,38,Bird Watchers,Viewers,10,Undirected,1
6,78,Vernon Dursley,Mrs Next Door's Daughter,10,Undirected,1
38,19,Viewers,Minerva McGonagall,10,Undirected,1
36,37,Owls,Jim McGuffin,10,Undirected,1
36,19,Owls,Minerva McGonagall,10,Undirected,1
34,77,Tiny old man,Mrs Next Door,10,Undirected,1
5,79,Petunia Dursley,Ted (News Reader),10,Undirected,1
5,4,Petunia Dursley,Dudley Dursley,10,Undirected,1
35,11,Bird Watchers,Voldemort,10,Undirected,1
34,4,Tiny old man,Dudley Dursley,10,Undirected,1
37,19,Jim McGuffin,Minerva McGonagall,10,Undirected,1
34,78,Tiny old man,Mrs Next Door's Daughter,10,Undirected,1
36,11,Owls,Voldemort,10,Undirected,1
34,5,Tiny old man,Petunia Dursley,10,Undirected,1
35,37,Bird Watchers,Jim McGuffin,10,Undirected,1
6,77,Vernon Dursley,Mrs Next Door,10,Undirected,1
79,19,Ted (News Reader),Minerva McGonagall,10,Undirected,1
35,19,Bird Watchers,Minerva McGonagall,10,Undirected,1
6,4,Vernon Dursley,Dudley Dursley,10,Undirected,1
5,78,Petunia Dursley,Mrs Next Door's Daughter,10,Undirected,1
11,80,Voldemort,Bird Experts,10,Undirected,1
38,80,Viewers,Bird Experts,10,Undirected,1
6,11,Vernon Dursley,Voldemort,10,Undirected,1
5,37,Petunia Dursley,Jim McGuffin,10,Undirected,1
11,78,Voldemort,Mrs Next Door's Daughter,10,Undirected,1
34,37,Tiny old man,Jim McGuffin,10,Undirected,1
37,79,Jim McGuffin,Ted (News Reader),10,Undirected,1
36,80,Owls,Bird Experts,10,Undirected,1
34,19,Tiny old man,Minerva McGonagall,10,Undirected,1
6,79,Vernon Dursley,Ted (News Reader),10,Undirected,1
77,19,Mrs Next Door,Minerva McGonagall,10,Undirected,1
38,11,Viewers,Voldemort,10,Undirected,1
5,19,Petunia Dursley,Minerva McGonagall,10,Undirected,1
34,80,Tiny old man,Bird Experts,10,Undirected,1
4,77,Dudley Dursley,Mrs Next Door,10,Undirected,1
37,80,Jim McGuffin,Bird Experts,10,Undirected,1
5,11,Petunia Dursley,Voldemort,10,Undirected,1
34,11,Tiny old man,Voldemort,10,Undirected,1
79,80,Ted (News Reader),Bird Experts,10,Undirected,1
36,4,Owls,Dudley Dursley,10,Undirected,1
78,79,Mrs Next Door's Daughter,Ted (News Reader),10,Undirected,1
77,80,Mrs Next Door,Bird Experts,10,Undirected,1
37,78,Jim McGuffin,Mrs Next Door's Daughter,10,Undirected,1
35,80,Bird Watchers,Bird Experts,10,Undirected,1
36,6,Owls,Vernon Dursley,10,Undirected,1
36,77,Owls,Mrs Next Door,10,Undirected,1
4,11,Dudley Dursley,Voldemort,10,Undirected,1
77,78,Mrs Next Door,Mrs Next Door's Daughter,10,Undirected,1
80,19,Bird Experts,Minerva McGonagall,10,Undirected,1
36,38,Owls,Viewers,10,Undirected,1
35,5,Bird Watchers,Petunia Dursley,10,Undirected,1
