
"id","Type of Relationship <br />(choose)","Character 1 <br />(choose)","Character 2 <br />(choose)","Is Reciprocal? <br />(choose)","Narrative Container <br />(choose)","Start Page","End Page"
"370","Knows","Evelina Harp","Seraph Milk (Mooshum)","1","Story","19","19"
"373","Knows of","Evelina Harp","Chief Gall","0","Story","19","19"
"375","Knows of","Evelina Harp","Man (who Ott shot in the leg)","0","Story","19","19"
"379","Knows of","Evelina Harp","Joseph (biblical figure)","0","Story","19","19"
"380","Knows of","Evelina Harp","Mary (biblical figure)","0","Story","19","19"
"381","Knows of","Evelina Harp","Jesus","0","Story","19","19"
"382","Knows","Evelina Harp","Edward Harp","1","Story","19","19"
"383","Knows","Evelina Harp","Joseph Harp","1","Story","19","19"
"384","Knows","Evelina Harp","Clemence Harp","1","Story","19","19"
"392","Knows of","Evelina Harp","The ""black-haired"" Stooge","0","Story","19","19"
"394","Knows","Evelina Harp","Junesse Malaterre","0","Story","19","19"
"395","Exchange","Evelina Harp","Corwin Peace","1","Story","20","20"
"396","Knows of","Evelina Harp","John F. Kennedy","0","A Little Nip","21","21"
"397","Knows of","Evelina Harp","Pope John XXII","0","A Little Nip","21","21"
"398","Knows of","Evelina Harp","Louis Riel","0","A Little Nip","21","22"
"400","Knows","Evelina Harp","Clemence Harp","1","A Little Nip","21","21"
"401","Knows","Evelina Harp","Edward Harp","1","A Little Nip","21","21"
"431","Knows","Evelina Harp","Seraph Milk (Mooshum)","1","A Little Nip","21","28"
"432","Knows","Evelina Harp","Shamengwa Milk","1","A Little Nip","21","28"
"433","Knows of","Evelina Harp","Severine Milk","0","A Little Nip","21","22"
"434","Knows of","Evelina Harp","Joseph Milk (Seraph Milk's Father)","0","A Little Nip","21","22"
"435","Knows of","Evelina Harp","Seraph Milk's Mother","0","A Little Nip","21","21"
"436","Knows of","Evelina Harp","Louis Riel's Wife","0","A Little Nip","21","21"
"437","Knows of","Evelina Harp","Louis Riel's Child","0","A Little Nip","21","21"
"438","Knows of","Evelina Harp","Louis Riel's Lieutenants","0","A Little Nip","21","21"
"439","Knows of","Evelina Harp","Priests (who threatened Louis Riel's followers)","0","A Little Nip","21","22"
"440","Knows of","Evelina Harp","Baby (who the Milk family lost)","0","A Little Nip","21","21"
"442","Knows","Evelina Harp","Clemence Harp","1","A Little Nip","22","24"
"450","Knows","Evelina Harp","Geraldine Milk","1","A Little Nip","22","23"
"451","Knows","Evelina Harp","Old Retired Priest","0","A Little Nip","22","23"
"452","Knows","Evelina Harp","Father Cassidy","1","A Little Nip","23","28"
"453","Exchange","Evelina Harp","Joseph Harp","1","A Little Nip","23","23"
"460","Knows","Evelina Harp","Joseph Harp","1","A Little Nip","24","24"
"468","Exchange","Evelina Harp","Joseph Harp","1","A Little Nip","25","30"
"469","Exchange","Evelina Harp","Clemence Harp","1","A Little Nip","26","26"
"477","Knows","Evelina Harp","Clemence Harp","1","A Little Nip","27","27"
"482","Knows","Evelina Harp","Edward Harp","1","A Little Nip","28","29"
"483","Knows","Evelina Harp","Geraldine Milk","1","A Little Nip","28","29"
"485","Knows","Evelina Harp","Evelina and Joseph's Friends","1","A Little Nip","28","28"
"487","Knows","Evelina Harp","Peace Cousins","1","A Little Nip","28","28"
"489","Knows","Evelina Harp","Corwin Peace","1","A Little Nip","28","28"
