source,target,Character 1,Character 2,type,weight,startPage,category
256,260,Mann,Peewee,Directed,1,71,Exchange
256,125,Mann,"""white folks"" (abstract)",Directed,1,71,Knows of
256,259,Mann,Grannie,Directed,1,71,Knows
260,268,Peewee,The Baby,Directed,1,71,Knows
267,10,Sister Jeff,God,Directed,1,71,Exchange
267,259,Sister Jeff,Grannie,Directed,1,71,Knows
267,125,Sister Jeff,"""white folks"" (abstract)",Directed,1,71,Knows of
267,268,Sister Jeff,The Baby,Directed,1,71,Knows
256,268,Mann,The Baby,Directed,1,71,Knows
265,256,Elder Murray,Mann,Directed,1,71,Exchange
265,268,Elder Murray,The Baby,Directed,1,71,Knows
257,256,Lulu,Mann,Directed,1,71,Knows
257,267,Lulu,Sister Jeff,Directed,1,71,Knows
261,268,Bob Cobb,The Baby,Directed,1,72,Knows
257,259,Lulu,Grannie,Directed,1,72,Knows
259,257,Grannie,Lulu,Directed,1,72,Knows
257,265,Lulu,Elder Murray,Directed,1,72,Knows
261,260,Bob Cobb,Peewee,Directed,1,72,Knows
259,125,Grannie,"""white folks"" (abstract)",Directed,1,72,Knows of
257,261,Lulu,Bob Cobb,Directed,1,72,Knows
261,267,Bob Cobb,Sister Jeff,Directed,1,72,Knows
256,265,Mann,Elder Murray,Directed,1,72,Knows
55,267,Jesus Christ,Sister Jeff,Directed,1,72,Knows
55,260,Jesus Christ,Peewee,Directed,1,72,Knows
55,256,Jesus Christ,Mann,Directed,1,72,Knows
259,10,Grannie,God,Directed,1,72,Exchange
259,92,Grannie,Bob (kidnapper),Directed,1,72,Knows
259,265,Grannie,Elder Murray,Directed,1,72,Knows
10,261,God,Bob Cobb,Directed,1,72,Exchange
260,272,Peewee,The Heartfield Family,Directed,1,72,Knows of
261,265,Bob Cobb,Elder Murray,Directed,1,72,Knows
259,267,Grannie,Sister Jeff,Directed,1,72,Knows
256,261,Mann,Bob Cobb,Directed,1,72,Knows
259,273,Grannie,Heartfield,Directed,1,72,Knows of
259,272,Grannie,The Heartfield Family,Directed,1,72,Knows of
92,259,Bob (kidnapper),Grannie,Directed,1,72,Knows
261,125,Bob Cobb,"""white folks"" (abstract)",Directed,1,72,Knows of
268,257,The Baby,Lulu,Directed,1,72,Knows
261,273,Bob Cobb,Heartfield,Directed,1,72,Knows of
265,259,Elder Murray,Grannie,Directed,1,72,Knows
265,10,Elder Murray,God,Directed,1,72,Exchange
265,55,Elder Murray,Jesus Christ,Directed,1,72,Knows
259,260,Grannie,Peewee,Directed,1,72,Knows
256,259,Mann,Grannie,Directed,1,72,Knows
256,125,Mann,"""white folks"" (abstract)",Directed,1,72,Knows of
261,10,Bob Cobb,God,Directed,1,72,Exchange
256,272,Mann,The Heartfield Family,Directed,1,72,Knows of
265,125,Elder Murray,"""white folks"" (abstract)",Directed,1,72,Knows of
10,267,God,Sister Jeff,Directed,1,72,Exchange
259,256,Grannie,Mann,Directed,1,72,Knows
265,267,Elder Murray,Sister Jeff,Directed,1,72,Knows
265,261,Elder Murray,Bob Cobb,Directed,1,72,Knows
10,256,God,Mann,Directed,1,72,Exchange
256,10,Mann,God,Directed,1,72,Exchange
261,259,Bob Cobb,Grannie,Directed,1,72,Knows
259,261,Grannie,Bob Cobb,Directed,1,72,Knows
259,268,Grannie,The Baby,Directed,1,72,Knows
256,273,Mann,Heartfield,Directed,1,72,Knows of
261,256,Bob Cobb,Mann,Directed,1,72,Knows
259,55,Grannie,Jesus Christ,Directed,1,72,Knows
261,257,Bob Cobb,Lulu,Directed,1,72,Knows
261,55,Bob Cobb,Jesus Christ,Directed,1,72,Knows
257,260,Lulu,Peewee,Directed,1,72,Knows
267,272,Sister Jeff,The Heartfield Family,Directed,1,72,Knows of
260,268,Peewee,The Baby,Directed,1,72,Knows
257,267,Lulu,Sister Jeff,Directed,1,72,Knows
257,256,Lulu,Mann,Directed,1,72,Knows
267,261,Sister Jeff,Bob Cobb,Directed,1,72,Knows
267,55,Sister Jeff,Jesus Christ,Directed,1,72,Knows
267,273,Sister Jeff,Heartfield,Directed,1,72,Knows of
10,265,God,Elder Murray,Directed,1,72,Exchange
260,125,Peewee,"""white folks"" (abstract)",Directed,1,72,Knows of
257,268,Lulu,The Baby,Directed,1,72,Knows
260,273,Peewee,Heartfield,Directed,1,72,Knows of
260,259,Peewee,Grannie,Directed,1,72,Knows
260,257,Peewee,Lulu,Directed,1,72,Knows
260,10,Peewee,God,Directed,1,72,Exchange
256,257,Mann,Lulu,Directed,1,72,Knows
260,55,Peewee,Jesus Christ,Directed,1,72,Knows
267,260,Sister Jeff,Peewee,Directed,1,72,Knows
55,261,Jesus Christ,Bob Cobb,Directed,1,72,Knows
55,265,Jesus Christ,Elder Murray,Directed,1,72,Knows
55,259,Jesus Christ,Grannie,Directed,1,72,Knows
260,267,Peewee,Sister Jeff,Directed,1,72,Knows
273,261,Heartfield,Bob Cobb,Directed,1,72,Knows of
267,257,Sister Jeff,Lulu,Directed,1,72,Knows
267,10,Sister Jeff,God,Directed,1,72,Exchange
267,268,Sister Jeff,The Baby,Directed,1,72,Knows
10,259,God,Grannie,Directed,1,72,Exchange
260,261,Peewee,Bob Cobb,Directed,1,72,Knows
267,265,Sister Jeff,Elder Murray,Directed,1,72,Knows
267,259,Sister Jeff,Grannie,Directed,1,72,Knows
267,125,Sister Jeff,"""white folks"" (abstract)",Directed,1,72,Knows of
265,268,Elder Murray,The Baby,Directed,1,72,Knows
265,257,Elder Murray,Lulu,Directed,1,72,Knows
265,256,Elder Murray,Mann,Directed,1,72,Knows
10,260,God,Peewee,Directed,1,72,Exchange
256,268,Mann,The Baby,Directed,1,72,Knows
256,55,Mann,Jesus Christ,Directed,1,72,Knows
256,268,Mann,The Baby,Directed,1,73,Knows
267,259,Sister Jeff,Grannie,Directed,1,73,Knows
265,257,Elder Murray,Lulu,Directed,1,73,Knows
265,256,Elder Murray,Mann,Directed,1,73,Exchange
265,268,Elder Murray,The Baby,Directed,1,73,Knows
267,261,Sister Jeff,Bob Cobb,Directed,1,73,Knows
260,261,Peewee,Bob Cobb,Directed,1,73,Knows
267,265,Sister Jeff,Elder Murray,Directed,1,73,Knows
257,268,Lulu,The Baby,Directed,1,73,Knows
260,257,Peewee,Lulu,Directed,1,73,Knows
261,268,Bob Cobb,The Baby,Directed,1,73,Knows
260,267,Peewee,Sister Jeff,Directed,1,73,Knows
267,257,Sister Jeff,Lulu,Directed,1,73,Knows
260,256,Peewee,Mann,Directed,1,73,Exchange
267,268,Sister Jeff,The Baby,Directed,1,73,Knows
267,260,Sister Jeff,Peewee,Directed,1,73,Knows
257,267,Lulu,Sister Jeff,Directed,1,73,Knows
257,260,Lulu,Peewee,Directed,1,73,Knows
261,267,Bob Cobb,Sister Jeff,Directed,1,73,Knows
256,265,Mann,Elder Murray,Directed,1,73,Exchange
259,265,Grannie,Elder Murray,Directed,1,73,Knows
257,259,Lulu,Grannie,Directed,1,73,Knows
259,92,Grannie,Bob (kidnapper),Directed,1,73,Knows
260,268,Peewee,The Baby,Directed,1,73,Knows
261,256,Bob Cobb,Mann,Directed,1,73,Exchange
261,257,Bob Cobb,Lulu,Directed,1,73,Knows
257,265,Lulu,Elder Murray,Directed,1,73,Knows
261,259,Bob Cobb,Grannie,Directed,1,73,Knows
257,261,Lulu,Bob Cobb,Directed,1,73,Knows
259,261,Grannie,Bob Cobb,Directed,1,73,Knows
256,257,Mann,Lulu,Directed,1,73,Exchange
261,260,Bob Cobb,Peewee,Directed,1,73,Knows
268,257,The Baby,Lulu,Directed,1,73,Knows
92,259,Bob (kidnapper),Grannie,Directed,1,73,Knows
265,259,Elder Murray,Grannie,Directed,1,73,Knows
259,260,Grannie,Peewee,Directed,1,73,Exchange
256,261,Mann,Bob Cobb,Directed,1,73,Exchange
259,267,Grannie,Sister Jeff,Directed,1,73,Knows
259,268,Grannie,The Baby,Directed,1,73,Knows
259,257,Grannie,Lulu,Directed,1,73,Knows
265,261,Elder Murray,Bob Cobb,Directed,1,73,Knows
259,256,Grannie,Mann,Directed,1,73,Knows
265,267,Elder Murray,Sister Jeff,Directed,1,73,Knows
256,259,Mann,Grannie,Directed,1,73,Knows
261,265,Bob Cobb,Elder Murray,Directed,1,73,Knows
259,92,Grannie,Bob (kidnapper),Directed,1,74,Knows
267,261,Sister Jeff,Bob Cobb,Directed,1,74,Knows
260,261,Peewee,Bob Cobb,Directed,1,74,Knows
257,259,Lulu,Grannie,Directed,1,74,Knows
259,265,Grannie,Elder Murray,Directed,1,74,Knows
261,268,Bob Cobb,The Baby,Directed,1,74,Knows
257,260,Lulu,Peewee,Directed,1,74,Knows
257,267,Lulu,Sister Jeff,Directed,1,74,Knows
267,260,Sister Jeff,Peewee,Directed,1,74,Knows
256,265,Mann,Elder Murray,Directed,1,74,Exchange
261,267,Bob Cobb,Sister Jeff,Directed,1,74,Knows
257,268,Lulu,The Baby,Directed,1,74,Knows
267,259,Sister Jeff,Grannie,Directed,1,74,Knows
267,265,Sister Jeff,Elder Murray,Directed,1,74,Knows
265,257,Elder Murray,Lulu,Directed,1,74,Knows
265,268,Elder Murray,The Baby,Directed,1,74,Knows
92,259,Bob (kidnapper),Grannie,Directed,1,74,Knows
256,268,Mann,The Baby,Directed,1,74,Knows
256,259,Mann,Grannie,Directed,1,74,Exchange
256,260,Mann,Peewee,Directed,1,74,Exchange
259,257,Grannie,Lulu,Directed,1,74,Knows
265,256,Elder Murray,Mann,Directed,1,74,Exchange
265,267,Elder Murray,Sister Jeff,Directed,1,74,Knows
265,261,Elder Murray,Bob Cobb,Directed,1,74,Knows
268,256,The Baby,Mann,Directed,1,74,Knows
268,257,The Baby,Lulu,Directed,1,74,Knows
256,261,Mann,Bob Cobb,Directed,1,74,Exchange
261,257,Bob Cobb,Lulu,Directed,1,74,Knows
259,260,Grannie,Peewee,Directed,1,74,Knows
261,265,Bob Cobb,Elder Murray,Directed,1,74,Knows
259,256,Grannie,Mann,Directed,1,74,Exchange
265,259,Elder Murray,Grannie,Directed,1,74,Knows
256,10,Mann,God,Directed,1,74,Knows
256,257,Mann,Lulu,Directed,1,74,Exchange
260,268,Peewee,The Baby,Directed,1,74,Knows
267,268,Sister Jeff,The Baby,Directed,1,74,Knows
260,267,Peewee,Sister Jeff,Directed,1,74,Knows
260,257,Peewee,Lulu,Directed,1,74,Exchange
260,259,Peewee,Grannie,Directed,1,74,Knows
267,257,Sister Jeff,Lulu,Directed,1,74,Knows
10,256,God,Mann,Directed,1,74,Knows
257,261,Lulu,Bob Cobb,Directed,1,74,Knows
261,259,Bob Cobb,Grannie,Directed,1,74,Knows
259,268,Grannie,The Baby,Directed,1,74,Knows
257,265,Lulu,Elder Murray,Directed,1,74,Knows
261,256,Bob Cobb,Mann,Directed,1,74,Exchange
259,267,Grannie,Sister Jeff,Directed,1,74,Knows
259,261,Grannie,Bob Cobb,Directed,1,74,Knows
261,260,Bob Cobb,Peewee,Directed,1,74,Knows
256,268,Mann,The Baby,Directed,1,75,Knows
257,259,Lulu,Grannie,Directed,1,75,Knows
256,260,Mann,Peewee,Directed,1,75,Exchange
259,257,Grannie,Lulu,Directed,1,75,Knows
259,260,Grannie,Peewee,Directed,1,75,Exchange
259,268,Grannie,The Baby,Directed,1,75,Knows
259,256,Grannie,Mann,Directed,1,75,Exchange
268,256,The Baby,Mann,Directed,1,75,Knows
256,10,Mann,God,Directed,1,75,Knows
10,256,God,Mann,Directed,1,75,Knows
260,257,Peewee,Lulu,Directed,1,75,Exchange
