leader_label,assigned_color,community_size,other_large_nodes,leader_id,leader_strength,leader_size,modularity_class,notes
"""spies disguised as waiters"" (on TV)(105)",,1,,159,2.0000,10.87,54,
"""the band English Beat"" (118)",,1,,180,0.0000,10.00,55,
"""the band Kiss"" (131)",,1,,204,0.0000,10.00,56,
"""the boys"" (Cory's friends)",,1,,63,0.0000,10.00,57,
"""the driver"" (140)",,1,,221,0.0000,10.00,58,
"""the hooligans"" (114)",,1,,176,0.0000,10.00,59,
"""the nurses"" (135)",,1,,209,0.0000,10.00,60,
"""the people sitting across from him"" (73)",,1,,105,0.0000,10.00,61,
"""the rest of the tenants"" (125)",,1,,188,0.0000,10.00,62,
"""the school-agers"" (61)",,1,,81,0.0000,10.00,63,
"""the students in Mrs Landau's class"" (117)",,1,,177,0.0000,10.00,64,
"""the surgeon""(135)",,1,,211,0.0000,10.00,65,
"""the zookeeper"" (in story) (108)",,1,,163,0.0000,10.00,66,
"""their families"" (139)",,1,,219,0.0000,10.00,67,
"""their parents"" (60)",,1,,80,0.0000,10.00,68,
"""three toddlers"" (60)",,1,,79,0.0000,10.00,69,
"""towelheads""",,1,,393,0.0000,10.00,70,
"""two whole parents with two whole jobs"" (113)",,1,,170,0.0000,10.00,71,
"""Uncle[s]"" (141)",,1,,392,0.0000,10.00,72,
"""we the brown kids"" (114)",,1,,171,0.0000,10.00,73,
"""white kids"" (77)",,1,,108,0.0000,10.00,74,
"a baby",,1,,135,0.0000,10.00,76,
"a caregiver",,1,,134,0.0000,10.00,77,
"American Idol judges",,1,,138,0.0000,10.00,78,
"Amina Mohammed",,1,,50,0.0000,10.00,79,
"Anna Maria De Souza",,1,,142,0.0000,10.00,80,
"Anna's daughter",,1,,206,0.0000,10.00,81,
"arts kids",,1,,156,0.0000,10.00,82,
"Atheists",,1,,218,0.0000,10.00,83,
"Benjamin Tate",,1,,145,0.0000,10.00,84,
"Blackfoot Indigenous group",,1,,165,0.0000,10.00,85,
"Bob Marley",,1,,306,0.0000,10.00,86,
"Bullfighters in Spain",,1,,348,0.0000,10.00,87,
"Caribbean People",,1,,233,0.0000,10.00,89,
"Celene Dion",,1,,192,0.0000,10.00,90,
"Celine Dion",,1,,292,0.0000,10.00,91,
"Charlie (and the Chocolate Factory)",,1,,355,0.0000,10.00,92,
"Children in Africa",,1,,271,0.0000,10.00,93,
"Children who did not yet observe Communion",,1,,283,0.0000,10.00,94,
"Children who survived the fire",,1,,294,0.0000,10.00,95,
"Children's Aid (25)",,1,,23,0.0000,10.00,96,
"children's choir",,1,,154,0.0000,10.00,97,
"Chloe Smith",,1,,53,0.0000,10.00,98,
"Christians",,1,,193,0.0000,10.00,99,
"Cindy's friend (with Guyanese roots)",,1,,234,0.0000,10.00,100,
"Cindy's Friend's Wife",,1,,235,0.0000,10.00,101,
"Cindy's landlord",,1,,257,0.0000,10.00,102,
"Cindy's Mother",,1,,230,0.0000,10.00,103,
"Cindy's other children",,1,,232,0.0000,10.00,104,
"Cindy's teachers",,1,,237,0.0000,10.00,105,
"Cory's boss",,1,,40,0.0000,10.00,106,
"Cory's father",,1,,129,0.0000,10.00,107,
"Creator",,1,,297,0.0000,10.00,108,
"Dads (""who lose their kids..."")",,1,,322,0.0000,10.00,109,
"Dr. Berger's Receptionist",,1,,356,0.0000,10.00,110,
"Edna's family",,1,,351,0.0000,10.00,112,
"El Salvadorians",,1,,238,0.0000,10.00,114,
"Elders",,1,,305,0.0000,10.00,116,
"Eunice (Cindy's Aunt)",,1,,228,0.0000,10.00,117,
"Europeans",,1,,252,0.0000,10.00,118,
"farmers",,1,,161,0.0000,10.00,119,
"Father Joseph",,1,,282,0.0000,10.00,120,
"Finnegan Everson",,1,,46,0.0000,10.00,122,
"Firemen",,1,,287,0.0000,10.00,123,
"Frank Sinatra",,1,,347,0.0000,10.00,124,
"Funding and Development Officer",,1,,302,0.0000,10.00,125,
"Gabby",,1,,231,0.0000,10.00,126,
"Hina's classmates (135)",,1,,210,0.0000,10.00,127,
"Hina's family",,1,,151,0.0000,10.00,128,
"Jennifer Chan",,1,,45,0.0000,10.00,129,
"Jessica's grandma",,1,,184,0.0000,10.00,130,
"Jimi Hendrix",,1,,203,0.0000,10.00,131,
"Joffrey",,1,,249,0.0000,10.00,132,
"Justin Bieber",,1,,84,0.0000,10.00,133,
"Kids crying from stage fright",,1,,342,0.0000,10.00,134,
"kids in the gifted program",,1,,155,0.0000,10.00,135,
"Kids of ""Single mamas""",,1,,325,0.0000,10.00,136,
"Kids who attended Jessica's daycare (126)",,1,,189,0.0000,10.00,137,
"Kyle Keegan",,1,,66,0.0000,10.00,138,
"Ladies (at the rub and tug)",,1,,335,0.0000,10.00,139,
"Laura's classmates",,1,,131,0.0000,10.00,141,
"Liam Williams",,1,,49,0.0000,10.00,142,
"Liberal Party",,1,,149,0.0000,10.00,143,
"Lily Chan",,1,,43,0.0000,10.00,144,
"Little Cesars",,1,,247,0.0000,10.00,145,
"Luka DiSorono",,1,,144,0.0000,10.00,146,
"Marca Angelo",,1,,301,0.0000,10.00,147,
"marketing and development officer of Ontario Reads",,1,,73,0.0000,10.00,148,
"Men singing and drumming at the Powwow",,1,,378,0.0000,10.00,149,
"men who ""come here for tugs"" (69)",,1,,93,0.0000,10.00,150,
"Menendez sisters' Mother",,1,,280,0.0000,10.00,151,
"Micah the martian",,1,,201,0.0000,10.00,152,
"Michael Jackson",,1,,246,0.0000,10.00,153,
"Mother Mary",,1,,137,0.0000,10.00,155,
"Mrs Abdul",,1,,13,0.0000,10.00,156,
"Mrs Emerson",,1,,87,0.0000,10.00,157,
"Mrs. Falls",,1,,20,0.0000,10.00,159,
"Mrs. Khan",,1,,60,0.0000,10.00,160,
"Muslims",,1,,217,0.0000,10.00,161,
"n****rs",,1,,124,0.0000,10.00,162,
"Natalia Angelo",,1,,300,0.0000,10.00,163,
"NDP Party",,1,,148,0.0000,10.00,164,
"Officer Tyndall's ""girlfriend""",,1,,336,0.0000,10.00,165,
"Ontario Reads facilitators",,1,,42,0.0000,10.00,166,
"Oprah Winfrey",,1,,72,0.0000,10.00,167,
"Pakistanis",,1,,240,0.0000,10.00,168,
"Parents double-fisted with ice cream cones",,1,,343,0.0000,10.00,169,
"Paula Santiago",,1,,146,0.0000,10.00,171,
"Paulo Sanchez",,1,,65,0.0000,10.00,172,
"People ""like Christy"" (141)",,1,,222,0.0000,10.00,173,
"Powwow Dancers",,1,,377,2.0000,10.87,175,
"Priests",,1,,139,0.0000,10.00,176,
"Raj (Hina'a cousin)",,1,,150,0.0000,10.00,177,
"Reese Knowles",,1,,143,0.0000,10.00,179,
"Ryan Hoffman's family",,1,,304,0.0000,10.00,183,
"Saints",,1,,36,0.0000,10.00,184,
"Santa",,1,,205,0.0000,10.00,185,
"Scarborough locals",,1,,254,0.0000,10.00,186,
"School-aged-children",,1,,373,0.0000,10.00,187,
"Sebastian Dennis",,1,,48,0.0000,10.00,188,
"Senior citizens (""who turned their cottages..."")",,1,,243,0.0000,10.00,189,
"Sisters of ""single mamas""",,1,,324,0.0000,10.00,190,
"Sonia DiSorono",,1,,141,0.0000,10.00,191,
"South Asians",,1,,153,0.0000,10.00,192,
"Sri Lankans",,1,,239,0.0000,10.00,193,
"St. Malachy",,1,,273,0.0000,10.00,194,
"Sylvie's Grandpa",,1,,318,0.0000,10.00,196,
"the band Kiss",,1,,202,0.0000,10.00,197,
"the bus driver",,1,,89,0.0000,10.00,198,
"The Chinese",,1,,241,0.0000,10.00,199,
"the Creator",,1,,167,0.0000,10.00,200,
"the orangutan's mother (in story)",,1,,107,0.0000,10.00,201,
"The Queen",,1,,272,0.0000,10.00,202,
"The Swiss",,1,,253,0.0000,10.00,203,
"Tito Ferdie (Bing's uncle)",,1,,136,0.0000,10.00,204,
"Tito Ferdie's Partner",,1,,350,0.0000,10.00,205,
"two refugees from El Salvador",,1,,245,0.0000,10.00,206,
"Victor's mom",,1,,284,0.0000,10.00,208,
"Vietnamese ladies",,1,,32,0.0000,10.00,209,
"Visitors (to the Powwow)",,1,,376,2.0000,10.87,210,
"Waleed Mohammed",,1,,51,0.0000,10.00,211,
"Wendy (Cindy's Aunt)",,1,,229,0.0000,10.00,212,
"white kids' grandparents (77)",,1,,109,0.0000,10.00,213,
"Whitney Houston",,1,,346,0.0000,10.00,214,
"Winston Dunst",,1,,147,0.0000,10.00,215,
"Winsum's cousins",,1,,251,0.0000,10.00,217,
"Winsum's Mother",,1,,250,0.0000,10.00,218,
"Yanna Knowles",,1,,140,0.0000,10.00,221,
"Yanna, Evan, and Tasha's Father",,1,,285,0.0000,10.00,222,
"Youssef",,1,,379,0.0000,10.00,223,
