leader_label,assigned_color,community_size,other_large_nodes,leader_id,leader_strength,leader_size,modularity_class,notes
"Person (who was subdued by three policemen)",,1,,1666,0.0000,10.00,97,
"Moses",,1,,1668,0.0000,10.00,98,
"""town squirts""",,1,,1669,0.0000,10.00,99,
"Patterson boy",,1,,1597,0.0000,10.00,100,
"""men""",,1,,1671,0.0000,10.00,101,
"Colonel Sartoris",,1,,1673,0.0000,10.00,102,
"Square students",,1,,1522,0.0000,10.00,103,
"School Authorities",,1,,1680,0.0000,10.00,104,
"People in the field (playing golf)",,1,,1452,0.0000,10.00,105,
"Eastern jews/""fellows that... in New York""",,1,,1457,0.0000,10.00,106,
"Stock Investors",,1,,1458,0.0000,10.00,107,
"Maid",,1,,1463,0.0000,10.00,108,
"Man (who made money selling rotten goods)",,1,,1464,0.0000,10.00,109,
"Chinese Missionary",,1,,1773,0.0000,10.00,110,
"""[G]rafters in the Mayor""s office""",,1,,1465,0.0000,10.00,111,
"Doctor",,1,,1496,0.0000,10.00,112,
"Grave diggers",,1,,1469,0.0000,10.00,113,
"The Band (in town)",,1,,1477,0.0000,10.00,114,
"""Other boys""",,1,,1774,0.0000,10.00,115,
"""Girl"" (Quentin supposedly owes money)",,1,,1775,0.0000,10.00,116,
"Customer (who comes in with Earl)",,1,,1473,0.0000,10.00,117,
"Dentist",,1,,2084,0.0000,10.00,118,
"Band member (who can play the saw)",,1,,1493,0.0000,10.00,119,
"Buck Turpin",,1,,1478,0.0000,10.00,120,
"Ab Russell",,1,,1482,0.0000,10.00,121,
"Parson Walthall",,1,,1483,0.0000,10.00,122,
"Babe Ruth",,1,,1485,0.0000,10.00,123,
"Little girl (Benjy ran after)",,1,,1487,0.0000,10.00,124,
"Governer",,1,,1508,0.0000,10.00,125,
"People in cabins (who stare at Ben)",,1,,1526,2.0000,10.42,126,
"""six small children""",,1,,1535,0.0000,10.00,128,
"""The second man""",,1,,1536,0.0000,10.00,129,
"People (in Easter Sunday clothes)",,1,,1573,2.0000,10.42,130,
"Mary",,1,,1548,0.0000,10.00,131,
"Other group of people (Luster tries to impress)",,1,,2501,0.0000,10.00,133,
