leader_label,assigned_color,community_size,other_large_nodes,leader_id,leader_strength,leader_size,modularity_class,notes
"Cholly Breedlove",magenta,26,"Pauline Breedlove (32.9); Darlene (17.8); White man (flashlight) (16.2); White man (spirit lamp) (16.2); Blue Jack (13.6)",910,80.0000,51.10,6,
"Claudia",red,15,"Frieda (75.0); Mrs. MacTeer (Claudia's Mother) (43.3); Maureen Peal (28.7); Mr. Henry (20.9); Rosemary Villanucci (16.8)",908,174.0000,100.00,1,
"Pecola Breedlove",blue,14,"Miss Marie (22.0); Soaphead Church (17.8); China (16.8); God (TBE) (14.7); Louis Junior (14.7)",912,140.0000,82.31,7,
"Aunt Jimmy",violet,8,"Miss Alice (16.8); Mrs. Gaines (14.7); Aunt Jimmy's Friends (11.6); M'Dear (11.6); Black Men (11.0)",1029,21.0000,20.40,4,
"Bay Boy",,4,"Woodrow Cain (15.2); Buddy Wilson (14.2); Junie Bug (13.6)",1016,13.0000,16.24,0,
"Isaley's in Akron",,3,"Maureen's Uncle (10.5); Maureen's Uncle's friend (10.5)",1058,3.0000,11.04,3,
"Insurance Folks",,2,"O.V. (10.5)",1059,2.0000,10.52,5,
"Jake",,2,"Suky (11.6)",1061,6.0000,12.60,8,
"The Fishers",,2,"Mr. Fisher (10.0)",1024,3.0000,11.04,9,
"Funeral Attendees",,1,,1047,6.0000,12.60,2,
"Women",,1,,995,2.0000,10.52,10,
