leader_label,assigned_color,community_size,other_large_nodes,leader_id,leader_strength,leader_size,modularity_class,notes
"Sasha",red,105,"Drew Blake (47.7); Alison Blake (41.0); Robert Freeman Jr. (32.3); Ted Hollander (30.2); Lincoln Blake (28.5)",66,475.0000,91.09,2,
"Bennie Salazar",blue,83,"Scotty Hausmann (65.0); Rhea (51.8); Jocelyn (50.5); Alice (42.4); God (25.4)",67,527.0000,100.00,4,
"Lulu Peale",cyan,78,"Kitty Jackson (43.1); Dolly Peale (38.3); Jules Jones (37.8); The General (29.5); Arc (29.4)",346,200.0000,43.94,0,
"Stephanie",magenta,58,"Christopher Salazar (30.1); Bosco (22.2); Kathy (19.6); The Conduits (band) (18.4); Chandra (oldest Stop/Go sister) (18.1)",82,175.0000,39.66,5,
"Alex",violet,56,"Cara-Ann (Alex's daughter) (29.0); Rebecca (Alex's wife) (28.2); Coz (16.3); ""the woman"" (wallet victim) (15.0); Rose (Alex's friend) (12.7)",71,203.0000,44.46,3,
"Lou Kline",orange,53,"Rolph (57.3); Charlie (52.7); Mindy (43.3); Albert (32.6); Mildred (30.6)",130,383.0000,75.31,1,
