leader_label,assigned_color,community_size,other_large_nodes,leader_id,leader_strength,leader_size,modularity_class,notes
"Bobby's Sister 2",,1,,208,0.0000,10.00,65,
"Bobby's uncles",,1,,227,0.0000,10.00,66,
"Bogie",,1,,211,0.0000,10.00,67,
"Border Rats",,1,,511,0.0000,10.00,68,
"Boxing match attendees",,1,,673,0.0000,10.00,69,
"Boys in the Porsche",,1,,461,0.0000,10.00,70,
"Boyz 2 Men",,1,,293,0.0000,10.00,71,
"Braceros",,1,,446,0.0000,10.00,72,
"Brazilian coroner",,1,,770,0.0000,10.00,73,
"Bruce Lee",,1,,160,0.0000,10.00,74,
"Bruin mascot",,1,,658,0.0000,10.00,75,
"Bud Girls",,1,,672,0.0000,10.00,76,
"Bus Driver",,1,,487,0.0000,10.00,77,
"Buzzworm's Grandmother",,1,,241,0.0000,10.00,78,
"Buzzworm's informant",,1,,322,0.0000,10.00,79,
"Californianos",,1,,550,0.0000,10.00,80,
"Call-in Cop",,1,,389,0.0000,10.00,81,
"Cantiflas",,1,,100,0.0000,10.00,82,
"Cantina chef",,1,,538,0.0000,10.00,83,
"Cantina diners",,1,,533,0.0000,10.00,84,
"Cantina waiter's family",,1,,537,0.0000,10.00,85,
"Car jam Barista",,1,,601,0.0000,10.00,86,
"Car Owners and Passengers (abstract)",,1,,370,0.0000,10.00,87,
"Carlos Salinas de Gortari",,1,,639,0.0000,10.00,88,
"Carmen Miranda",,1,,99,0.0000,10.00,89,
"Caucasian Japanophiles",,1,,373,0.0000,10.00,90,
"Celia Oh's Brother",,1,,236,0.0000,10.00,91,
"Celia Oh's Father",,1,,235,0.0000,10.00,92,
"Celia Oh's Mother",,1,,233,0.0000,10.00,93,
"centro-americanos",,1,,447,0.0000,10.00,95,
"Character in ""The Big Sleep""",,1,,796,0.0000,10.00,96,
"character in a Kurosawa film",,1,,507,0.0000,10.00,97,
"Charles Darwin",,1,,731,0.0000,10.00,98,
"Charles Richter",,1,,455,0.0000,10.00,99,
"Charles Von der Ahe",,1,,402,0.0000,10.00,100,
"Charlie Parker",,1,,298,0.0000,10.00,101,
"Chef",,1,,214,0.0000,10.00,102,
"Chekov (Star Trek)",,1,,588,0.0000,10.00,103,
"Chicago Bulls",,1,,671,0.0000,10.00,104,
"Chicana who looks Persian",,1,,375,0.0000,10.00,105,
"Chicanos",,1,,702,0.0000,10.00,106,
"Chico Mendes",,1,,575,0.0000,10.00,107,
"children of one hundred mothers",,1,,845,0.0000,10.00,109,
"Chinese housewives",,1,,684,0.0000,10.00,110,
"Chow Yun-Fat",,1,,264,0.0000,10.00,111,
"Christopher Columbus",,1,,125,0.0000,10.00,112,
"Chumash People",,1,,246,0.0000,10.00,113,
"CIA",,1,,774,0.0000,10.00,114,
"Cisco's Old man",,1,,197,0.0000,10.00,116,
"Citron Man",,1,,463,0.0000,10.00,117,
"CNN",,1,,454,0.0000,10.00,118,
"Coatlalopeuh",,1,,572,0.0000,10.00,119,
"Cockfighters",,1,,541,4.0000,11.61,120,
"Cocktail Hostess",,1,,177,0.0000,10.00,121,
