leader_label,assigned_color,community_size,other_large_nodes,leader_id,leader_strength,leader_size,modularity_class,notes
"Sasha",red,121,"Alison Blake (54.9); Drew Blake (52.4); Robert Freeman Jr. (40.7); Ted Hollander (38.8); Lincoln Blake (33.4)",66,532.0000,89.78,4,
"Bennie Salazar",blue,82,"Alex (56.0); Rebecca (Alex's wife) (22.6); Cara-Ann (Alex's daughter) (22.0); Chandra (oldest Stop/Go sister) (14.4); Louisa (younger Stop/Go sister) (14.2)",67,600.0000,100.00,0,
"Rhea",green,77,"Scotty Hausmann (55.4); Jocelyn (53.3); Alice (34.9); Marty (21.0); Joel (19.5)",87,364.0000,64.54,2,
"Stephanie",magenta,71,"Jules Jones (42.9); Christopher Salazar (22.0); Bosco (20.4); Kathy (16.9); The Conduits (band) (15.6)",82,258.0000,48.61,3,
"Lou Kline",orange,41,"Rolph (50.0); Charlie (44.4); Mindy (40.4); Mildred (26.7); Albert (24.9)",130,398.0000,69.65,1,
"Dolly Peale",cyan,41,"Lulu Peale (41.3); Kitty Jackson (40.8); The General (28.6); Arc (27.1); The General's soldiers (18.7)",347,261.0000,49.07,5,
