leader_label,assigned_color,community_size,other_large_nodes,leader_id,leader_strength,leader_size,modularity_class,notes
"Leo",red,54,"Bruno (26.9); Alma Mereminski/Moritz (19.4); Bernard Moritz (16.1); Man in a Yellow Bow Tie and a White Jacket (16.1); Woman (Art Teacher) (14.4)",1132,235.0000,89.21,19,
"Alma Singer",green,47,"Charlotte Singer (50.8); Bird (40.7); Isaac Moritz (24.2); Misha Shklovsky (22.5); Uncle Julian (15.7)",1138,267.0000,100.00,15,
"Zvi Litvinoff",yellow,15,"Rosa (18.4); Editor (who met with the Litvinoffs) (11.3); Zvi's Landlady (11.3); Department Store Manager (11.0); Bookstore Owner (of small secondhand bookstore) (11.0)",1140,45.0000,25.17,43,
"Bruno Schulz",,2,"Grocer (10.7)",1408,3.0000,11.01,3,
"Little Boy in a Soccer Uniform (in Starbucks)",,2,"Mother of the Boy in the Soccer Uniform (in Star (10.7)",1229,3.0000,11.01,59,
"Kid (who David threw a rock at)",,2,"David's Brother (11.0)",1256,4.0000,11.35,77,
"Franz Kafka",,2,"People (in Leo's obituary for Kafka) (10.7)",1294,3.0000,11.01,99,
"First Girl (playing across the street)",,2,"Second Girl (playing across the street) (10.7)",1308,3.0000,11.01,110,
"First SS Officer",,2,"Second SS Officer (10.7)",1426,3.0000,11.01,213,
"Mrs. Fried",,1,,1142,0.0000,10.00,0,
"Leo's Second Cousin's Wife",,1,,1144,0.0000,10.00,1,
"Doctor who married Leo's second cousin's wife",,1,,1161,0.0000,10.00,2,
"Bruno's Wife",,1,,1146,0.0000,10.00,4,
"Kipnis the Butcher",,1,,1147,0.0000,10.00,5,
"The History of Love",,1,,1691,0.0000,10.00,6,
"Beyla Asch",,1,,1150,0.0000,10.00,7,
"Leo's younger brother (Josef)",,1,,1153,0.0000,10.00,8,
"The Germans (Nazis)",,1,,1690,0.0000,10.00,9,
"Man kicking a dog",,1,,1154,0.0000,10.00,10,
"Alma's Father",,1,,1156,0.0000,10.00,11,
"Alma's Midwife",,1,,1134,0.0000,10.00,12,
"Mordecai Moritz",,1,,1158,0.0000,10.00,13,
"Leo's aunt(s)",,1,,1164,0.0000,10.00,14,
"Wedding Party",,1,,1168,0.0000,10.00,16,
"Hasids",,1,,1692,0.0000,10.00,17,
"""shvartzers""",,1,,1693,0.0000,10.00,18,
"Security Guard",,1,,1170,0.0000,10.00,20,
"Emanuel Ringelblum",,1,,1178,0.0000,10.00,21,
"Emanuel Feuermann",,1,,1179,0.0000,10.00,22,
"Isaac Babel",,1,,1180,0.0000,10.00,23,
"Charlotte's Uncle Chaim",,1,,1181,0.0000,10.00,24,
"Friends (of Bird's who stopped coming over)",,1,,1694,0.0000,10.00,25,
"Tutor (at Oxford)",,1,,1185,0.0000,10.00,26,
"Nehemia",,1,,1186,0.0000,10.00,27,
"Library Clerk (at Oxford)",,1,,1187,0.0000,10.00,28,
"Charlotte's Mother (Grandma Sasha)",,1,,1188,0.0000,10.00,29,
"Charlotte's Father (Grandpa Simon)",,1,,1189,0.0000,10.00,30,
"Old Man",,1,,1191,0.0000,10.00,31,
"Aunt Frances",,1,,1193,0.0000,10.00,32,
"Alberto Giacometti",,1,,1194,0.0000,10.00,33,
"Tenzing Norgay",,1,,1200,0.0000,10.00,34,
"Sir Edmund Hillary",,1,,1201,0.0000,10.00,35,
"Antoine de Saint-Exupery",,1,,1202,0.0000,10.00,36,
"German fighter (who shot Saint-Ex)",,1,,1695,0.0000,10.00,37,
"Lamed Vovniks",,1,,1766,0.0000,10.00,38,
"Luba",,1,,1349,0.0000,10.00,39,
"Nicanor Parra",,1,,1208,0.0000,10.00,40,
"Eve",,1,,1696,0.0000,10.00,41,
"John Travolta",,1,,1697,0.0000,10.00,42,
"Gracia Strumer",,1,,1210,0.0000,10.00,44,
"Rosa's Father",,1,,1211,0.0000,10.00,45,
"Rosa's Mother",,1,,1400,0.0000,10.00,46,
"Boris' Children",,1,,1214,0.0000,10.00,47,
"Girl (who unbuttoned her shirt behind the reeds",,1,,1215,0.0000,10.00,48,
"First Bookstore Owner (In Buenos Aires)",,1,,1219,0.0000,10.00,49,
"Jorge Luis Borges",,1,,1220,0.0000,10.00,50,
"Borges' Visitors",,1,,1221,0.0000,10.00,51,
"Maria Kodama",,1,,1222,0.0000,10.00,52,
"Cervantes",,1,,1223,0.0000,10.00,53,
"Goethe",,1,,1224,0.0000,10.00,54,
"Shakespeare",,1,,1225,0.0000,10.00,55,
"Second Bookstore Owner (In Buenos Aires)",,1,,1226,0.0000,10.00,56,
"Antonio Alberto de Biedma",,1,,1249,0.0000,10.00,57,
"Man reading the newspaper (in Starbucks)",,1,,1227,0.0000,10.00,58,
"Dudu Fisher",,1,,1231,0.0000,10.00,60,
"Philip Roth",,1,,1232,0.0000,10.00,61,
"Leon Wieseltier",,1,,1233,0.0000,10.00,62,
"Starbucks Employee (with painted nails)",,1,,1236,0.0000,10.00,63,
"Man who sold Leo's Second Cousin photo paper",,1,,1701,0.0000,10.00,64,
"Perfume ladies",,1,,1702,0.0000,10.00,65,
"Leo's Grandfather",,1,,1239,0.0000,10.00,66,
"Leo's Great Grandfather",,1,,1240,0.0000,10.00,67,
"Man in an Orange Jacket and Snakeskin Pants",,1,,1242,0.0000,10.00,68,
"Leo's Great Great Grandfather",,1,,1703,0.0000,10.00,69,
"Jackie Mason",,1,,1247,0.0000,10.00,70,
"Robert ( Isaac's editor)",,1,,1248,0.0000,10.00,71,
"Woman (in the limousine)",,1,,1250,0.0000,10.00,72,
"Bernard's Nephew",,1,,1252,0.0000,10.00,73,
"Other Person (sitting across from Leo in the lim",,1,,1253,0.0000,10.00,74,
"Alma Mereminski's Siblings",,1,,1318,0.0000,10.00,75,
"Alma Mereminski's Sister",,1,,1254,0.0000,10.00,76,
"Nurse (to David)",,1,,1258,0.0000,10.00,78,
"Tatiana's Father",,1,,1261,0.0000,10.00,79,
"Zeyde",,1,,1264,0.0000,10.00,80,
"The Czar",,1,,1704,0.0000,10.00,81,
"Bubbe's Parents",,1,,1705,0.0000,10.00,82,
"Group of Russian Women (at the Dead Sea)",,1,,1266,0.0000,10.00,83,
"The Beatles",,1,,1268,0.0000,10.00,84,
"Misha's Grandmother",,1,,1270,0.0000,10.00,85,
"Lev (Misha's Cousin)",,1,,1272,0.0000,10.00,86,
"Isaac Moritz's Ex-Wife",,1,,1278,0.0000,10.00,87,
"Isaac Moritz's Friend",,1,,1279,0.0000,10.00,88,
"Isaac Moritz's Neighbor",,1,,1280,0.0000,10.00,89,
"Isaac Moritz's Gardener",,1,,1281,0.0000,10.00,90,
"Isaac Moritz's Neighbor's Child",,1,,1282,0.0000,10.00,91,
"Woman (who left Nicanor Parra for another)",,1,,1283,0.0000,10.00,92,
"Marx",,1,,1285,0.0000,10.00,93,
"Malevich",,1,,1286,0.0000,10.00,94,
"Leo's Landlord",,1,,1287,0.0000,10.00,95,
"Hitler",,1,,1288,0.0000,10.00,96,
"Pretty Girl (that lived across the street from L",,1,,1290,0.0000,10.00,97,
"Moscow's Secret Police",,1,,1291,0.0000,10.00,98,
"Tolstoy",,1,,1295,0.0000,10.00,100,
"Osip Mandelstam",,1,,1296,0.0000,10.00,101,
"Shlomo Wasserman",,1,,1299,0.0000,10.00,102,
"Ignacio da Silva",,1,,1300,0.0000,10.00,103,
"Duddelsach",,1,,1301,0.0000,10.00,104,
"Rodriguez",,1,,1302,0.0000,10.00,105,
"Feingold",,1,,1303,0.0000,10.00,106,
"De Biedma",,1,,1304,0.0000,10.00,107,
"Vladimir Horowitz",,1,,1306,0.0000,10.00,108,
"Molly Bloom",,1,,1307,0.0000,10.00,109,
"Leopold Gursky (children's author)",,1,,1326,0.0000,10.00,111,
"Leonard Gursky",,1,,1327,0.0000,10.00,112,
"Leo's Cousins",,1,,1312,0.0000,10.00,113,
