source,target,Char 1 Name,Char 2 Name,startPage,type,weight
352,350,Iron Eyes Cody,John Wayne,7,Undirected,1
349,351,Kevin Costner,Indigenous people,7,Undirected,1
352,353,Iron Eyes Cody,Narrator of One Flew over the Cuckoo's Nest,7,Undirected,1
348,349,Mexicans,Kevin Costner,7,Undirected,1
340,348,Americans,Mexicans,7,Undirected,1
340,351,Americans,Indigenous people,7,Undirected,1
353,348,Narrator of One Flew over the Cuckoo's Nest,Mexicans,7,Undirected,1
353,351,Narrator of One Flew over the Cuckoo's Nest,Indigenous people,7,Undirected,1
352,340,Iron Eyes Cody,Americans,7,Undirected,1
347,350,Mel Gibson,John Wayne,7,Undirected,1
349,350,Kevin Costner,John Wayne,7,Undirected,1
352,349,Iron Eyes Cody,Kevin Costner,7,Undirected,1
340,347,Americans,Mel Gibson,7,Undirected,1
340,350,Americans,John Wayne,7,Undirected,1
348,351,Mexicans,Indigenous people,7,Undirected,1
353,347,Narrator of One Flew over the Cuckoo's Nest,Mel Gibson,7,Undirected,1
353,350,Narrator of One Flew over the Cuckoo's Nest,John Wayne,7,Undirected,1
347,349,Mel Gibson,Kevin Costner,7,Undirected,1
350,351,John Wayne,Indigenous people,7,Undirected,1
352,348,Iron Eyes Cody,Mexicans,7,Undirected,1
352,351,Iron Eyes Cody,Indigenous people,7,Undirected,1
348,350,Mexicans,John Wayne,7,Undirected,1
353,340,Narrator of One Flew over the Cuckoo's Nest,Americans,7,Undirected,1
353,349,Narrator of One Flew over the Cuckoo's Nest,Kevin Costner,7,Undirected,1
340,349,Americans,Kevin Costner,7,Undirected,1
354,351,Colonel John Chivington,Indigenous people,8,Undirected,1
325,351,Colonizers/colonists,Indigenous people,8,Undirected,1
354,325,Colonel John Chivington,Colonizers/colonists,8,Undirected,1
325,351,Colonizers/colonists,Indigenous people,9,Undirected,1
325,351,Colonizers/colonists,Indigenous people,10,Undirected,1
68,69,Mario,Maxine,15,Undirected,1
66,68,Tony Loneman,Mario,15,Undirected,1
66,70,Tony Loneman,Tony Loneman's Mother,15,Undirected,1
68,70,Mario,Tony Loneman's Mother,15,Undirected,1
69,70,Maxine,Tony Loneman's Mother,15,Undirected,1
66,69,Tony Loneman,Maxine,15,Undirected,1
66,70,Tony Loneman,Tony Loneman's Mother,16,Undirected,1
68,69,Mario,Maxine,17,Undirected,1
66,68,Tony Loneman,Mario,17,Undirected,1
66,71,Tony Loneman,Karen,17,Undirected,1
68,71,Mario,Karen,17,Undirected,1
69,71,Maxine,Karen,17,Undirected,1
66,69,Tony Loneman,Maxine,17,Undirected,1
69,72,Maxine,MF Doom,18,Undirected,1
134,135,The white men,The Indians,18,Undirected,1
135,72,The Indians,MF Doom,18,Undirected,1
66,135,Tony Loneman,The Indians,18,Undirected,1
66,134,Tony Loneman,The white men,18,Undirected,1
69,135,Maxine,The Indians,18,Undirected,1
134,72,The white men,MF Doom,18,Undirected,1
69,134,Maxine,The white men,18,Undirected,1
66,69,Tony Loneman,Maxine,18,Undirected,1
66,72,Tony Loneman,MF Doom,18,Undirected,1
66,70,Tony Loneman,Tony Loneman's Mother,19,Undirected,1
73,66,Tony Loneman's Father,Tony Loneman,19,Undirected,1
73,70,Tony Loneman's Father,Tony Loneman's Mother,19,Undirected,1
69,70,Maxine,Tony Loneman's Mother,19,Undirected,1
66,69,Tony Loneman,Maxine,19,Undirected,1
73,69,Tony Loneman's Father,Maxine,19,Undirected,1
74,69,Louise Erdrich,Maxine,20,Undirected,1
137,74,"""some homies""",Louise Erdrich,20,Undirected,1
66,74,Tony Loneman,Louise Erdrich,20,Undirected,1
137,66,"""some homies""",Tony Loneman,20,Undirected,1
66,69,Tony Loneman,Maxine,20,Undirected,1
137,69,"""some homies""",Maxine,20,Undirected,1
69,77,Maxine,Octavio Gomez,21,Undirected,1
69,74,Maxine,Louise Erdrich,21,Undirected,1
261,76,"""white boys""",Carlos,21,Undirected,1
74,76,Louise Erdrich,Carlos,21,Undirected,1
66,69,Tony Loneman,Maxine,21,Undirected,1
66,75,Tony Loneman,"""white boy in the Kangol hat""",21,Undirected,1
66,261,Tony Loneman,"""white boys""",21,Undirected,1
69,76,Maxine,Carlos,21,Undirected,1
261,75,"""white boys""","""white boy in the Kangol hat""",21,Undirected,1
74,75,Louise Erdrich,"""white boy in the Kangol hat""",21,Undirected,1
75,77,"""white boy in the Kangol hat""",Octavio Gomez,21,Undirected,1
66,77,Tony Loneman,Octavio Gomez,21,Undirected,1
66,74,Tony Loneman,Louise Erdrich,21,Undirected,1
69,75,Maxine,"""white boy in the Kangol hat""",21,Undirected,1
69,261,Maxine,"""white boys""",21,Undirected,1
74,77,Louise Erdrich,Octavio Gomez,21,Undirected,1
261,74,"""white boys""",Louise Erdrich,21,Undirected,1
75,76,"""white boy in the Kangol hat""",Carlos,21,Undirected,1
76,77,Carlos,Octavio Gomez,21,Undirected,1
261,77,"""white boys""",Octavio Gomez,21,Undirected,1
66,76,Tony Loneman,Carlos,21,Undirected,1
66,78,Tony Loneman,Josefina,22,Undirected,1
261,69,"""white boys""",Maxine,22,Undirected,1
66,261,Tony Loneman,"""white boys""",22,Undirected,1
261,78,"""white boys""",Josefina,22,Undirected,1
66,77,Tony Loneman,Octavio Gomez,22,Undirected,1
69,78,Maxine,Josefina,22,Undirected,1
69,77,Maxine,Octavio Gomez,22,Undirected,1
77,78,Octavio Gomez,Josefina,22,Undirected,1
