id,Name <br />(100 chars)_l,source,Name <br />(100 chars)_r,id_cont,Title <br />(100 chars),Level <br />(choose),Start Page_cont,End Page_cont,Narrator <br />(choose),Protagonist <br />(choose),Embed. Type <br />(choose),id_rel,Type of Relationship <br />(choose),Character 1 <br />(choose),Character 2 <br />(choose),Is Reciprocal? <br />(choose),Narrative Container <br />(choose),Start Page_rel,End Page_rel,index
245,Security Guard,66,Tony Loneman,95,Tony Loneman (II),level 2 (sub-section),142,143,[NULL],Tony Loneman,[NULL],853,Exchange,Tony Loneman,Security Guard,1,Tony Loneman (II),142,142,
84,Big Oakland Powwow,66,Tony Loneman,95,Tony Loneman (II),level 2 (sub-section),142,143,[NULL],Tony Loneman,[NULL],854,Knows of,Tony Loneman,Big Oakland Powwow,0,Tony Loneman (II),142,143,
84,Big Oakland Powwow,66,Tony Loneman,107,Tony Loneman (IV) (1),level 2 (sub-section),234,235,[NULL],Tony Loneman,[NULL],1043,Knows of,Tony Loneman,Big Oakland Powwow,0,Tony Loneman (IV) (1),234,235,
272,People on the train,66,Tony Loneman,107,Tony Loneman (IV) (1),level 2 (sub-section),234,235,[NULL],Tony Loneman,[NULL],1044,Exchange,Tony Loneman,People on the train,1,Tony Loneman (IV) (1),234,235,
84,Big Oakland Powwow,66,Tony Loneman,115,Octavio Gomez (IV) (1),level 2 (sub-section),256,256,[NULL],Octavio Gomez,[NULL],1404,Knows,Tony Loneman,Big Oakland Powwow,0,Octavio Gomez (IV) (1),256,256,
84,Big Oakland Powwow,66,Tony Loneman,121,Dene Oxendene (IV) (2),level 2 (sub-section),269,270,[NULL],Dene Oxendene,[NULL],1475,Knows,Tony Loneman,Big Oakland Powwow,0,Dene Oxendene (IV) (2),270,270,
84,Big Oakland Powwow,66,Tony Loneman,123,Calvin Johnson (IV) (2),level 2 (sub-section),272,273,[NULL],Calvin Johnson,[NULL],1514,Knows,Tony Loneman,Big Oakland Powwow,0,Calvin Johnson (IV) (2),272,273,
84,Big Oakland Powwow,66,Tony Loneman,126,Opal Viola Victoria Bear Shield (IV) (2),level 2 (sub-section),278,278,[NULL],Opal Viola Victoria Bear Shield,[NULL],1555,Knows,Tony Loneman,Big Oakland Powwow,0,Opal Viola Victoria Bear Shield (IV) (2),278,278,
84,Big Oakland Powwow,66,Tony Loneman,127,Jacquie Red Feather (IV) (2),level 2 (sub-section),279,280,[NULL],Jacquie Red Feather,[NULL],1607,Knows,Tony Loneman,Big Oakland Powwow,0,Jacquie Red Feather (IV) (2),279,280,
147,Charles,66,Tony Loneman,130,Tony Loneman (IV) (2),level 2 (sub-section),286,290,[NULL],Tony Loneman,[NULL],1652,Exchange,Tony Loneman,Charles,1,Tony Loneman (IV) (2),286,287,
76,Carlos,66,Tony Loneman,130,Tony Loneman (IV) (2),level 2 (sub-section),286,290,[NULL],Tony Loneman,[NULL],1653,Exchange,Tony Loneman,Carlos,1,Tony Loneman (IV) (2),286,287,
77,Octavio Gomez,66,Tony Loneman,130,Tony Loneman (IV) (2),level 2 (sub-section),286,290,[NULL],Tony Loneman,[NULL],1654,Exchange,Tony Loneman,Octavio Gomez,1,Tony Loneman (IV) (2),286,287,
81,Calvin Johnson,66,Tony Loneman,130,Tony Loneman (IV) (2),level 2 (sub-section),286,290,[NULL],Tony Loneman,[NULL],1655,Exchange,Tony Loneman,Calvin Johnson,1,Tony Loneman (IV) (2),286,287,
244,People at the Powwow,66,Tony Loneman,130,Tony Loneman (IV) (2),level 2 (sub-section),286,290,[NULL],Tony Loneman,[NULL],1663,Knows of,Tony Loneman,People at the Powwow,0,Tony Loneman (IV) (2),286,286,
84,Big Oakland Powwow,66,Tony Loneman,130,Tony Loneman (IV) (2),level 2 (sub-section),286,290,[NULL],Tony Loneman,[NULL],1665,Knows,Tony Loneman,Big Oakland Powwow,0,Tony Loneman (IV) (2),286,287,
69,Maxine,66,Tony Loneman,130,Tony Loneman (IV) (2),level 2 (sub-section),286,290,[NULL],Tony Loneman,[NULL],1669,Exchange,Tony Loneman,Maxine,1,Tony Loneman (IV) (2),288,290,
367,Optimus Prime,66,Tony Loneman,130,Tony Loneman (IV) (2),level 2 (sub-section),286,290,[NULL],Tony Loneman,[NULL],1670,Knows of,Tony Loneman,Optimus Prime,0,Tony Loneman (IV) (2),289,290,
79,Kid on the bus,67,Dene Oxendene,83,Dene Oxendene (I),level 2 (sub-section),27,44,[NULL],Dene Oxendene,[NULL],210,Knows,Dene Oxendene,Kid on the bus,1,Dene Oxendene (I),28,28,
90,Kevin Farley,67,Dene Oxendene,83,Dene Oxendene (I),level 2 (sub-section),27,44,[NULL],Dene Oxendene,[NULL],215,Knows,Dene Oxendene,Kevin Farley,1,Dene Oxendene (I),29,29,
