,source,target,type,weight,startPage,category
104,3.0,100.0,Directed,1,22,Knows of
105,3.0,101.0,Directed,1,21,Knows of
106,3.0,16.0,Directed,1,22,Knows
106,3.0,16.0,Directed,1,23,Knows
106,3.0,16.0,Directed,1,24,Knows
107,3.0,19.0,Directed,1,22,Knows
107,3.0,19.0,Directed,1,23,Knows
108,3.0,102.0,Directed,1,22,Knows
108,3.0,102.0,Directed,1,23,Knows
109,3.0,103.0,Directed,1,23,Knows
109,3.0,103.0,Directed,1,24,Knows
109,3.0,103.0,Directed,1,25,Knows
109,3.0,103.0,Directed,1,26,Knows
109,3.0,103.0,Directed,1,27,Knows
109,3.0,103.0,Directed,1,28,Knows
110,3.0,17.0,Directed,1,23,Exchange
111,3.0,17.0,Directed,1,24,Knows
112,3.0,17.0,Directed,1,25,Exchange
112,3.0,17.0,Directed,1,26,Exchange
112,3.0,17.0,Directed,1,27,Exchange
112,3.0,17.0,Directed,1,28,Exchange
112,3.0,17.0,Directed,1,29,Exchange
112,3.0,17.0,Directed,1,30,Exchange
113,3.0,16.0,Directed,1,26,Exchange
114,3.0,16.0,Directed,1,27,Knows
115,3.0,18.0,Directed,1,28,Knows
115,3.0,18.0,Directed,1,29,Knows
116,3.0,19.0,Directed,1,28,Knows
116,3.0,19.0,Directed,1,29,Knows
117,3.0,105.0,Directed,1,28,Knows
118,3.0,106.0,Directed,1,28,Knows
119,3.0,31.0,Directed,1,28,Knows
120,3.0,107.0,Directed,1,28,Knows
121,3.0,108.0,Directed,1,28,Knows
122,3.0,16.0,Directed,1,28,Exchange
123,3.0,15.0,Directed,1,29,Exchange
123,3.0,15.0,Directed,1,30,Exchange
123,3.0,15.0,Directed,1,31,Exchange
124,3.0,18.0,Directed,1,30,Exchange
124,3.0,18.0,Directed,1,31,Exchange
125,3.0,61.0,Directed,1,30,Exchange
126,3.0,94.0,Directed,1,30,Knows of
127,3.0,109.0,Directed,1,30,Knows of
128,3.0,110.0,Directed,1,30,Knows
129,3.0,111.0,Directed,1,30,Knows
130,3.0,16.0,Directed,1,31,Exchange
130,3.0,16.0,Directed,1,32,Exchange
131,3.0,103.0,Directed,1,31,Knows
131,3.0,103.0,Directed,1,32,Knows
131,3.0,103.0,Directed,1,33,Knows
131,3.0,103.0,Directed,1,34,Knows
132,3.0,60.0,Directed,1,31,Knows of
132,3.0,60.0,Directed,1,32,Knows of
132,3.0,60.0,Directed,1,33,Knows of
133,3.0,17.0,Directed,1,31,Knows
134,3.0,17.0,Directed,1,32,Exchange
135,3.0,19.0,Directed,1,32,Exchange
136,3.0,15.0,Directed,1,32,Knows
136,3.0,15.0,Directed,1,33,Knows
136,3.0,15.0,Directed,1,34,Knows
136,3.0,15.0,Directed,1,35,Knows
136,3.0,15.0,Directed,1,36,Knows
137,3.0,61.0,Directed,1,32,Knows
137,3.0,61.0,Directed,1,33,Knows
137,3.0,61.0,Directed,1,34,Knows
138,3.0,94.0,Directed,1,33,Knows of
138,3.0,94.0,Directed,1,34,Knows of
139,3.0,16.0,Directed,1,33,Knows
139,3.0,16.0,Directed,1,34,Knows
139,3.0,16.0,Directed,1,35,Knows
139,3.0,16.0,Directed,1,36,Knows
139,3.0,16.0,Directed,1,37,Knows
140,3.0,27.0,Directed,1,34,Knows
140,3.0,27.0,Directed,1,35,Knows
140,3.0,27.0,Directed,1,36,Knows
141,3.0,130.0,Directed,1,35,Knows of
142,3.0,129.0,Directed,1,35,Knows of
143,3.0,128.0,Directed,1,35,Knows of
144,3.0,26.0,Directed,1,35,Knows of
145,3.0,17.0,Directed,1,35,Knows
145,3.0,17.0,Directed,1,36,Knows
146,3.0,18.0,Directed,1,35,Knows
146,3.0,18.0,Directed,1,36,Knows
147,3.0,61.0,Directed,1,36,Knows
148,3.0,19.0,Directed,1,36,Knows
149,3.0,132.0,Directed,1,36,Knows of
150,3.0,103.0,Directed,1,36,Knows
150,3.0,103.0,Directed,1,37,Knows
150,3.0,103.0,Directed,1,38,Knows
151,3.0,17.0,Directed,1,37,Exchange
151,3.0,17.0,Directed,1,38,Exchange
151,3.0,17.0,Directed,1,39,Exchange
152,3.0,61.0,Directed,1,37,Exchange
152,3.0,61.0,Directed,1,38,Exchange
152,3.0,61.0,Directed,1,39,Exchange
152,3.0,61.0,Directed,1,40,Exchange
153,3.0,15.0,Directed,1,37,Exchange
153,3.0,15.0,Directed,1,38,Exchange
153,3.0,15.0,Directed,1,39,Exchange
153,3.0,15.0,Directed,1,40,Exchange
153,3.0,15.0,Directed,1,41,Exchange
153,3.0,15.0,Directed,1,42,Exchange
154,3.0,94.0,Directed,1,38,Knows of
155,3.0,103.0,Directed,1,39,Exchange
155,3.0,103.0,Directed,1,40,Exchange
155,3.0,103.0,Directed,1,41,Exchange
155,3.0,103.0,Directed,1,42,Exchange
156,3.0,40.0,Directed,1,40,Knows of
157,3.0,16.0,Directed,1,41,Knows
157,3.0,16.0,Directed,1,42,Knows
158,3.0,75.0,Directed,1,41,Knows of
159,3.0,134.0,Directed,1,41,Knows of
160,3.0,75.0,Directed,1,36,Knows of
161,3.0,18.0,Directed,1,42,Knows
162,3.0,95.0,Directed,1,42,Knows of
163,3.0,31.0,Directed,1,42,Knows
164,3.0,31.0,Directed,1,43,Exchange
164,3.0,31.0,Directed,1,44,Exchange
165,3.0,32.0,Directed,1,43,Knows
165,3.0,32.0,Directed,1,44,Knows
165,3.0,32.0,Directed,1,45,Knows
166,3.0,17.0,Directed,1,43,Knows
167,3.0,135.0,Directed,1,44,Knows
168,3.0,136.0,Directed,1,44,Knows of
168,3.0,136.0,Directed,1,45,Knows of
169,3.0,137.0,Directed,1,44,Knows of
170,3.0,138.0,Directed,1,44,Knows of
171,3.0,135.0,Directed,1,45,Exchange
171,3.0,135.0,Directed,1,46,Exchange
172,3.0,139.0,Directed,1,45,Knows
173,3.0,70.0,Directed,1,46,Knows of
174,3.0,135.0,Directed,1,47,Knows
175,3.0,60.0,Directed,1,47,Exchange
176,3.0,31.0,Directed,1,47,Exchange
177,3.0,32.0,Directed,1,47,Knows
178,3.0,135.0,Directed,1,48,Exchange
178,3.0,135.0,Directed,1,49,Exchange
178,3.0,135.0,Directed,1,50,Exchange
178,3.0,135.0,Directed,1,51,Exchange
178,3.0,135.0,Directed,1,52,Exchange
178,3.0,135.0,Directed,1,53,Exchange
179,3.0,140.0,Directed,1,48,Knows
180,3.0,31.0,Directed,1,48,Knows
181,3.0,32.0,Directed,1,48,Exchange
181,3.0,32.0,Directed,1,49,Exchange
182,3.0,18.0,Directed,1,49,Knows
183,3.0,31.0,Directed,1,49,Exchange
184,3.0,20.0,Directed,1,49,Knows
185,3.0,103.0,Directed,1,49,Knows
186,3.0,60.0,Directed,1,50,Knows of
187,3.0,16.0,Directed,1,51,Knows
188,3.0,32.0,Directed,1,51,Knows
188,3.0,32.0,Directed,1,52,Knows
188,3.0,32.0,Directed,1,53,Knows
189,5.0,51.0,Directed,1,137,Knows
190,5.0,52.0,Directed,1,137,Knows
190,5.0,52.0,Directed,1,138,Knows
190,5.0,52.0,Directed,1,139,Knows
191,5.0,53.0,Directed,1,138,Knows
192,5.0,51.0,Directed,1,138,Exchange
193,5.0,53.0,Directed,1,139,Exchange
194,5.0,51.0,Directed,1,139,Exchange
195,5.0,8.0,Directed,1,139,Knows
195,5.0,8.0,Directed,1,140,Knows
196,5.0,54.0,Directed,1,139,Knows of
197,5.0,51.0,Directed,1,140,Exchange
198,5.0,52.0,Directed,1,140,Exchange
199,5.0,55.0,Directed,1,140,Knows
200,5.0,56.0,Directed,1,140,Knows
201,5.0,57.0,Directed,1,140,Knows of
202,5.0,53.0,Directed,1,140,Knows
203,5.0,52.0,Directed,1,141,Knows
204,5.0,8.0,Directed,1,141,Exchange
205,5.0,58.0,Directed,1,141,Exchange
206,5.0,59.0,Directed,1,144,Knows
207,5.0,76.0,Directed,1,144,Knows
207,5.0,76.0,Directed,1,145,Knows
207,5.0,76.0,Directed,1,146,Knows
208,5.0,8.0,Directed,1,146,Knows
209,5.0,52.0,Directed,1,146,Knows
210,5.0,53.0,Directed,1,146,Knows
211,5.0,78.0,Directed,1,147,Knows
212,5.0,79.0,Directed,1,147,Knows
213,5.0,52.0,Directed,1,147,Knows
214,5.0,53.0,Directed,1,147,Knows
215,5.0,78.0,Directed,1,148,Exchange
216,5.0,79.0,Directed,1,148,Exchange
217,5.0,80.0,Directed,1,148,Knows of
218,5.0,81.0,Directed,1,148,Knows of
219,5.0,82.0,Directed,1,148,Knows
220,5.0,53.0,Directed,1,148,Exchange
220,5.0,53.0,Directed,1,149,Exchange
220,5.0,53.0,Directed,1,150,Exchange
221,5.0,52.0,Directed,1,148,Exchange
221,5.0,52.0,Directed,1,149,Exchange
221,5.0,52.0,Directed,1,150,Exchange
222,5.0,83.0,Directed,1,148,Knows
222,5.0,83.0,Directed,1,149,Knows
223,5.0,84.0,Directed,1,149,Knows
224,5.0,85.0,Directed,1,149,Knows
225,5.0,78.0,Directed,1,149,Knows
225,5.0,78.0,Directed,1,150,Knows
226,5.0,79.0,Directed,1,149,Knows
226,5.0,79.0,Directed,1,150,Knows
226,5.0,79.0,Directed,1,151,Knows
227,5.0,8.0,Directed,1,150,Knows
227,5.0,8.0,Directed,1,151,Knows
228,5.0,52.0,Directed,1,152,Knows
228,5.0,52.0,Directed,1,153,Knows
229,5.0,84.0,Directed,1,152,Exchange
230,5.0,85.0,Directed,1,152,Exchange
231,5.0,53.0,Directed,1,152,Knows
231,5.0,53.0,Directed,1,153,Knows
231,5.0,53.0,Directed,1,154,Knows
231,5.0,53.0,Directed,1,155,Knows
232,5.0,83.0,Directed,1,152,Knows
232,5.0,83.0,Directed,1,153,Knows
233,5.0,8.0,Directed,1,153,Knows
233,5.0,8.0,Directed,1,154,Knows
233,5.0,8.0,Directed,1,155,Knows
234,5.0,114.0,Directed,1,153,Knows of
235,5.0,52.0,Directed,1,153,Knows
235,5.0,52.0,Directed,1,154,Knows
236,5.0,115.0,Directed,1,154,Knows
237,5.0,78.0,Directed,1,155,Knows
237,5.0,78.0,Directed,1,156,Knows
238,5.0,79.0,Directed,1,155,Knows
238,5.0,79.0,Directed,1,156,Knows
239,5.0,116.0,Directed,1,155,Knows
240,5.0,52.0,Directed,1,155,Exchange
241,5.0,52.0,Directed,1,156,Knows
242,5.0,52.0,Directed,1,157,Exchange
243,5.0,53.0,Directed,1,158,Knows
244,5.0,52.0,Directed,1,158,Knows
245,5.0,51.0,Directed,1,158,Knows
246,5.0,60.0,Directed,1,158,Knows
246,5.0,60.0,Directed,1,159,Knows
247,5.0,117.0,Directed,1,158,Knows
248,5.0,75.0,Directed,1,159,Knows
249,5.0,5.0,Directed,1,160,Knows
250,5.0,118.0,Directed,1,160,Exchange
251,5.0,119.0,Directed,1,160,Exchange
252,5.0,120.0,Directed,1,160,Exchange
253,5.0,80.0,Directed,1,160,Knows of
254,5.0,81.0,Directed,1,160,Knows of
254,5.0,81.0,Directed,1,161,Knows of
255,5.0,82.0,Directed,1,160,Knows of
255,5.0,82.0,Directed,1,161,Knows of
256,5.0,78.0,Directed,1,161,Knows
256,5.0,78.0,Directed,1,162,Knows
256,5.0,78.0,Directed,1,163,Knows
256,5.0,78.0,Directed,1,164,Knows
257,5.0,79.0,Directed,1,161,Knows
257,5.0,79.0,Directed,1,162,Knows
257,5.0,79.0,Directed,1,163,Knows
257,5.0,79.0,Directed,1,164,Knows
258,5.0,119.0,Directed,1,162,Knows
258,5.0,119.0,Directed,1,163,Knows
258,5.0,119.0,Directed,1,164,Knows
259,5.0,120.0,Directed,1,162,Exchange
260,5.0,51.0,Directed,1,163,Knows
260,5.0,51.0,Directed,1,164,Knows
260,5.0,51.0,Directed,1,165,Knows
260,5.0,51.0,Directed,1,166,Knows
261,5.0,120.0,Directed,1,163,Knows
261,5.0,120.0,Directed,1,164,Knows
262,5.0,121.0,Directed,1,163,Knows
263,5.0,122.0,Directed,1,164,Exchange
263,5.0,122.0,Directed,1,165,Exchange
264,5.0,123.0,Directed,1,165,Exchange
265,5.0,5.0,Directed,1,166,Exchange
266,5.0,117.0,Directed,1,163,Knows
267,5.0,117.0,Directed,1,165,Knows
267,5.0,117.0,Directed,1,166,Knows
268,5.0,78.0,Directed,1,166,Knows
268,5.0,78.0,Directed,1,167,Knows
268,5.0,78.0,Directed,1,168,Knows
269,5.0,79.0,Directed,1,166,Knows
269,5.0,79.0,Directed,1,167,Knows
269,5.0,79.0,Directed,1,168,Knows
270,5.0,51.0,Directed,1,167,Exchange
271,5.0,124.0,Directed,1,167,Knows
272,5.0,51.0,Directed,1,168,Knows
273,5.0,125.0,Directed,1,170,Exchange
273,5.0,125.0,Directed,1,171,Exchange
274,5.0,78.0,Directed,1,170,Knows
275,5.0,79.0,Directed,1,170,Knows
276,5.0,122.0,Directed,1,171,Exchange
277,5.0,124.0,Directed,1,171,Exchange
278,5.0,126.0,Directed,1,171,Knows
279,5.0,117.0,Directed,1,172,Knows
280,5.0,51.0,Directed,1,172,Exchange
280,5.0,51.0,Directed,1,173,Exchange
281,5.0,78.0,Directed,1,172,Knows
281,5.0,78.0,Directed,1,173,Knows
281,5.0,78.0,Directed,1,174,Knows
282,5.0,79.0,Directed,1,172,Knows
282,5.0,79.0,Directed,1,173,Knows
283,5.0,119.0,Directed,1,173,Knows
284,5.0,120.0,Directed,1,173,Knows
285,5.0,124.0,Directed,1,173,Knows
285,5.0,124.0,Directed,1,174,Knows
286,5.0,126.0,Directed,1,173,Knows
286,5.0,126.0,Directed,1,174,Knows
287,5.0,117.0,Directed,1,174,Knows
288,5.0,53.0,Directed,1,174,Knows
289,5.0,127.0,Directed,1,174,Knows
289,5.0,127.0,Directed,1,175,Knows
290,5.0,78.0,Directed,1,175,Exchange
291,5.0,51.0,Directed,1,175,Knows
292,5.0,79.0,Directed,1,175,Knows
293,5.0,51.0,Directed,1,176,Exchange
293,5.0,51.0,Directed,1,177,Exchange
293,5.0,51.0,Directed,1,178,Exchange
294,5.0,125.0,Directed,1,176,Knows
294,5.0,125.0,Directed,1,177,Knows
295,5.0,124.0,Directed,1,176,Knows
296,5.0,119.0,Directed,1,177,Exchange
297,5.0,120.0,Directed,1,177,Exchange
298,5.0,127.0,Directed,1,177,Knows
299,5.0,79.0,Directed,1,177,Knows
299,5.0,79.0,Directed,1,178,Knows
299,5.0,79.0,Directed,1,179,Knows
300,5.0,8.0,Directed,1,177,Exchange
301,5.0,78.0,Directed,1,179,Knows
302,5.0,51.0,Directed,1,179,Knows
303,5.0,125.0,Directed,1,179,Knows
304,8.0,6.0,Directed,1,1,Exchange
305,8.0,54.0,Directed,1,139,Knows
306,8.0,83.0,Directed,1,153,Knows
307,8.0,5.0,Directed,1,158,Exchange
308,9.0,13.0,Directed,1,5,Exchange
309,9.0,15.0,Directed,1,6,Knows
309,9.0,15.0,Directed,1,7,Knows
309,9.0,15.0,Directed,1,8,Knows
310,9.0,13.0,Directed,1,7,Exchange
311,13.0,10.0,Directed,1,5,Knows of
312,13.0,12.0,Directed,1,5,Knows of
313,14.0,11.0,Directed,1,5,Exchange
314,15.0,3.0,Directed,1,6,Exchange
314,15.0,3.0,Directed,1,7,Exchange
314,15.0,3.0,Directed,1,8,Exchange
314,15.0,3.0,Directed,1,9,Exchange
315,15.0,16.0,Directed,1,6,Knows
316,15.0,17.0,Directed,1,6,Exchange
316,15.0,17.0,Directed,1,7,Exchange
316,15.0,17.0,Directed,1,8,Exchange
316,15.0,17.0,Directed,1,9,Exchange
317,15.0,13.0,Directed,1,7,Knows
317,15.0,13.0,Directed,1,8,Knows
318,15.0,3.0,Directed,1,12,Exchange
319,15.0,17.0,Directed,1,12,Exchange
320,15.0,9.0,Directed,1,12,Knows
321,15.0,3.0,Directed,1,13,Exchange
322,15.0,34.0,Directed,1,15,Knows
323,15.0,3.0,Directed,1,17,Exchange
