,Char 2 ID,Char 1 ID,id_cont,Title <br />(100 chars),Level <br />(choose),Start Page_cont,End Page_cont,Narrator <br />(choose),Protagonist <br />(choose),Embed. Type <br />(choose),id_rel,Type of Relationship <br />(choose),Character 1 <br />(choose),Character 2 <br />(choose),Is Reciprocal? <br />(choose),Narrative Container <br />(choose),Start Page_rel,End Page_rel,index
685,47.0,68.0,33,Mustache Maude,level 3 (sub-sub-section),15,19,Evelina Harp,[NULL],Oral Story,226,Knows,William Hotchkiss,Cuthbert Peace,1,Mustache Maude,17,17,
686,15.0,68.0,33,Mustache Maude,level 3 (sub-sub-section),15,19,Evelina Harp,[NULL],Oral Story,227,Knows,William Hotchkiss,Seraph Milk (Mooshum),1,Mustache Maude,17,17,
687,70.0,68.0,33,Mustache Maude,level 3 (sub-sub-section),15,19,Evelina Harp,[NULL],Oral Story,241,Knows,William Hotchkiss,Buckendorf Family,1,Mustache Maude,17,17,
688,50.0,70.0,33,Mustache Maude,level 3 (sub-sub-section),15,19,Evelina Harp,[NULL],Oral Story,243,Knows,Buckendorf Family,The Lynching,1,Mustache Maude,17,17,
689,46.0,70.0,33,Mustache Maude,level 3 (sub-sub-section),15,19,Evelina Harp,[NULL],Oral Story,244,Knows,Buckendorf Family,Holy Track,1,Mustache Maude,17,17,
690,48.0,70.0,33,Mustache Maude,level 3 (sub-sub-section),15,19,Evelina Harp,[NULL],Oral Story,245,Knows,Buckendorf Family,Asiginak,1,Mustache Maude,17,17,
691,47.0,70.0,33,Mustache Maude,level 3 (sub-sub-section),15,19,Evelina Harp,[NULL],Oral Story,246,Knows,Buckendorf Family,Cuthbert Peace,1,Mustache Maude,17,17,
692,15.0,70.0,33,Mustache Maude,level 3 (sub-sub-section),15,19,Evelina Harp,[NULL],Oral Story,247,Knows,Buckendorf Family,Seraph Milk (Mooshum),1,Mustache Maude,17,17,
693,69.0,71.0,33,Mustache Maude,level 3 (sub-sub-section),15,19,Evelina Harp,[NULL],Oral Story,249,Knows,Husband (of the woman murdered a couple farms over,Woman (murdered a couple farms over),1,Mustache Maude,17,17,
694,69.0,72.0,33,Mustache Maude,level 3 (sub-sub-section),15,19,Evelina Harp,[NULL],Oral Story,250,Knows,Neighbours (of Maude Black),Woman (murdered a couple farms over),1,Mustache Maude,17,17,
695,58.0,75.0,19,Satan: Hijacker of a Planet,level 2 (sub-section),137,146,Marn Wolde,Billy Peace,[NULL],279,Knows,Satan,"""[S]inging people""",1,Satan: Hijacker of a Planet,142,142,
695,58.0,75.0,19,Satan: Hijacker of a Planet,level 2 (sub-section),137,146,Marn Wolde,Billy Peace,[NULL],279,Knows,Satan,"""[S]inging people""",1,Satan: Hijacker of a Planet,143,143,
695,58.0,75.0,19,Satan: Hijacker of a Planet,level 2 (sub-section),137,146,Marn Wolde,Billy Peace,[NULL],279,Knows,Satan,"""[S]inging people""",1,Satan: Hijacker of a Planet,144,144,
696,5.0,75.0,19,Satan: Hijacker of a Planet,level 2 (sub-section),137,146,Marn Wolde,Billy Peace,[NULL],280,Knows,Satan,Marn Wolde,1,Satan: Hijacker of a Planet,142,142,
696,5.0,75.0,19,Satan: Hijacker of a Planet,level 2 (sub-section),137,146,Marn Wolde,Billy Peace,[NULL],280,Knows,Satan,Marn Wolde,1,Satan: Hijacker of a Planet,143,143,
696,5.0,75.0,19,Satan: Hijacker of a Planet,level 2 (sub-section),137,146,Marn Wolde,Billy Peace,[NULL],280,Knows,Satan,Marn Wolde,1,Satan: Hijacker of a Planet,144,144,
697,5.0,77.0,19,Satan: Hijacker of a Planet,level 2 (sub-section),137,146,Marn Wolde,Billy Peace,[NULL],288,Exchange,"""[P]eople"" (praying over Ed's mother)",Marn Wolde,1,Satan: Hijacker of a Planet,145,145,
698,76.0,77.0,19,Satan: Hijacker of a Planet,level 2 (sub-section),137,146,Marn Wolde,Billy Peace,[NULL],289,Knows,"""[P]eople"" (praying over Ed's mother)",Ed's Mother,1,Satan: Hijacker of a Planet,145,145,
699,79.0,78.0,20,The Daniels,level 2 (sub-section),147,157,Marn Wolde,[NULL],[NULL],299,Knows,Judah Peace,Lilith Peace,1,The Daniels,147,147,
699,79.0,78.0,20,The Daniels,level 2 (sub-section),147,157,Marn Wolde,[NULL],[NULL],299,Knows,Judah Peace,Lilith Peace,1,The Daniels,148,148,
699,79.0,78.0,20,The Daniels,level 2 (sub-section),147,157,Marn Wolde,[NULL],[NULL],299,Knows,Judah Peace,Lilith Peace,1,The Daniels,149,149,
699,79.0,78.0,20,The Daniels,level 2 (sub-section),147,157,Marn Wolde,[NULL],[NULL],299,Knows,Judah Peace,Lilith Peace,1,The Daniels,150,150,
700,79.0,78.0,20,The Daniels,level 2 (sub-section),147,157,Marn Wolde,[NULL],[NULL],571,Knows,Judah Peace,Lilith Peace,1,The Daniels,155,155,
700,79.0,78.0,20,The Daniels,level 2 (sub-section),147,157,Marn Wolde,[NULL],[NULL],571,Knows,Judah Peace,Lilith Peace,1,The Daniels,156,156,
701,79.0,78.0,21,The Kindred,level 2 (sub-section),158,179,Marn Wolde,[NULL],[NULL],609,Knows,Judah Peace,Lilith Peace,1,The Kindred,161,161,
701,79.0,78.0,21,The Kindred,level 2 (sub-section),158,179,Marn Wolde,[NULL],[NULL],609,Knows,Judah Peace,Lilith Peace,1,The Kindred,162,162,
701,79.0,78.0,21,The Kindred,level 2 (sub-section),158,179,Marn Wolde,[NULL],[NULL],609,Knows,Judah Peace,Lilith Peace,1,The Kindred,163,163,
701,79.0,78.0,21,The Kindred,level 2 (sub-section),158,179,Marn Wolde,[NULL],[NULL],609,Knows,Judah Peace,Lilith Peace,1,The Kindred,164,164,
702,79.0,78.0,21,The Kindred,level 2 (sub-section),158,179,Marn Wolde,[NULL],[NULL],628,Knows,Judah Peace,Lilith Peace,1,The Kindred,166,166,
702,79.0,78.0,21,The Kindred,level 2 (sub-section),158,179,Marn Wolde,[NULL],[NULL],628,Knows,Judah Peace,Lilith Peace,1,The Kindred,167,167,
702,79.0,78.0,21,The Kindred,level 2 (sub-section),158,179,Marn Wolde,[NULL],[NULL],628,Knows,Judah Peace,Lilith Peace,1,The Kindred,168,168,
702,79.0,78.0,21,The Kindred,level 2 (sub-section),158,179,Marn Wolde,[NULL],[NULL],628,Knows,Judah Peace,Lilith Peace,1,The Kindred,169,169,
702,79.0,78.0,21,The Kindred,level 2 (sub-section),158,179,Marn Wolde,[NULL],[NULL],628,Knows,Judah Peace,Lilith Peace,1,The Kindred,170,170,
703,79.0,78.0,21,The Kindred,level 2 (sub-section),158,179,Marn Wolde,[NULL],[NULL],650,Knows,Judah Peace,Lilith Peace,1,The Kindred,172,172,
703,79.0,78.0,21,The Kindred,level 2 (sub-section),158,179,Marn Wolde,[NULL],[NULL],650,Knows,Judah Peace,Lilith Peace,1,The Kindred,173,173,
703,79.0,78.0,21,The Kindred,level 2 (sub-section),158,179,Marn Wolde,[NULL],[NULL],650,Knows,Judah Peace,Lilith Peace,1,The Kindred,174,174,
704,127.0,78.0,21,The Kindred,level 2 (sub-section),158,179,Marn Wolde,[NULL],[NULL],665,Knows,Judah Peace,Anguish,1,The Kindred,174,174,
704,127.0,78.0,21,The Kindred,level 2 (sub-section),158,179,Marn Wolde,[NULL],[NULL],665,Knows,Judah Peace,Anguish,1,The Kindred,175,175,
705,51.0,78.0,21,The Kindred,level 2 (sub-section),158,179,Marn Wolde,[NULL],[NULL],669,Exchange,Judah Peace,Billy Peace,1,The Kindred,175,175,
706,5.0,79.0,21,The Kindred,level 2 (sub-section),158,179,Marn Wolde,[NULL],[NULL],663,Exchange,Lilith Peace,Marn Wolde,1,The Kindred,174,174,
707,127.0,79.0,21,The Kindred,level 2 (sub-section),158,179,Marn Wolde,[NULL],[NULL],666,Knows,Lilith Peace,Anguish,1,The Kindred,174,174,
707,127.0,79.0,21,The Kindred,level 2 (sub-section),158,179,Marn Wolde,[NULL],[NULL],666,Knows,Lilith Peace,Anguish,1,The Kindred,175,175,
708,81.0,80.0,20,The Daniels,level 2 (sub-section),147,157,Marn Wolde,[NULL],[NULL],307,Knows,Billy Peace's Father,Billy Peace's Mother,1,The Daniels,148,148,
709,81.0,80.0,21,The Kindred,level 2 (sub-section),158,179,Marn Wolde,[NULL],[NULL],601,Knows,Billy Peace's Father,Billy Peace's Mother,1,The Kindred,160,160,
710,82.0,80.0,21,The Kindred,level 2 (sub-section),158,179,Marn Wolde,[NULL],[NULL],602,Knows,Billy Peace's Father,Billy Peace's Sister,1,The Kindred,160,160,
711,82.0,81.0,21,The Kindred,level 2 (sub-section),158,179,Marn Wolde,[NULL],[NULL],603,Knows,Billy Peace's Mother,Billy Peace's Sister,1,The Kindred,160,160,
712,85.0,84.0,20,The Daniels,level 2 (sub-section),147,157,Marn Wolde,[NULL],[NULL],324,Knows,Marn Wolde's First Brother,Marn Wolde's Second Brother,1,The Daniels,149,149,
713,89.0,88.0,34,Story,level 3 (sub-sub-section),19,20,Evelina Harp,[NULL],[NULL],376,Knows,Carpenter (Joseph),Carpenter's Wife,1,Story,19,19,
714,90.0,88.0,34,Story,level 3 (sub-sub-section),19,20,Evelina Harp,[NULL],[NULL],377,Knows of,Carpenter (Joseph),Carpenter's Wife's Son,0,Story,19,19,
715,90.0,89.0,34,Story,level 3 (sub-sub-section),19,20,Evelina Harp,[NULL],[NULL],378,Knows,Carpenter's Wife,Carpenter's Wife's Son,1,Story,19,19,
716,109.0,94.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],508,Knows,Louis Riel,Gabriel Dumont,1,A Little Nip,30,30,
717,110.0,94.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],515,Knows,Louis Riel,"""Mixed-bloods""",1,A Little Nip,30,30,
718,111.0,94.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],516,Knows,Louis Riel,"""Indians""",1,A Little Nip,30,30,
719,94.0,95.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],413,Knows,Seraph Milk's Mother,Louis Riel,1,A Little Nip,21,21,
720,61.0,95.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],415,Knows,Seraph Milk's Mother,Shamengwa Milk,1,A Little Nip,21,21,
721,9.0,95.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],418,Knows,Seraph Milk's Mother,Severine Milk,1,A Little Nip,21,21,
722,97.0,95.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],425,Knows,Seraph Milk's Mother,Louis Riel's Wife,1,A Little Nip,21,21,
723,98.0,95.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],426,Knows,Seraph Milk's Mother,Louis Riel's Child,1,A Little Nip,21,21,
724,99.0,95.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],427,Knows,Seraph Milk's Mother,Louis Riel's Lieutenants,1,A Little Nip,21,21,
725,100.0,95.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],428,Knows,Seraph Milk's Mother,Priests (who threatened Louis Riel's followers),1,A Little Nip,21,21,
726,101.0,95.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],430,Knows,Seraph Milk's Mother,Baby (that the Milk family lost),0,A Little Nip,21,21,
727,95.0,96.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],411,Knows,Joseph Milk (Seraph Milk's Father),Seraph Milk's Mother,1,A Little Nip,21,21,
728,94.0,96.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],412,Knows,Joseph Milk (Seraph Milk's Father),Louis Riel,1,A Little Nip,21,21,
729,61.0,96.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],414,Knows,Joseph Milk (Seraph Milk's Father),Shamengwa Milk,1,A Little Nip,21,21,
730,9.0,96.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],417,Knows,Joseph Milk (Seraph Milk's Father),Severine Milk,1,A Little Nip,21,21,
730,9.0,96.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],417,Knows,Joseph Milk (Seraph Milk's Father),Severine Milk,1,A Little Nip,22,22,
731,97.0,96.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],421,Knows,Joseph Milk (Seraph Milk's Father),Louis Riel's Wife,1,A Little Nip,21,21,
732,98.0,96.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],422,Knows,Joseph Milk (Seraph Milk's Father),Louis Riel's Child,1,A Little Nip,21,21,
733,99.0,96.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],423,Knows,Joseph Milk (Seraph Milk's Father),Louis Riel's Lieutenants,1,A Little Nip,21,21,
734,100.0,96.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],424,Knows,Joseph Milk (Seraph Milk's Father),Priests (who threatened Louis Riel's followers),1,A Little Nip,21,21,
734,100.0,96.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],424,Knows,Joseph Milk (Seraph Milk's Father),Priests (who threatened Louis Riel's followers),1,A Little Nip,22,22,
735,101.0,96.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],429,Knows,Joseph Milk (Seraph Milk's Father),Baby (that the Milk family lost),0,A Little Nip,21,21,
736,16.0,103.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],455,Knows,Father Cassidy,Clemence Harp,1,A Little Nip,23,23,
736,16.0,103.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],455,Knows,Father Cassidy,Clemence Harp,1,A Little Nip,24,24,
737,18.0,103.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],463,Knows,Father Cassidy,Edward Harp,1,A Little Nip,24,24,
738,61.0,103.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],472,Knows,Father Cassidy,Shamengwa Milk,1,A Little Nip,27,27,
739,15.0,103.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],473,Knows,Father Cassidy,Seraph Milk (Mooshum),1,A Little Nip,27,27,
740,60.0,103.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],540,Knows of,Father Cassidy,God,0,A Little Nip,33,33,
741,27.0,103.0,39,A Little Medicine,level 3 (sub-sub-section),64,65,Evelina Harp,[NULL],Oral Story,543,Knows of,Father Cassidy,Neve Harp,0,A Little Medicine,34,34,
742,40.0,103.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],733,Knows,Father Cassidy,Christ,0,A Little Nip,40,40,
743,75.0,103.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],742,Knows of,Father Cassidy,Satan,0,A Little Nip,36,36,
744,119.0,118.0,21,The Kindred,level 2 (sub-section),158,179,Marn Wolde,[NULL],[NULL],593,Knows,Virginie,Marn's diamondback,1,The Kindred,160,160,
745,120.0,118.0,21,The Kindred,level 2 (sub-section),158,179,Marn Wolde,[NULL],[NULL],594,Knows,Virginie,Marn's copperhead,1,The Kindred,160,160,
746,120.0,119.0,21,The Kindred,level 2 (sub-section),158,179,Marn Wolde,[NULL],[NULL],595,Knows,Marn's diamondback,Marn's copperhead,1,The Kindred,160,160,
747,120.0,119.0,21,The Kindred,level 2 (sub-section),158,179,Marn Wolde,[NULL],[NULL],655,Knows,Marn's diamondback,Marn's copperhead,1,The Kindred,173,173,
748,120.0,119.0,21,The Kindred,level 2 (sub-section),158,179,Marn Wolde,[NULL],[NULL],676,Knows,Marn's diamondback,Marn's copperhead,1,The Kindred,177,177,
749,121.0,121.0,21,The Kindred,level 2 (sub-section),158,179,Marn Wolde,[NULL],[NULL],616,Exchange,Train car passengers,Train car passengers,1,The Kindred,163,163,
750,51.0,122.0,21,The Kindred,level 2 (sub-section),158,179,Marn Wolde,[NULL],[NULL],621,Knows,Frenchie,Billy Peace,1,The Kindred,165,165,
751,117.0,122.0,21,The Kindred,level 2 (sub-section),158,179,Marn Wolde,[NULL],[NULL],625,Knows,Frenchie,The Kindred,1,The Kindred,165,165,
752,126.0,124.0,21,The Kindred,level 2 (sub-section),158,179,Marn Wolde,[NULL],[NULL],645,Knows,Deborah,Deborah's children,1,The Kindred,171,171,
753,126.0,124.0,21,The Kindred,level 2 (sub-section),158,179,Marn Wolde,[NULL],[NULL],660,Knows,Deborah,Deborah's children,1,The Kindred,173,173,
753,126.0,124.0,21,The Kindred,level 2 (sub-section),158,179,Marn Wolde,[NULL],[NULL],660,Knows,Deborah,Deborah's children,1,The Kindred,174,174,
754,122.0,125.0,21,The Kindred,level 2 (sub-section),158,179,Marn Wolde,[NULL],[NULL],641,Exchange,Bliss,Frenchie,1,The Kindred,171,171,
755,79.0,127.0,21,The Kindred,level 2 (sub-section),158,179,Marn Wolde,[NULL],[NULL],679,Knows,Anguish,Lilith Peace,1,The Kindred,177,177,
756,129.0,130.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],688,Knows,Neve Harp's potential Stepchildren,Neve Harp's potential third Husband,1,A Little Nip,35,35,
757,32.0,135.0,12,Sister Godzilla,level 2 (sub-section),43,53,Evelina Harp,[NULL],[NULL],765,Knows,Sister Mary Anita Buckendorf,Other Children (in school with Evelina),1,Sister Godzilla,44,44,
757,32.0,135.0,12,Sister Godzilla,level 2 (sub-section),43,53,Evelina Harp,[NULL],[NULL],765,Knows,Sister Mary Anita Buckendorf,Other Children (in school with Evelina),1,Sister Godzilla,45,45,
758,139.0,135.0,12,Sister Godzilla,level 2 (sub-section),43,53,Evelina Harp,[NULL],[NULL],768,Knows,Sister Mary Anita Buckendorf,Evelina's Former Teachers,1,Sister Godzilla,45,45,
759,70.0,135.0,12,Sister Godzilla,level 2 (sub-section),43,53,Evelina Harp,[NULL],[NULL],769,Knows,Sister Mary Anita Buckendorf,Buckendorf Family,1,Sister Godzilla,46,46,
760,18.0,135.0,12,Sister Godzilla,level 2 (sub-section),43,53,Evelina Harp,[NULL],[NULL],788,Knows of,Sister Mary Anita Buckendorf,Edward Harp,1,Sister Godzilla,49,49,
761,32.0,135.0,12,Sister Godzilla,level 2 (sub-section),43,53,Evelina Harp,[NULL],[NULL],790,Exchange,Sister Mary Anita Buckendorf,Other Children (in school with Evelina),1,Sister Godzilla,49,49,
762,16.0,135.0,12,Sister Godzilla,level 2 (sub-section),43,53,Evelina Harp,[NULL],[NULL],796,Knows of,Sister Mary Anita Buckendorf,Clemence Harp,0,Sister Godzilla,51,51,
763,32.0,135.0,12,Sister Godzilla,level 2 (sub-section),43,53,Evelina Harp,[NULL],[NULL],800,Exchange,Sister Mary Anita Buckendorf,Other Children (in school with Evelina),1,Sister Godzilla,52,52,
763,32.0,135.0,12,Sister Godzilla,level 2 (sub-section),43,53,Evelina Harp,[NULL],[NULL],800,Exchange,Sister Mary Anita Buckendorf,Other Children (in school with Evelina),1,Sister Godzilla,53,53,
764,3.0,3.0,10,The Plague of Doves,level 2 (sub-section),5,20,Evelina Harp,[NULL],[NULL],22,Knows of,Evelina Harp,Evelina Harp,0,The Plague of Doves,5,5,0.0
764,3.0,3.0,10,The Plague of Doves,level 2 (sub-section),5,20,Evelina Harp,[NULL],[NULL],22,Knows of,Evelina Harp,Evelina Harp,0,The Plague of Doves,6,6,0.0
764,3.0,3.0,10,The Plague of Doves,level 2 (sub-section),5,20,Evelina Harp,[NULL],[NULL],22,Knows of,Evelina Harp,Evelina Harp,0,The Plague of Doves,7,7,0.0
764,3.0,3.0,10,The Plague of Doves,level 2 (sub-section),5,20,Evelina Harp,[NULL],[NULL],22,Knows of,Evelina Harp,Evelina Harp,0,The Plague of Doves,8,8,0.0
765,9.0,3.0,10,The Plague of Doves,level 2 (sub-section),5,20,Evelina Harp,[NULL],[NULL],22,Knows of,Evelina Harp,Severine Milk,0,The Plague of Doves,5,5,763.0
765,9.0,3.0,10,The Plague of Doves,level 2 (sub-section),5,20,Evelina Harp,[NULL],[NULL],22,Knows of,Evelina Harp,Severine Milk,0,The Plague of Doves,6,6,763.0
765,9.0,3.0,10,The Plague of Doves,level 2 (sub-section),5,20,Evelina Harp,[NULL],[NULL],22,Knows of,Evelina Harp,Severine Milk,0,The Plague of Doves,7,7,763.0
765,9.0,3.0,10,The Plague of Doves,level 2 (sub-section),5,20,Evelina Harp,[NULL],[NULL],22,Knows of,Evelina Harp,Severine Milk,0,The Plague of Doves,8,8,763.0
766,3.0,3.0,10,The Plague of Doves,level 2 (sub-section),5,20,Evelina Harp,[NULL],[NULL],26,Knows of,Evelina Harp,Evelina Harp,0,The Plague of Doves,5,5,1.0
767,10.0,3.0,10,The Plague of Doves,level 2 (sub-section),5,20,Evelina Harp,[NULL],[NULL],26,Knows of,Evelina Harp,German Settlers,0,The Plague of Doves,5,5,764.0
768,3.0,3.0,10,The Plague of Doves,level 2 (sub-section),5,20,Evelina Harp,[NULL],[NULL],27,Knows of,Evelina Harp,Evelina Harp,0,The Plague of Doves,5,5,2.0
769,12.0,3.0,10,The Plague of Doves,level 2 (sub-section),5,20,Evelina Harp,[NULL],[NULL],27,Knows of,Evelina Harp,Norwegian Settlers,0,The Plague of Doves,5,5,765.0
770,3.0,3.0,10,The Plague of Doves,level 2 (sub-section),5,20,Evelina Harp,[NULL],[NULL],28,Knows of,Evelina Harp,Evelina Harp,0,The Plague of Doves,5,5,3.0
771,11.0,3.0,10,The Plague of Doves,level 2 (sub-section),5,20,Evelina Harp,[NULL],[NULL],28,Knows of,Evelina Harp,French Settlers,0,The Plague of Doves,5,5,766.0
772,9.0,3.0,10,The Plague of Doves,level 2 (sub-section),5,20,Evelina Harp,[NULL],[NULL],29,Exchange,Evelina Harp,Severine Milk,0,The Plague of Doves,5,5,307.0
773,13.0,3.0,10,The Plague of Doves,level 2 (sub-section),5,20,Evelina Harp,[NULL],[NULL],29,Exchange,Evelina Harp,Severine Milk's Parishioners,0,The Plague of Doves,5,5,1070.0
774,13.0,3.0,10,The Plague of Doves,level 2 (sub-section),5,20,Evelina Harp,[NULL],[NULL],30,Knows of,Evelina Harp,Severine Milk's Parishioners,0,The Plague of Doves,5,5,1073.0
775,10.0,3.0,10,The Plague of Doves,level 2 (sub-section),5,20,Evelina Harp,[NULL],[NULL],30,Knows of,Evelina Harp,German Settlers,0,The Plague of Doves,5,5,310.0
776,13.0,3.0,10,The Plague of Doves,level 2 (sub-section),5,20,Evelina Harp,[NULL],[NULL],31,Knows of,Evelina Harp,Severine Milk's Parishioners,0,The Plague of Doves,5,5,311.0
777,12.0,3.0,10,The Plague of Doves,level 2 (sub-section),5,20,Evelina Harp,[NULL],[NULL],31,Knows of,Evelina Harp,Norwegian Settlers,0,The Plague of Doves,5,5,1074.0
778,14.0,3.0,10,The Plague of Doves,level 2 (sub-section),5,20,Evelina Harp,[NULL],[NULL],32,Exchange,Evelina Harp,Evelina's Ancestors,0,The Plague of Doves,5,5,1075.0
779,11.0,3.0,10,The Plague of Doves,level 2 (sub-section),5,20,Evelina Harp,[NULL],[NULL],32,Exchange,Evelina Harp,French Settlers,0,The Plague of Doves,5,5,312.0
780,9.0,3.0,10,The Plague of Doves,level 2 (sub-section),5,20,Evelina Harp,[NULL],[NULL],33,Knows,Evelina Harp,Severine Milk,0,The Plague of Doves,6,6,308.0
780,9.0,3.0,10,The Plague of Doves,level 2 (sub-section),5,20,Evelina Harp,[NULL],[NULL],33,Knows,Evelina Harp,Severine Milk,0,The Plague of Doves,7,7,308.0
780,9.0,3.0,10,The Plague of Doves,level 2 (sub-section),5,20,Evelina Harp,[NULL],[NULL],33,Knows,Evelina Harp,Severine Milk,0,The Plague of Doves,8,8,308.0
781,15.0,3.0,10,The Plague of Doves,level 2 (sub-section),5,20,Evelina Harp,[NULL],[NULL],33,Knows,Evelina Harp,Seraph Milk (Mooshum),0,The Plague of Doves,6,6,1071.0
781,15.0,3.0,10,The Plague of Doves,level 2 (sub-section),5,20,Evelina Harp,[NULL],[NULL],33,Knows,Evelina Harp,Seraph Milk (Mooshum),0,The Plague of Doves,7,7,1071.0
781,15.0,3.0,10,The Plague of Doves,level 2 (sub-section),5,20,Evelina Harp,[NULL],[NULL],33,Knows,Evelina Harp,Seraph Milk (Mooshum),0,The Plague of Doves,8,8,1071.0
782,15.0,3.0,10,The Plague of Doves,level 2 (sub-section),5,20,Evelina Harp,[NULL],[NULL],34,Exchange,Evelina Harp,Seraph Milk (Mooshum),0,The Plague of Doves,6,6,1076.0
782,15.0,3.0,10,The Plague of Doves,level 2 (sub-section),5,20,Evelina Harp,[NULL],[NULL],34,Exchange,Evelina Harp,Seraph Milk (Mooshum),0,The Plague of Doves,7,7,1076.0
782,15.0,3.0,10,The Plague of Doves,level 2 (sub-section),5,20,Evelina Harp,[NULL],[NULL],34,Exchange,Evelina Harp,Seraph Milk (Mooshum),0,The Plague of Doves,8,8,1076.0
782,15.0,3.0,10,The Plague of Doves,level 2 (sub-section),5,20,Evelina Harp,[NULL],[NULL],34,Exchange,Evelina Harp,Seraph Milk (Mooshum),0,The Plague of Doves,9,9,1076.0
783,3.0,3.0,10,The Plague of Doves,level 2 (sub-section),5,20,Evelina Harp,[NULL],[NULL],34,Exchange,Evelina Harp,Evelina Harp,0,The Plague of Doves,6,6,313.0
783,3.0,3.0,10,The Plague of Doves,level 2 (sub-section),5,20,Evelina Harp,[NULL],[NULL],34,Exchange,Evelina Harp,Evelina Harp,0,The Plague of Doves,7,7,313.0
783,3.0,3.0,10,The Plague of Doves,level 2 (sub-section),5,20,Evelina Harp,[NULL],[NULL],34,Exchange,Evelina Harp,Evelina Harp,0,The Plague of Doves,8,8,313.0
783,3.0,3.0,10,The Plague of Doves,level 2 (sub-section),5,20,Evelina Harp,[NULL],[NULL],34,Exchange,Evelina Harp,Evelina Harp,0,The Plague of Doves,9,9,313.0
784,3.0,3.0,10,The Plague of Doves,level 2 (sub-section),5,20,Evelina Harp,[NULL],[NULL],35,Knows,Evelina Harp,Evelina Harp,0,The Plague of Doves,6,6,767.0
784,3.0,3.0,10,The Plague of Doves,level 2 (sub-section),5,20,Evelina Harp,[NULL],[NULL],35,Knows,Evelina Harp,Evelina Harp,0,The Plague of Doves,7,7,767.0
784,3.0,3.0,10,The Plague of Doves,level 2 (sub-section),5,20,Evelina Harp,[NULL],[NULL],35,Knows,Evelina Harp,Evelina Harp,0,The Plague of Doves,8,8,767.0
785,16.0,3.0,10,The Plague of Doves,level 2 (sub-section),5,20,Evelina Harp,[NULL],[NULL],35,Knows,Evelina Harp,Clemence Harp,0,The Plague of Doves,6,6,4.0
785,16.0,3.0,10,The Plague of Doves,level 2 (sub-section),5,20,Evelina Harp,[NULL],[NULL],35,Knows,Evelina Harp,Clemence Harp,0,The Plague of Doves,7,7,4.0
785,16.0,3.0,10,The Plague of Doves,level 2 (sub-section),5,20,Evelina Harp,[NULL],[NULL],35,Knows,Evelina Harp,Clemence Harp,0,The Plague of Doves,8,8,4.0
786,15.0,3.0,10,The Plague of Doves,level 2 (sub-section),5,20,Evelina Harp,[NULL],[NULL],36,Knows,Evelina Harp,Seraph Milk (Mooshum),0,The Plague of Doves,6,6,1077.0
787,16.0,3.0,10,The Plague of Doves,level 2 (sub-section),5,20,Evelina Harp,[NULL],[NULL],36,Knows,Evelina Harp,Clemence Harp,0,The Plague of Doves,6,6,314.0
