source,target,Character 1,Character 2,type,weight,startPage,category,Narrator
15,3,Seraph Milk (Mooshum),Evelina Harp,Directed,1,16,Exchange,Evelina Harp
34,42,Junesse Malaterre,"""Mustache"" Maude Black",Directed,1,16,Exchange,Evelina Harp
34,15,Junesse Malaterre,Seraph Milk (Mooshum),Directed,1,17,Exchange,Evelina Harp
42,72,"""Mustache"" Maude Black",Neighbours (of Maude Black),Directed,1,17,Exchange,Evelina Harp
15,3,Seraph Milk (Mooshum),Evelina Harp,Directed,1,17,Exchange,Evelina Harp
15,42,Seraph Milk (Mooshum),"""Mustache"" Maude Black",Directed,1,17,Exchange,Evelina Harp
42,15,"""Mustache"" Maude Black",Seraph Milk (Mooshum),Directed,1,17,Exchange,Evelina Harp
34,42,Junesse Malaterre,"""Mustache"" Maude Black",Directed,1,17,Exchange,Evelina Harp
72,42,Neighbours (of Maude Black),"""Mustache"" Maude Black",Directed,1,17,Exchange,Evelina Harp
15,34,Seraph Milk (Mooshum),Junesse Malaterre,Directed,1,17,Exchange,Evelina Harp
3,15,Evelina Harp,Seraph Milk (Mooshum),Directed,1,17,Exchange,Evelina Harp
42,34,"""Mustache"" Maude Black",Junesse Malaterre,Directed,1,17,Exchange,Evelina Harp
42,72,"""Mustache"" Maude Black",Neighbours (of Maude Black),Directed,1,18,Exchange,Evelina Harp
43,72,Ott Black,Neighbours (of Maude Black),Directed,1,18,Exchange,Evelina Harp
43,73,Ott Black,Man (who Ott shot in the leg),Directed,1,18,Exchange,Evelina Harp
42,73,"""Mustache"" Maude Black",Man (who Ott shot in the leg),Directed,1,18,Exchange,Evelina Harp
42,15,"""Mustache"" Maude Black",Seraph Milk (Mooshum),Directed,1,18,Exchange,Evelina Harp
42,43,"""Mustache"" Maude Black",Ott Black,Directed,1,18,Exchange,Evelina Harp
43,42,Ott Black,"""Mustache"" Maude Black",Directed,1,18,Exchange,Evelina Harp
42,34,"""Mustache"" Maude Black",Junesse Malaterre,Directed,1,18,Exchange,Evelina Harp
73,43,Man (who Ott shot in the leg),Ott Black,Directed,1,18,Exchange,Evelina Harp
3,15,Evelina Harp,Seraph Milk (Mooshum),Directed,1,18,Exchange,Evelina Harp
15,42,Seraph Milk (Mooshum),"""Mustache"" Maude Black",Directed,1,18,Exchange,Evelina Harp
34,42,Junesse Malaterre,"""Mustache"" Maude Black",Directed,1,18,Exchange,Evelina Harp
73,42,Man (who Ott shot in the leg),"""Mustache"" Maude Black",Directed,1,18,Exchange,Evelina Harp
72,42,Neighbours (of Maude Black),"""Mustache"" Maude Black",Directed,1,18,Exchange,Evelina Harp
72,43,Neighbours (of Maude Black),Ott Black,Directed,1,18,Exchange,Evelina Harp
15,3,Seraph Milk (Mooshum),Evelina Harp,Directed,1,18,Exchange,Evelina Harp
3,15,Evelina Harp,Seraph Milk (Mooshum),Directed,1,19,Exchange,Evelina Harp
43,73,Ott Black,Man (who Ott shot in the leg),Directed,1,19,Exchange,Evelina Harp
15,3,Seraph Milk (Mooshum),Evelina Harp,Directed,1,19,Exchange,Evelina Harp
31,3,Corwin Peace,Evelina Harp,Directed,1,20,Exchange,Evelina Harp
3,31,Evelina Harp,Corwin Peace,Directed,1,20,Exchange,Evelina Harp
15,16,Seraph Milk (Mooshum),Clemence Harp,Directed,1,22,Exchange,Evelina Harp
16,15,Clemence Harp,Seraph Milk (Mooshum),Directed,1,22,Exchange,Evelina Harp
15,102,Seraph Milk (Mooshum),Old Retired Priest,Directed,1,22,Exchange,Evelina Harp
102,61,Old Retired Priest,Shamengwa Milk,Directed,1,22,Exchange,Evelina Harp
102,15,Old Retired Priest,Seraph Milk (Mooshum),Directed,1,22,Exchange,Evelina Harp
61,102,Shamengwa Milk,Old Retired Priest,Directed,1,22,Exchange,Evelina Harp
103,15,Father Cassidy,Seraph Milk (Mooshum),Directed,1,23,Exchange,Evelina Harp
15,102,Seraph Milk (Mooshum),Old Retired Priest,Directed,1,23,Exchange,Evelina Harp
61,102,Shamengwa Milk,Old Retired Priest,Directed,1,23,Exchange,Evelina Harp
3,17,Evelina Harp,Joseph Harp,Directed,1,23,Exchange,Evelina Harp
15,16,Seraph Milk (Mooshum),Clemence Harp,Directed,1,23,Exchange,Evelina Harp
15,103,Seraph Milk (Mooshum),Father Cassidy,Directed,1,23,Exchange,Evelina Harp
16,15,Clemence Harp,Seraph Milk (Mooshum),Directed,1,23,Exchange,Evelina Harp
103,61,Father Cassidy,Shamengwa Milk,Directed,1,23,Exchange,Evelina Harp
61,103,Shamengwa Milk,Father Cassidy,Directed,1,23,Exchange,Evelina Harp
102,15,Old Retired Priest,Seraph Milk (Mooshum),Directed,1,23,Exchange,Evelina Harp
17,3,Joseph Harp,Evelina Harp,Directed,1,23,Exchange,Evelina Harp
102,61,Old Retired Priest,Shamengwa Milk,Directed,1,23,Exchange,Evelina Harp
103,61,Father Cassidy,Shamengwa Milk,Directed,1,24,Exchange,Evelina Harp
15,61,Seraph Milk (Mooshum),Shamengwa Milk,Directed,1,24,Exchange,Evelina Harp
103,15,Father Cassidy,Seraph Milk (Mooshum),Directed,1,24,Exchange,Evelina Harp
15,16,Seraph Milk (Mooshum),Clemence Harp,Directed,1,24,Exchange,Evelina Harp
61,103,Shamengwa Milk,Father Cassidy,Directed,1,24,Exchange,Evelina Harp
61,15,Shamengwa Milk,Seraph Milk (Mooshum),Directed,1,24,Exchange,Evelina Harp
15,103,Seraph Milk (Mooshum),Father Cassidy,Directed,1,24,Exchange,Evelina Harp
16,15,Clemence Harp,Seraph Milk (Mooshum),Directed,1,24,Exchange,Evelina Harp
61,103,Shamengwa Milk,Father Cassidy,Directed,1,25,Exchange,Evelina Harp
103,61,Father Cassidy,Shamengwa Milk,Directed,1,25,Exchange,Evelina Harp
103,17,Father Cassidy,Joseph Harp,Directed,1,25,Exchange,Evelina Harp
15,17,Seraph Milk (Mooshum),Joseph Harp,Directed,1,25,Exchange,Evelina Harp
61,17,Shamengwa Milk,Joseph Harp,Directed,1,25,Exchange,Evelina Harp
17,3,Joseph Harp,Evelina Harp,Directed,1,25,Exchange,Evelina Harp
3,17,Evelina Harp,Joseph Harp,Directed,1,25,Exchange,Evelina Harp
17,103,Joseph Harp,Father Cassidy,Directed,1,25,Exchange,Evelina Harp
17,61,Joseph Harp,Shamengwa Milk,Directed,1,25,Exchange,Evelina Harp
15,61,Seraph Milk (Mooshum),Shamengwa Milk,Directed,1,25,Exchange,Evelina Harp
103,15,Father Cassidy,Seraph Milk (Mooshum),Directed,1,25,Exchange,Evelina Harp
61,15,Shamengwa Milk,Seraph Milk (Mooshum),Directed,1,25,Exchange,Evelina Harp
15,103,Seraph Milk (Mooshum),Father Cassidy,Directed,1,25,Exchange,Evelina Harp
17,15,Joseph Harp,Seraph Milk (Mooshum),Directed,1,25,Exchange,Evelina Harp
103,15,Father Cassidy,Seraph Milk (Mooshum),Directed,1,26,Exchange,Evelina Harp
17,103,Joseph Harp,Father Cassidy,Directed,1,26,Exchange,Evelina Harp
17,15,Joseph Harp,Seraph Milk (Mooshum),Directed,1,26,Exchange,Evelina Harp
17,3,Joseph Harp,Evelina Harp,Directed,1,26,Exchange,Evelina Harp
