source,target,Character 1,Character 2,type,weight,startPage,category
29,28,Edna Espiritu,Bing/Bernard Espiritu,Directed,1,38,Exchange
28,29,Bing/Bernard Espiritu,Edna Espiritu,Directed,1,38,Exchange
39,29,Tita Mae,Edna Espiritu,Directed,1,39,Exchange
29,39,Edna Espiritu,Tita Mae,Directed,1,39,Exchange
39,28,Tita Mae,Bing/Bernard Espiritu,Directed,1,39,Exchange
28,29,Bing/Bernard Espiritu,Edna Espiritu,Directed,1,39,Exchange
29,28,Edna Espiritu,Bing/Bernard Espiritu,Directed,1,39,Exchange
28,39,Bing/Bernard Espiritu,Tita Mae,Directed,1,39,Exchange
39,28,Tita Mae,Bing/Bernard Espiritu,Directed,1,40,Exchange
39,29,Tita Mae,Edna Espiritu,Directed,1,40,Exchange
29,28,Edna Espiritu,Bing/Bernard Espiritu,Directed,1,40,Exchange
29,39,Edna Espiritu,Tita Mae,Directed,1,40,Exchange
28,29,Bing/Bernard Espiritu,Edna Espiritu,Directed,1,40,Exchange
28,39,Bing/Bernard Espiritu,Tita Mae,Directed,1,40,Exchange
6,4,Jessica (Laura's Mom),Cory Mitkowski,Directed,1,41,Exchange
4,58,Cory Mitkowski,"""an elderly Asian woman"" (41) / The bowling alley ",Directed,1,41,Exchange
58,4,"""an elderly Asian woman"" (41) / The bowling alley ",Cory Mitkowski,Directed,1,41,Exchange
4,6,Cory Mitkowski,Jessica (Laura's Mom),Directed,1,41,Exchange
4,3,Cory Mitkowski,Laura Mitkowski,Directed,1,42,Exchange
3,4,Laura Mitkowski,Cory Mitkowski,Directed,1,42,Exchange
4,58,Cory Mitkowski,"""an elderly Asian woman"" (41) / The bowling alley ",Directed,1,42,Exchange
58,4,"""an elderly Asian woman"" (41) / The bowling alley ",Cory Mitkowski,Directed,1,42,Exchange
4,4,Cory Mitkowski,Cory Mitkowski,Directed,1,44,Exchange
3,61,Laura Mitkowski,Mrs Crosby,Directed,1,45,Exchange
3,4,Laura Mitkowski,Cory Mitkowski,Directed,1,45,Exchange
61,3,Mrs Crosby,Laura Mitkowski,Directed,1,45,Exchange
4,4,Cory Mitkowski,Cory Mitkowski,Directed,1,45,Exchange
4,3,Cory Mitkowski,Laura Mitkowski,Directed,1,45,Exchange
61,3,Mrs Crosby,Laura Mitkowski,Directed,1,46,Exchange
4,4,Cory Mitkowski,Cory Mitkowski,Directed,1,46,Exchange
3,61,Laura Mitkowski,Mrs Crosby,Directed,1,46,Exchange
61,3,Mrs Crosby,Laura Mitkowski,Directed,1,47,Exchange
3,61,Laura Mitkowski,Mrs Crosby,Directed,1,47,Exchange
3,5,Laura Mitkowski,Hina Hassani,Directed,1,48,Exchange
5,3,Hina Hassani,Laura Mitkowski,Directed,1,48,Exchange
4,5,Cory Mitkowski,Hina Hassani,Directed,1,49,Exchange
5,4,Hina Hassani,Cory Mitkowski,Directed,1,49,Exchange
5,71,Hina Hassani,Jane Fulton,Directed,1,50,Exchange
71,5,Jane Fulton,Hina Hassani,Directed,1,50,Exchange
71,5,Jane Fulton,Hina Hassani,Directed,1,51,Exchange
5,71,Hina Hassani,Jane Fulton,Directed,1,51,Exchange
71,5,Jane Fulton,Hina Hassani,Directed,1,52,Exchange
5,71,Hina Hassani,Jane Fulton,Directed,1,52,Exchange
5,71,Hina Hassani,Jane Fulton,Directed,1,53,Exchange
71,5,Jane Fulton,Hina Hassani,Directed,1,53,Exchange
71,5,Jane Fulton,Hina Hassani,Directed,1,54,Exchange
5,71,Hina Hassani,Jane Fulton,Directed,1,54,Exchange
5,71,Hina Hassani,Jane Fulton,Directed,1,55,Exchange
71,5,Jane Fulton,Hina Hassani,Directed,1,55,Exchange
71,5,Jane Fulton,Hina Hassani,Directed,1,56,Exchange
5,71,Hina Hassani,Jane Fulton,Directed,1,56,Exchange
5,71,Hina Hassani,Jane Fulton,Directed,1,57,Exchange
71,5,Jane Fulton,Hina Hassani,Directed,1,57,Exchange
3,7,Laura Mitkowski,Clara Jane Donohue,Directed,1,59,Exchange
10,3,Sylvie Beaudoin,Laura Mitkowski,Directed,1,59,Exchange
7,3,Clara Jane Donohue,Laura Mitkowski,Directed,1,59,Exchange
3,10,Laura Mitkowski,Sylvie Beaudoin,Directed,1,59,Exchange
10,7,Sylvie Beaudoin,Clara Jane Donohue,Directed,1,59,Exchange
7,10,Clara Jane Donohue,Sylvie Beaudoin,Directed,1,59,Exchange
3,10,Laura Mitkowski,Sylvie Beaudoin,Directed,1,60,Exchange
5,3,Hina Hassani,Laura Mitkowski,Directed,1,60,Exchange
10,7,Sylvie Beaudoin,Clara Jane Donohue,Directed,1,60,Exchange
3,5,Laura Mitkowski,Hina Hassani,Directed,1,60,Exchange
10,3,Sylvie Beaudoin,Laura Mitkowski,Directed,1,60,Exchange
7,10,Clara Jane Donohue,Sylvie Beaudoin,Directed,1,60,Exchange
5,3,Hina Hassani,Laura Mitkowski,Directed,1,61,Exchange
3,5,Laura Mitkowski,Hina Hassani,Directed,1,61,Exchange
3,5,Laura Mitkowski,Hina Hassani,Directed,1,62,Exchange
5,3,Hina Hassani,Laura Mitkowski,Directed,1,62,Exchange
29,83,Edna Espiritu,Principal Sankiewicz,Directed,1,63,Exchange
83,29,Principal Sankiewicz,Edna Espiritu,Directed,1,63,Exchange
28,86,Bing/Bernard Espiritu,Aiden Redden,Directed,1,63,Exchange
86,28,Aiden Redden,Bing/Bernard Espiritu,Directed,1,63,Exchange
10,88,Sylvie Beaudoin,the children on the bus,Directed,1,64,Exchange
28,29,Bing/Bernard Espiritu,Edna Espiritu,Directed,1,64,Exchange
10,28,Sylvie Beaudoin,Bing/Bernard Espiritu,Directed,1,64,Exchange
28,10,Bing/Bernard Espiritu,Sylvie Beaudoin,Directed,1,64,Exchange
