id,Type of Relationship,Character 1,Character 2,Is Reciprocal?,Narrative Container,Start Page,End Page
1298,"Knows of","Emi","Unnamed members of L.A. Underclass","0","31: AM/FM - FreeZone","191","191"
1299,"Knows of","Buzzworm","Unnamed members of L.A. Underclass","0","31: AM/FM - FreeZone","192","192"
1300,"Knows of","Emi","Unnamed members of L.A. Underclass","0","31: AM/FM - FreeZone","192","192"
1301,"Knows of","Buzzworm","Crips","0","31: AM/FM - FreeZone","192","192"
1302,"Knows of","Buzzworm","Bloods","0","31: AM/FM - FreeZone","192","192"
1303,"Knows of","Emi","Bloods","0","31: AM/FM - FreeZone","192","192"
1304,"Knows of","Emi","Crips","0","31: AM/FM - FreeZone","192","192"
1305,"Knows of","Buzzworm","Manzanar Murakami","0","31: AM/FM - FreeZone","192","192"
1306,"Knows of","Manzanar Murakami","the Russians","0","17: The Interview - Manzanar","109","109"
1307,"Knows","Buzzworm","John Coltrane","0","17: The Interview - Manzanar","109","109"
1308,"Knows","Manzanar Murakami","John Coltrane","0","17: The Interview - Manzanar","109","109"
1309,"Knows","Buzzworm","Mozart","0","17: The Interview - Manzanar","109","109"
1310,"Knows","Manzanar Murakami","Mozart","0","17: The Interview - Manzanar","109","109"
1311,"Knows","Buzzworm","Antonín Dvořák","0","17: The Interview - Manzanar","109","109"
1312,"Knows","Manzanar Murakami","Antonín Dvořák","0","17: The Interview - Manzanar","109","109"
1313,"Knows","Buzzworm","Miles Davis","0","17: The Interview - Manzanar","109","109"
1314,"Knows","Manzanar Murakami","Miles Davis","0","17: The Interview - Manzanar","109","109"
1315,"Knows","Buzzworm","Bach","0","17: The Interview - Manzanar","109","109"
1316,"Knows","Manzanar Murakami","Bach","0","17: The Interview - Manzanar","109","109"
1317,"Knows of","Buzzworm","Manzanar's Parents","0","17: The Interview - Manzanar","109","109"
1318,"Knows","Manzanar Murakami","Manzanar's Parents","1","17: The Interview - Manzanar","109","109"
1319,"Knows of","Gabriel Balboa","Unnamed members of L.A. Underclass","0","17: The Interview - Manzanar","110","110"
