label,width,height,font_size,label_radius
Eugene's girlfriend,296.40,31.20,26.0,149.02
Fat arsehole in Galway,343.20,31.20,26.0,172.31
"fella""with a toughie English accent""",518.40,28.80,24.0,259.60
fella from Limerick,285.00,30.00,25.0,143.29
fella from Limerick's wife,390.00,30.00,25.0,195.58
fella of the Murphys,300.00,30.00,25.0,150.75
First Year girl,225.00,30.00,25.0,113.50
Fishfingers,165.00,30.00,25.0,83.85
Forensics lads,226.80,32.40,27.0,114.55
Franciscan lads in Moyross,374.40,28.80,24.0,187.75
Frank Mahon,759.00,138.00,115.0,385.72
Frank's Mother,210.00,30.00,25.0,106.07
Frank's teacher,234.00,31.20,26.0,118.04
George Clooney,201.60,28.80,24.0,101.82
George McSweeney,422.40,52.80,44.0,212.84
George McSweeney's apprentices,468.00,31.20,26.0,234.52
George McSweeney's girlfriend,452.40,31.20,26.0,226.74
George McSweeney's girlfriend's mother,592.80,31.20,26.0,296.81
George McSweeney's Secretaries,468.00,31.20,26.0,234.52
Ger,59.40,39.60,33.0,35.69
Girl (who got Bridie's job),405.00,30.00,25.0,203.05
Girl from Dublin,240.00,30.00,25.0,120.93
Girl from Dublin's cousins,390.00,30.00,25.0,195.58
Girl with hearing aid,302.40,28.80,24.0,151.88
Girlfriend (of the man who calls George's firm),705.00,30.00,25.0,352.82
Girls (in Eyre Square),316.80,28.80,24.0,159.05
God,93.60,62.40,52.0,56.25
Goneril,105.00,30.00,25.0,54.60
Group of women's children,390.00,31.20,26.0,195.62
Group of women's husbands,390.00,31.20,26.0,195.62
Henrietta (the chicken),345.00,30.00,25.0,173.15
Hillary,235.20,67.20,56.0,122.31
Hillary's father,268.80,33.60,28.0,135.45
Hillary's grandmother,327.60,31.20,26.0,164.54
Hillary's mother,268.80,33.60,28.0,135.45
hitchhiker on Esker Line,345.60,28.80,24.0,173.40
Holly,87.00,34.80,29.0,46.85
Holly's hypothetical friends,420.00,30.00,25.0,210.54
Hughie,162.00,54.00,45.0,85.38
Hughie's Mother,234.00,31.20,26.0,118.04
Hughie's wife,351.00,54.00,45.0,177.56
Hughie's Wife's Friend,330.00,30.00,25.0,165.68
Irish people,194.40,32.40,27.0,98.54
Jason,123.00,49.20,41.0,66.24
Jason's ex-girlfriend,365.40,34.80,29.0,183.53
Jason's father,235.20,33.60,28.0,118.79
Jason's mother,210.00,30.00,25.0,106.07
Jason's son,171.60,31.20,26.0,87.21
Jesus,126.00,50.40,42.0,67.85
Jim Gildea,474.00,94.80,79.0,241.69
Joe Brien,140.40,31.20,26.0,71.91
Joe Duffy,135.00,30.00,25.0,69.15
John Cotter,191.40,34.80,29.0,97.27
John English,180.00,30.00,25.0,91.24
John-John,183.60,40.80,34.0,94.04
John-John's father,270.00,30.00,25.0,135.83
Johnny Incest,195.00,30.00,25.0,98.65
Johnny Incest's parents,345.00,30.00,25.0,173.15
Joseph Stalin,187.20,28.80,24.0,94.70
Josie Burke,693.00,126.00,105.0,352.18
Josie Burke Sr.,225.00,30.00,25.0,113.50
Judge Judy,144.00,28.80,24.0,73.43
Kate,115.20,57.60,48.0,64.40
Kate's father,195.00,30.00,25.0,98.65
Kate's mother,195.00,30.00,25.0,98.65
Kate's sister,195.00,30.00,25.0,98.65
Kate's workers,243.60,34.80,29.0,123.04
Kathleen Roche,378.00,54.00,45.0,190.92
Kenny Farrell,241.80,37.20,31.0,122.32
Kiddyfiddler,180.00,30.00,25.0,91.24
King Lear,145.80,32.40,27.0,74.68
Lily,158.40,79.20,66.0,88.55
Lily's children,261.00,34.80,29.0,131.65
Lily's Mother,187.20,28.80,24.0,94.70
Liz (Kate's Friend),285.00,30.00,25.0,143.29
Lloyd,162.00,64.80,54.0,87.24
Lloyd's father,235.20,33.60,28.0,118.79
Lloyd's father's mistress,405.00,32.40,27.0,203.15
Lloyd's half-brother,324.00,32.40,27.0,162.81
Lloyd's mother,235.20,33.60,28.0,118.79
local militiaman,249.60,31.20,26.0,125.77
Lorna,78.00,31.20,26.0,42.00
Lorna's father,201.60,28.80,24.0,101.82
mad auld culchie,240.00,30.00,25.0,120.93
Mags Burke,336.00,67.20,56.0,171.33
Mags' Auntie Pam,432.00,54.00,45.0,217.68
Mags' Cousin Richard,540.00,54.00,45.0,271.35
Mags' old lecturer,259.20,28.80,24.0,130.40
Mags' Uncle Dicky,459.00,54.00,45.0,231.08
Man (from the new hotel),360.00,30.00,25.0,180.62
Man (inside The Miner's Rest),435.00,30.00,25.0,218.02
Man (Vasya worked with),358.80,31.20,26.0,180.08
Man (who calls George's firm),452.40,31.20,26.0,226.74
Man in Chadwicks,240.00,30.00,25.0,120.93
Marilyn Manson,201.60,28.80,24.0,101.82
"Mary (""Our Lady"")",244.80,28.80,24.0,123.24
Mary Gildea,178.20,32.40,27.0,90.56
Mary Wills,162.00,32.40,27.0,82.60
Matty Cummins,195.00,30.00,25.0,98.65
McDonaghs' boys,234.00,31.20,26.0,118.04
Men (Frank didn't like),345.00,30.00,25.0,173.15
Men (Vasya lives with),343.20,31.20,26.0,172.31
Men (who come see Lily),372.60,32.40,27.0,187.00
Men (who planned to travel to Western Europe),648.00,28.80,24.0,324.32
Men (who worked with Vasya and her brother),696.60,32.40,27.0,348.68
Michael Connors,333.00,44.40,37.0,167.97
Mickey Briars,280.80,43.20,36.0,142.05
midwife,105.00,30.00,25.0,54.60
Millicent,243.00,54.00,45.0,124.46
Millicent's other Nana (her mom's mom),547.20,28.80,24.0,273.98
Ming,62.40,31.20,26.0,34.88
Ming's boys,171.60,31.20,26.0,87.21
missing girls,187.20,28.80,24.0,94.70
Mongo (15 lads),216.00,28.80,24.0,108.96
Neighbour,140.40,31.20,26.0,71.91
Noreen,118.80,39.60,33.0,62.61
Noreen's baby,249.60,38.40,32.0,126.27
Noreen's doctor,234.00,31.20,26.0,118.04
Noreen's husband,259.20,32.40,27.0,130.61
Noreen's nurses,234.00,31.20,26.0,118.04
Nuala,99.00,39.60,33.0,53.31
Old boy from Ciss Brien's bar,469.80,32.40,27.0,235.46
one of the Teapot Taliban,420.00,33.60,28.0,210.67
Other boy (working the lorry with Bobby),600.00,30.00,25.0,300.37
Others (inside The Miner's Rest),480.00,30.00,25.0,240.47
Paddy (Brian's father),435.60,39.60,33.0,218.70
Padjoe Ryan,158.40,28.80,24.0,80.50
Parents at Kate's crèche,360.00,30.00,25.0,180.62
Pat Hourigan,324.00,54.00,45.0,164.23
Paul Newman,158.40,28.80,24.0,80.50
Paulie Jackman,218.40,31.20,26.0,110.31
Pawsy Rogers,194.40,32.40,27.0,98.54
Peadar,104.40,34.80,29.0,55.02
Peadar's children,255.00,30.00,25.0,128.38
Pearl Jam,129.60,28.80,24.0,66.38
"People""aren't happy"" living in their birth place",691.20,28.80,24.0,345.90
