leader_label,assigned_color,community_size,other_large_nodes,leader_id,leader_strength,leader_size,modularity_class,notes
"Chegga/Sergei Adukanov",purple,78,"Ksyusha/Ksenia Adukanov (42.9); Ruslan (38.0); Chander (31.7); Nadia/Nadezhda (28.1); Alisa (27.5)",8,452.0000,58.28,2,
"Valentina Nikolaevna",red,52,"Diana (27.2); Valentina's Husband (name?) (21.9); Olya/Olga (21.1); Olya's mother (19.4); Dr. Popkov (14.4)",30,182.0000,29.25,5,
"Kolya/Nikolai Danilovich / Lieutenant Ryakhovsky",salmon,50,"Zoya (22.4); Masha/Mashenka Zakotnova (21.0); Lada (20.5); Kristina (18.8); Kristina's cousin (16.1)",17,340.0000,46.24,6,
"Alyona Golosovsky",yellow,49,"Sophia Golosovsky (100.0); Marina Alexandrovna (59.9); Yegor Gusakov (43.9); Eva (40.6); Petya (34.8)",6,840.0000,100.00,3,
"Oksana",green,48,"the kidnapper (30.5); Kamchatka police (28.5); Max/Maxim (26.5); Katya/Ekaterina (25.7); Malysh (Oksana's dog) (25.2)",22,251.0000,36.67,4,
"Alla Innokentevna",cyan,30,"Lilia Solodikova (53.8); Natasha/Natalia (49.6); Denis (32.3); Lev (28.0); Yulka/Yulia (27.8)",11,464.0000,59.57,0,
"Revmira",orange,25,"Artyom (18.6); Gleb (15.6); Revmira's Father (15.5); Revmira's Mother (15.5); Vera Vasilievna (Gleb's Mother) (12.9)",16,101.0000,20.54,1,
