leader_label,assigned_color,community_size,other_large_nodes,leader_id,leader_strength,leader_size,modularity_class,notes
"Miss Forrester",,1,,1055,0.0000,10.00,92,
"Miss Marie's children",,1,,996,0.0000,10.00,93,
"Miss Marie's mother",,1,,991,0.0000,10.00,94,
"Miss Marie's white lady",,1,,992,0.0000,10.00,95,
"Mrs. Cain",,1,,1079,0.0000,10.00,96,
"Mrs. Fisher",,1,,956,0.0000,10.00,97,
"Mrs. Johnson",,1,,1121,0.0000,10.00,98,
"Nuns",,1,,929,0.0000,10.00,99,
"O.V.'s children",,1,,1050,0.0000,10.00,101,
"O.V.'s Wife",,1,,1049,0.0000,10.00,102,
"Old Doctor",,1,,1021,0.0000,10.00,103,
"Old Slack Bessie",,1,,939,0.0000,10.00,104,
"Older girls",,1,,960,0.0000,10.00,105,
"One of the girls at Pecola's school",,1,,980,0.0000,10.00,106,
"P.L.",,1,,1083,0.0000,10.00,107,
"Pauline's Siblings",,1,,946,0.0000,10.00,109,
"Pecola's Baby",,1,,928,0.0000,10.00,110,
"Peggy",,1,,938,0.0000,10.00,111,
"People (at the pizza parlor)",,1,,970,0.0000,10.00,112,
"People at the Greek hotel",,1,,968,0.0000,10.00,113,
"Pie",,1,,1003,0.0000,10.00,114,
"Preacher (who accompanied M'Dear)",,1,,1041,0.0000,10.00,115,
"Presence (imagined by Pauline)",,1,,949,0.0000,10.00,116,
"Ralph Nisensky",,1,,1084,0.0000,10.00,117,
"Realtor (owns the Breedlove's house)",,1,,972,0.0000,10.00,118,
"Religious fanatic (in the Whitcomb family)",,1,,1106,0.0000,10.00,119,
"Rosemary Villanucci's Father",,1,,932,0.0000,10.00,120,
"Sally",,1,,1054,0.0000,10.00,121,
"Sandy Claus (TBE)",,1,,966,0.0000,10.00,122,
"School children",,1,,1120,0.0000,10.00,123,
"Schoolmaster (son of the religious fanatic)",,1,,1108,0.0000,10.00,124,
"Shirley Temple",,1,,957,0.0000,10.00,125,
"Sir Whitcomb",,1,,1098,0.0000,10.00,126,
"Sir Whitcomb's ""mulatto bastard""",,1,,1100,0.0000,10.00,127,
"Six children (of the ""mulatto bastard"")",,1,,1103,0.0000,10.00,128,
"Sixteen Grandchildren (of the ""mulatto bastard"")",,1,,1104,0.0000,10.00,129,
"Soaphead's Clients",,1,,1095,0.0000,10.00,131,
"Students",,1,,1015,0.0000,10.00,132,
"Sugar Babe",,1,,1117,0.0000,10.00,133,
"The ""bastard's mother""",,1,,1101,0.0000,10.00,135,
"The Devil",,1,,1037,0.0000,10.00,136,
"The Gas Man",,1,,1005,0.0000,10.00,138,
"The King",,1,,1099,0.0000,10.00,139,
"The little Fisher girl",,1,,1025,0.0000,10.00,140,
"The Police",,1,,1006,0.0000,10.00,141,
"Three infants",,1,,1085,0.0000,10.00,142,
