leader_label,assigned_color,community_size,other_large_nodes,leader_id,leader_strength,leader_size,modularity_class,notes
"Dave Brubeck",,1,,441,0.0000,10.00,83,
"David Bowie",,1,,221,0.0000,10.00,84,
"David Hockney",,1,,207,0.0000,10.00,85,
"Dean's four adult children",,1,,426,0.0000,10.00,86,
"Dick Smart",,1,,350,0.0000,10.00,87,
"die-hards from Phoenix Faction",,1,,407,0.0000,10.00,88,
"Dolly's movie-star client",,1,,522,0.0000,10.00,89,
"Dorothy Gale",,1,,489,0.0000,10.00,90,
"Dr. Beet",,1,,89,0.0000,10.00,91,
"Drew Blake's brothers",,1,,280,0.0000,10.00,92,
"Drew Blake's mother",,1,,326,0.0000,10.00,93,
"Duane Reade",,1,,532,0.0000,10.00,94,
"East Village females",,1,,515,0.0000,10.00,95,
"Elsa",,1,,183,0.0000,10.00,96,
"English Surgeon",,1,,423,0.0000,10.00,97,
"Eurydice",,1,,202,0.0000,10.00,98,
"Eye Protection (band)",,1,,125,0.0000,10.00,99,
"Finn (Alex's friend)",,1,,340,0.0000,10.00,100,
"Finn's Wesleyan classmates",,1,,341,0.0000,10.00,101,
"First boy (in Sasha's palazzo)",,1,,302,0.0000,10.00,102,
"First tenant (in Sasha's palazzo)",,1,,305,0.0000,10.00,103,
"Flipper (band)",,1,,123,0.0000,10.00,105,
"Foxey Lady",,1,,422,0.0000,10.00,106,
"Franz Boas",,1,,409,0.0000,10.00,107,
"Garbage (band)",,1,,228,0.0000,10.00,108,
"general's airline hostess",,1,,492,0.0000,10.00,109,
"George Michael",,1,,229,0.0000,10.00,110,
"Georgia O'Keeffe",,1,,199,0.0000,10.00,111,
"Giorgine",,1,,301,0.0000,10.00,112,
"girl in braces",,1,,96,0.0000,10.00,113,
"God",,1,,260,0.0000,10.00,114,
"group of men",,1,,495,0.0000,10.00,115,
"Hadrian",,1,,203,0.0000,10.00,116,
"Homer",,1,,265,0.0000,10.00,117,
"Hudson News employee",,1,,447,0.0000,10.00,118,
"Iggy Pop (musician)",,1,,392,0.0000,10.00,119,
"Jason (on Lincoln's team)",,1,,317,0.0000,10.00,120,
"JD (Alex's parrot)",,1,,352,0.0000,10.00,121,
"Jello Biafra",,1,,107,0.0000,10.00,122,
"Jeremy Irons",,1,,150,0.0000,10.00,123,
"Jesus Christ",,1,,266,0.0000,10.00,124,
"Jimi Hendrix",,1,,220,0.0000,10.00,125,
"JMW Turner",,1,,198,0.0000,10.00,126,
"Jocelyn's dad",,1,,241,0.0000,10.00,127,
"Jocelyn's three children",,1,,436,0.0000,10.00,128,
"Joe Rees",,1,,308,0.0000,10.00,129,
"John Moore",,1,,209,0.0000,10.00,130,
"John Murra",,1,,411,0.0000,10.00,131,
"Jules Jones' building's superintendent",,1,,276,0.0000,10.00,132,
"Jules Jones' chiropractor",,1,,275,0.0000,10.00,133,
"Jules's three roomates",,1,,475,0.0000,10.00,134,
"Kate Spade",,1,,502,0.0000,10.00,135,
"La Doll's 500 guests",,1,,484,0.0000,10.00,138,
"Lars, the Swede",,1,,167,0.0000,10.00,139,
"Led Zeppelin",,1,,230,0.0000,10.00,141,
"Leonardo DiCaprio",,1,,148,0.0000,10.00,142,
"Lexington Ave shopkeepers",,1,,524,0.0000,10.00,143,
"Lizzie's father",,1,,279,0.0000,10.00,144,
"Lou Kline's 3rd child",,1,,387,0.0000,10.00,145,
"Lou Kline's 4th child",,1,,388,0.0000,10.00,146,
"Lou Kline's 5th child",,1,,389,0.0000,10.00,147,
"Lou Kline's 6th child",,1,,390,0.0000,10.00,148,
"Lou Kline's maid",,1,,435,0.0000,10.00,149,
"Lou Kline's nurse-butler",,1,,439,0.0000,10.00,150,
"Lou's first ex-wife",,1,,398,0.0000,10.00,151,
"Louise's three teenagers",,1,,427,0.0000,10.00,152,
"Lucian Freud",,1,,206,0.0000,10.00,153,
"Lulu's grandmother",,1,,490,0.0000,10.00,154,
"Lulu's new friends",,1,,510,0.0000,10.00,155,
"Lulu's school friends",,1,,491,0.0000,10.00,156,
"Mad Hatter's guitarist",,1,,417,0.0000,10.00,157,
"Mad Hatter's guitarist's girlfriend",,1,,418,0.0000,10.00,158,
"Magritte",,1,,519,0.0000,10.00,159,
"Malcolm Forbes",,1,,485,0.0000,10.00,160,
"Marilyn Monroe",,1,,273,0.0000,10.00,161,
"Mark (on Lincoln's team)",,1,,319,0.0000,10.00,162,
"Mark Avery",,1,,184,0.0000,10.00,163,
"Mary (Mother of God!)",,1,,361,0.0000,10.00,164,
"Matt Damon",,1,,143,0.0000,10.00,165,
"Max (Alex's friend)",,1,,343,0.0000,10.00,166,
"Mayor Giuliani",,1,,274,0.0000,10.00,167,
"Mexican cult leader",,1,,431,0.0000,10.00,168,
"Mindy's four insomniac roomates",,1,,414,0.0000,10.00,169,
"Mozart",,1,,176,0.0000,10.00,170,
"Mr. Bastie",,1,,348,0.0000,10.00,171,
"Muammar Qaddafi",,1,,482,0.0000,10.00,172,
"Nadine (Rhea's oldest daughter)",,1,,438,0.0000,10.00,173,
"Neapolitans",,1,,289,0.0000,10.00,174,
"Negative Trend (band)",,1,,134,0.0000,10.00,175,
"New Republic author",,1,,271,0.0000,10.00,176,
"Nicole Kidman",,1,,147,0.0000,10.00,177,
"Nine Inch Nails (band)",,1,,367,0.0000,10.00,178,
"Nirvana",,1,,175,0.0000,10.00,179,
