label,width,height,font_size,label_radius
John,93.60,46.80,39.0,52.32
John Alderman,202.80,31.20,26.0,102.59
John Rollin Ridge,244.80,28.80,24.0,123.24
John Wayne,150.00,30.00,25.0,76.49
Johnny Depp,158.40,28.80,24.0,80.50
Josefina,292.80,73.20,61.0,150.91
Josefina's Father,295.80,34.80,29.0,148.92
Josefina's love interest,403.20,33.60,28.0,202.30
Josefina's Mother,295.80,34.80,29.0,148.92
Josefina's Uncle,240.00,30.00,25.0,120.93
Junior,147.60,49.20,41.0,77.79
Karen,162.00,64.80,54.0,87.24
Ken Kesey,129.60,28.80,24.0,66.38
Kevin Costner,195.00,30.00,25.0,98.65
Kevin Farley,180.00,30.00,25.0,91.24
Kid on the bus,210.00,30.00,25.0,106.07
Kids in school,226.80,32.40,27.0,114.55
Kids on field trips,285.00,30.00,25.0,143.29
Lony Red Feather,1344.00,168.00,140.0,677.23
Loother Red Feather,1596.00,168.00,140.0,802.41
Louise Erdrich,218.40,31.20,26.0,110.31
Lucas,168.00,67.20,56.0,90.47
Lucas's sister,218.40,31.20,26.0,110.31
Maggie,133.20,44.40,37.0,70.20
Manny& Daniel's Dad,433.20,45.60,38.0,217.80
Manny& Daniel's Mother,554.40,50.40,42.0,278.34
Manny Gonzales,445.20,63.60,53.0,224.86
Mario,78.00,31.20,26.0,42.00
Mario Brothers (Nintendo),360.00,28.80,24.0,180.58
Massachusetts Bay Colony,360.00,30.00,25.0,180.62
Massasoit,145.80,32.40,27.0,74.68
Maxine,140.40,46.80,39.0,74.00
Mel Gibson,150.00,30.00,25.0,76.49
Men in military uniforms,374.40,31.20,26.0,187.85
Men in the locker room,369.60,33.60,28.0,185.56
Metacomet/ King Philip,382.80,34.80,29.0,192.19
Mexicans,115.20,28.80,24.0,59.37
MF Doom,105.00,30.00,25.0,54.60
Muslims,105.00,30.00,25.0,54.60
Narrator of One Flew over the Cuckoo's Nest,645.00,30.00,25.0,322.85
Natives,117.60,33.60,28.0,61.15
ninety of Massasoit's men,390.00,31.20,26.0,195.62
Norma,129.00,51.60,43.0,69.47
Northern Moon (Drum Group),390.00,30.00,25.0,195.58
Oakland Athletics,326.40,38.40,32.0,164.33
Oakland Raiders,252.00,33.60,28.0,127.12
Obama,72.00,28.80,24.0,38.77
Octavio Gomez,1567.80,241.20,201.0,793.12
Octavio Gomez's Father,475.20,43.20,36.0,238.58
Octavio Gomez's Grandfather,421.20,31.20,26.0,211.18
Octavio Gomez's Mother,501.60,45.60,38.0,251.83
Old guy,163.80,46.80,39.0,85.18
Old guy on the bus,259.20,28.80,24.0,130.40
Old guy's brother,265.20,31.20,26.0,133.51
Old people,150.00,30.00,25.0,76.49
Old woman in the greyhound station,571.20,33.60,28.0,286.09
Older white woman,244.80,28.80,24.0,123.24
Opal the Medicine Woman,331.20,28.80,24.0,166.22
Opal Viola Victoria Bear Shield,4464.00,288.00,240.0,2236.64
Opal Viola Victoria Bear Shield's Father,696.00,34.80,29.0,348.43
Optimus Prime,202.80,31.20,26.0,102.59
Orvil Red Feather,1591.20,187.20,156.0,801.09
Oscar Zeta Acosta,244.80,28.80,24.0,123.24
Otis Redding,172.80,28.80,24.0,87.59
Participants in Dene's Film,405.00,30.00,25.0,203.05
Paul,112.80,56.40,47.0,63.06
Paul's Dad,180.00,36.00,30.0,91.78
people,90.00,30.00,25.0,47.43
People at the Powwow,456.00,45.60,38.0,229.14
People drowning,234.00,31.20,26.0,118.04
people from foster care,331.20,28.80,24.0,166.22
People from group homes,331.20,28.80,24.0,166.22
People on board,216.00,28.80,24.0,108.96
People on the train,296.40,31.20,26.0,149.02
Pequot,93.60,31.20,26.0,49.33
Person stabbed by Bill Davis,420.00,30.00,25.0,210.54
Person who left IPod on bus,405.00,30.00,25.0,203.05
Phil,93.60,46.80,39.0,52.32
Phil's family,210.60,32.40,27.0,106.54
Phil's Grandfather,291.60,32.40,27.0,146.70
Plymouth colony,225.00,30.00,25.0,113.50
Plymouth court,210.00,30.00,25.0,106.07
Police Officers,351.00,46.80,39.0,177.05
Postgame crew,195.00,30.00,25.0,98.65
Powwow Committee,460.80,57.60,48.0,232.19
Powwow Dancer on TV,285.00,30.00,25.0,143.29
Powwow Dancers,302.40,43.20,36.0,152.74
Powwow singers,218.40,31.20,26.0,110.31
Powwows,105.00,30.00,25.0,54.60
Prayer circle,218.40,33.60,28.0,110.48
Radiohead,129.60,28.80,24.0,66.38
Raymond Carver,201.60,28.80,24.0,101.82
Record keepers,226.80,32.40,27.0,114.55
Reggie Jackson,201.60,28.80,24.0,101.82
Rich people,165.00,30.00,25.0,83.85
Richard Brautigan,244.80,28.80,24.0,123.24
Rob,48.60,32.40,27.0,29.20
Rocky,120.00,48.00,40.0,64.62
Rocky's Dad,198.00,36.00,30.0,100.62
Rolling Head,187.20,31.20,26.0,94.89
Ronald,172.80,57.60,48.0,91.07
Ronald McDonald,225.00,30.00,25.0,113.50
Saddam Hussein,210.00,30.00,25.0,106.07
San Francisco Giants,300.00,30.00,25.0,150.75
San Francisco sports teams,374.40,28.80,24.0,187.75
Security Guard,260.40,37.20,31.0,131.52
Shooters,124.80,31.20,26.0,64.32
Sixto,168.00,67.20,56.0,90.47
Sixty-three casualties of Loma Prieta Earthquake,691.20,28.80,24.0,345.90
Sloth (The Goonies),273.60,28.80,24.0,137.56
Smokey Robinson,216.00,28.80,24.0,108.96
Social worker,202.80,31.20,26.0,102.59
Someone else on the yacht,405.00,32.40,27.0,203.15
Someone on the yacht,324.00,32.40,27.0,162.81
Someone with a stretcher,360.00,30.00,25.0,180.62
Someone's father,249.60,31.20,26.0,125.77
Son (in the Rolling Head story),502.20,32.40,27.0,251.62
Sonny,90.00,36.00,30.0,48.47
Southern Moon (Drum Group),452.40,34.80,29.0,226.87
Sports Announcers,255.00,30.00,25.0,128.38
Squatters,194.40,43.20,36.0,99.57
Stanley Kubrick,216.00,28.80,24.0,108.96
Stephen King,172.80,28.80,24.0,87.59
Storey (Baseball Bat),352.80,33.60,28.0,177.20
Sylvia,118.80,39.60,33.0,62.61
Tall Whites,178.20,32.40,27.0,90.56
Teddy Roosevelt,252.00,33.60,28.0,127.12
Texas Rangers,195.00,30.00,25.0,98.65
Texas Rangers (government),405.60,31.20,26.0,203.40
The coroner,165.00,30.00,25.0,83.85
The Crowd,145.80,32.40,27.0,74.68
The guys,144.00,36.00,30.0,74.22
The Indians,191.40,34.80,29.0,97.27
The neighbors,195.00,30.00,25.0,98.65
The white men,210.60,32.40,27.0,106.54
Thomas Frank,770.40,128.40,107.0,390.51
Thomas Frank's Father,529.20,50.40,42.0,265.80
Thomas Frank's Father's Grandparents,540.00,30.00,25.0,270.42
Thomas Frank's Father's Great Grandmother,615.00,30.00,25.0,307.87
Thomas Frank's Grandmother,405.60,31.20,26.0,203.40
Thomas Frank's Mother,453.60,43.20,36.0,227.83
Thomas Frank's Sisters,422.40,38.40,32.0,212.07
Thomas Frank's Uncle,300.00,30.00,25.0,150.75
Three Fingered Jack,296.40,31.20,26.0,149.02
tiger-striped pitbull,327.60,31.20,26.0,164.54
Tony Loneman,662.40,110.40,92.0,335.77
Tony Loneman's Father,302.40,28.80,24.0,151.88
Tony Loneman's Mother,340.20,32.40,27.0,170.87
Trickster Spider (Veho),552.00,48.00,40.0,277.04
Twin brothers,226.20,34.80,29.0,114.43
Two nurses,156.00,31.20,26.0,79.54
Two orderlies,202.80,31.20,26.0,102.59
Two Shoes,205.20,45.60,38.0,105.10
U.S Government,235.20,33.60,28.0,118.79
Vendors,113.40,32.40,27.0,58.97
Vet on the bus,201.60,28.80,24.0,101.82
Victims,109.20,31.20,26.0,56.78
Victoria (Vicky),758.40,94.80,79.0,382.15
Vida Blue,129.60,28.80,24.0,66.38
Vunderkode,156.00,31.20,26.0,79.54
Waitress at Denny's,319.20,33.60,28.0,160.48
Wampanoag Indians,255.00,30.00,25.0,128.38
Wamsutta,120.00,30.00,25.0,61.85
Watchers,124.80,31.20,26.0,64.32
water monster,202.80,31.20,26.0,102.59
White people,187.20,31.20,26.0,94.89
Wife (in the Rolling Head story),537.60,33.60,28.0,269.32
William Faulkner,230.40,28.80,24.0,116.10
Woman in the car,240.00,30.00,25.0,120.93
Young people,180.00,30.00,25.0,91.24
Younger men,171.60,31.20,26.0,87.21
