Dataset,Date,GraphType,LabelRadius90,LabelRadiusMedian,LabelRadiusMax,LabelCount,Avg.NearNeigh,HardNodeCollision,SoftNodeCollisions,MeanSpacingRatio,BoundingBoxArea,NodesperunitArea,ExpansionFactor(LabelRadius90/AverageNearestNeighbor
s,April16,ss,287.48,132.44,686.33,378,106.912733,0,0,9.239085,24637128,0.000015,2.688922001
pod,April25,ss,260.39,147.82,707.44,336,106.664998,0,0,9.351939,15238531,0.000022,2.441194439
de,April28,ss,294.61,154.43,1556.55,334,109.530013,0,0,8.990154,17171032,0.000019,2.689765042
fs,April28,ss,273.98,159.05,524.17,261,89.565382,0,0,7.812529,8801187,0.00003,3.058994378
sh,April28,ss,243.99,126.69,967.99,354,115.693444,0,0,9.595577,22511740,0.000016,2.108935403
to,April28,ss,195.6,113.5,1018.23,749,132.194272,0,0,12.126589,101838736,0.000007,1.47964051
tt,April28,ss,280.31,123.24,2236.64,295,111.424064,0,0,9.049418,19653120,0.000015,2.515704328
utc,April28,ss,279.54,160.93,644.46,307,142.193776,0,0,12.15704,52005988,0.000006,1.965908831
