leader_label,assigned_color,community_size,other_large_nodes,leader_id,leader_strength,leader_size,modularity_class,notes
"Syenite",orange,109,"Alabaster (68.6); Innon (31.7); Corundum (23.4); Father Earth (20.7); Asael Leadership Allia (17.7)",49,1186.0000,100.00,2,
"Essun",red,84,"Hoa (67.0); Tonkee (35.6); Ykka (25.5); Jija (24.4); Uche (23.7)",2,998.0000,85.72,1,
"Damaya",yellow,64,"Schaffa (29.4); Binof (17.7); Damaya's mother (17.7); Grits (in the Fulcrum) (17.0); Damaya's father (16.3)",23,599.0000,55.42,0,
"The Emperor",,3,"""leaders of the empire"" (10.2); The Emperor's daughter (10.2)",5,8.0000,10.53,3,
