label,width,height,font_size,label_radius
eleven people on the roof (103),465.00,30.00,25.0,232.98
Ellis (kidnapper),397.80,46.80,39.0,200.27
farm hire,129.60,28.80,24.0,66.38
Fellow Negro Porters,300.00,30.00,25.0,150.75
figure in nightmare,273.60,28.80,24.0,137.56
first white man with shotgun (sheriff's man),739.20,33.60,28.0,369.98
folks at the store,259.20,28.80,24.0,130.40
French Women (abstract),331.20,28.80,24.0,166.22
General,138.60,39.60,33.0,72.07
God,324.00,216.00,180.0,194.70
gramophone salesman,399.00,42.00,35.0,200.60
Grannie,394.80,112.80,94.0,205.30
Green (Hadley's comrade),763.20,63.60,53.0,382.92
Green (Johnny-Boy's comrade),420.00,30.00,25.0,210.54
Hadley,201.60,67.20,56.0,106.25
Hall-boys,140.40,31.20,26.0,71.91
Heartfield,270.00,54.00,45.0,137.67
Heartfield's daughter,541.80,51.60,43.0,272.13
Heartfield's folks,259.20,28.80,24.0,130.40
Hilton,180.00,60.00,50.0,94.87
Hospital crowds (100),315.00,30.00,25.0,158.21
Hospital employees (abstract),417.60,28.80,24.0,209.30
Hotel Management,249.60,31.20,26.0,125.77
Houston,100.80,28.80,24.0,52.42
Industrial Squad,278.40,34.80,29.0,140.28
Jack (Jimmy's friend),327.60,31.20,26.0,164.54
Jack (Lynch mob),230.40,28.80,24.0,116.10
Jack (Soldier at desk),343.20,31.20,26.0,172.31
Jack Johnson,172.80,28.80,24.0,87.59
Jacob,78.00,31.20,26.0,42.00
Jesus Christ,388.80,64.80,54.0,197.08
Jews (abstract),216.00,28.80,24.0,108.96
Jim (sheriff's man),513.00,54.00,45.0,257.92
Jim (soldier in boat 3) (95),470.40,33.60,28.0,235.80
Jim Crow,129.60,32.40,27.0,66.79
Jim Harvey,246.00,49.20,41.0,125.44
Jimmy,249.00,99.60,83.0,134.09
Jimmy's boys,194.40,32.40,27.0,98.54
Joe (Jimmy's friend),300.00,30.00,25.0,150.75
Johnny-Boy,414.00,82.80,69.0,211.10
Johnson,105.00,30.00,25.0,54.60
Jonah,78.00,31.20,26.0,42.00
Jones,147.00,58.80,49.0,79.16
Judas,75.00,30.00,25.0,40.39
kidnappers,240.00,48.00,40.0,122.38
Lead White Boy from the car,388.80,28.80,24.0,194.93
leaders of organizations,360.00,30.00,25.0,180.62
Lem (Reva's father),342.00,36.00,30.0,171.94
Lester,198.00,66.00,55.0,104.36
Librarian,129.60,28.80,24.0,66.38
Library-goers (14),259.20,28.80,24.0,130.40
Liza Morrison (Big Boy's Mother),1286.40,80.40,67.0,644.46
