leader_label,assigned_color,community_size,other_large_nodes,leader_id,leader_strength,leader_size,modularity_class,notes
"Evelina Harp",blue,96,"Seraph Milk (Mooshum) (83.3); Clemence Harp (56.1); Joseph Harp (47.9); Edward Harp (41.6); Corwin Peace (38.2)",3,1076.0000,100.00,2,
"Judge Antone Bazil Coutts",yellow,93,"Doctor Cordelia Lochren (38.0); Neve Harp (36.6); John Wildstrand (24.4); Maggie Peace (22.9); Octave Harp (20.5)",4,628.0000,62.49,3,
"Emil Buckendorf",cyan,83,"Emil Buckendorf's First Brother (48.8); Emil Buckendorf's Second Brother (48.8); Emil Buckendorf's Third Brother (48.8); Holy Track (37.0); Eugene Wildstrand (32.7)",67,483.0000,50.35,1,
"Billy Peace",red,62,"Marn Wolde (36.1); Lilith Peace (26.2); Judah Peace (25.4); Warren Wolde (23.1); Marn Wolde's Mother (18.5)",51,376.0000,41.40,0,
