leader_label,assigned_color,community_size,other_large_nodes,leader_id,leader_strength,leader_size,modularity_class,notes
"Sylvie Beaudoin",blue,94,"Marie Beaudoin (78.7); Johnny Beaudoin (70.0); Jonathon Beaudoin (23.9); Slutty Christy (21.8); Michelle (18.9)",10,617.0000,100.00,6,
"Bing/Bernard Espiritu",pink,80,"Edna Espiritu (80.7); Mrs. Finnegan (23.3); Bing's Dad (18.8); Hakim (18.8); Tita Mae (18.3)",28,558.0000,91.38,7,
"Laura Mitkowski",red,60,"Cory Mitkowski (56.8); Mrs. Rhodes (18.2); Jessica (Laura's Mom) (15.6); Mrs. Kamal (15.1); Mrs Landau (13.9)",3,385.0000,66.10,0,
"Hina Hassani",yellow,55,"Jane Fulton (42.6); Helen Mckay (38.8); Fern Donahue (38.6); Evan Roy (37.2); Tasha Roy (37.2)",5,491.0000,81.59,2,
"The police",cyan,41,"Victor (18.9); Cindy (15.6); Eunice's puppies (15.6); Travis (15.6); Eunice (Cindy's dog) (14.5)",59,86.0000,22.42,5,
"Clara Jane Donohue",magenta,31,"Clive (18.3); Santa (18.3); Winsum (17.2); Edward Donohue (17.0); Lorna (16.1)",7,71.0000,20.23,8,
"""the literary centre's regulars"" (132)",orange,11,"""their parents"" (60) (12.6); Christians (12.0); Micah the martian (12.0); ""their families"" (139) (10.9); Atheists (10.9)",208,40.0000,15.70,1,
"Bob Marley",,4,"Brown family (10.3); Elders (10.3); Ravinder Kaur (10.3)",306,3.0000,10.29,4,
"Five Women (holding certificates)",,2,"Photographer (10.0)",371,1.0000,10.00,3,
