leader_label,assigned_color,community_size,other_large_nodes,leader_id,leader_strength,leader_size,modularity_class,notes
"Evelina Harp",blue,106,"Seraph Milk (Mooshum) (84.3); Clemence Harp (55.5); Joseph Harp (47.5); Edward Harp (41.0); Corwin Peace (37.5)",3,1118.0000,100.00,1,
"Judge Antone Bazil Coutts",yellow,72,"Emil Buckendorf (51.1); Emil Buckendorf's First Brother (49.5); Emil Buckendorf's Second Brother (49.5); Emil Buckendorf's Third Brother (49.5); Joseph J. Coutts (30.6)",4,634.0000,61.00,0,
"Billy Peace",red,68,"Marn Wolde (35.4); Lilith Peace (25.6); Judah Peace (24.8); Warren Wolde (23.1); Marn Wolde's Mother (18.2)",51,378.0000,40.38,2,
"The Lynching",cyan,51,"Holy Track (38.8); Doctor Cordelia Lochren (38.7); Eugene Wildstrand (33.9); Asiginak (32.6); Cuthbert Peace (32.2)",50,429.0000,44.49,3,
"Neve Harp",green,39,"John Wildstrand (24.0); Maggie Peace (22.4); Octave Harp (20.6); Murdo Harp (20.3); John F. Kennedy (13.3)",27,324.0000,36.03,4,
