label,width,height,font_size,label_radius
Ate LouMenendez,290.70,38.76,32.3,146.64
Atheists,115.20,28.80,24.0,59.37
Aunt (who tookaway thewoman's kids),541.59,30.95,25.79,271.24
Autistic child(in video),371.38,30.95,25.79,186.33
Babies,92.84,30.95,25.79,48.93
Ben,49.52,33.01,27.51,29.76
BenjaminTate,210.02,35.00,29.17,106.46
Bing'sClass,223.01,40.55,33.79,113.34
Bing'sDad,225.67,50.15,41.79,115.59
Bing'sPartner,201.16,30.95,25.79,101.76
Bing/BernardEspiritu,1365.84,136.58,113.82,686.33
BlackfootIndigenousgroup,396.14,33.01,27.51,198.76
BobMarley,129.60,28.80,24.0,66.38
Brownfamily,158.40,28.80,24.0,80.50
Buck (thatJonathon sees),371.38,30.95,25.79,186.33
Bullfightersin Spain,288.00,28.80,24.0,144.72
Caregiver (invideo),294.01,30.95,25.79,147.82
CaribbeanPeople,232.11,30.95,25.79,117.08
CeleneDion,144.00,28.80,24.0,73.43
CelineDion,144.00,28.80,24.0,73.43
Charlie (andthe ChocolateFactory),475.20,28.80,24.0,238.04
Children inAfrica,244.80,28.80,24.0,123.24
Children inPearsonMemorialJunior PublicSchool,696.33,30.95,25.79,348.51
children inthe community,635.90,52.99,44.16,319.05
Children whodid not yetobserveCommunion,561.60,28.80,24.0,281.17
Children whosurvived thefire,490.06,35.00,29.17,245.65
Children's Aid(25),259.20,28.80,24.0,130.40
children'schoir,232.11,30.95,25.79,117.08
ChloeSmith,175.02,35.00,29.17,89.24
Christians,154.74,30.95,25.79,78.90
Cindy,142.47,56.99,47.49,76.72
Cindy'sclassmates,280.60,33.01,27.51,141.27
Cindy's friend(with Guyaneseroots),526.12,30.95,25.79,263.51
Cindy'sFriend's Wife,309.48,30.95,25.79,155.51
Cindy'slandlord,216.00,28.80,24.0,108.96
Cindy'sMother,201.16,30.95,25.79,101.76
Cindy's otherchildren,367.54,35.00,29.17,184.60
Cindy'steachers,232.11,30.95,25.79,117.08
Clara JaneDonohue,599.25,70.50,58.75,301.69
Clementine(orangutan),584.77,55.69,46.41,293.71
Clementine'ssiblings,405.48,40.55,33.79,203.75
Clive,151.77,60.71,50.59,81.73
Clive'sfather,201.16,30.95,25.79,101.76
ColeHester,184.56,36.91,30.76,94.11
CoryMitkowski,685.62,105.48,87.9,346.84
Cory'sboss,154.74,30.95,25.79,78.90
Cory'sfather,172.80,28.80,24.0,87.59
Couple (Clivesleeps with),386.85,30.95,25.79,194.04
Creator,108.32,30.95,25.79,56.33
Customers (atthe nailsalon),445.66,33.01,27.51,223.44
"Dads (""wholose theirkids..."")",417.60,28.80,24.0,209.30
DevoutCatholicFilipinos,424.49,36.91,30.76,213.04
Dr.Berger,182.47,40.55,33.79,93.46
Dr. Berger'sReceptionist,371.38,30.95,25.79,186.33
EdnaEspiritu,678.46,113.08,94.23,343.91
Edna'sfamily,185.69,30.95,25.79,94.12
EdwardDonohue,344.45,52.99,44.16,174.25
ElSalvadorians,201.60,28.80,24.0,101.82
ElderFay,162.19,40.55,33.79,83.59
Elders,86.40,28.80,24.0,45.54
Employers (ofthe Menendezsisters),544.70,33.01,27.51,272.85
Estheticiansat Edna'ssalon,592.33,45.56,37.97,297.04
Eunice(Cindy's Aunt),309.48,30.95,25.79,155.51
Eunice(Cindy's dog),368.22,38.76,32.3,185.13
Eunice'spuppies,262.53,35.00,29.17,132.43
Europeans,129.60,28.80,24.0,66.38
EvalynChau,211.38,42.28,35.23,107.78
EvanRoy,175.52,50.15,41.79,91.27
Family Doctor(Hina'sfriend),472.55,35.00,29.17,236.92
farmers,115.54,33.01,27.51,60.08
FatherJoseph,172.80,28.80,24.0,87.59
FernDonahue,306.31,55.69,46.41,155.66
Filipinos,139.27,30.95,25.79,71.33
FinneganEverson,304.11,40.55,33.79,153.40
Firemen,108.32,30.95,25.79,56.33
Five Women(holdingcertificates),479.69,30.95,25.79,240.35
FrankSinatra,185.69,30.95,25.79,94.12
Funding andDevelopmentOfficer,448.75,30.95,25.79,224.91
Gabby,92.28,36.91,30.76,49.69
GeraldineMcDonough,332.21,36.91,30.76,167.13
Girl(projecting apresentation),464.22,30.95,25.79,232.63
God,55.37,36.91,30.76,33.27
Hakim,117.84,47.14,39.28,63.46
HelenMckay,284.94,56.99,47.49,145.29
HinaHassani,825.00,150.00,125.0,419.26
Hina'sclassmates(135),302.40,28.80,24.0,151.88
Hina'sfamily,185.69,30.95,25.79,94.12
HotDog,99.04,33.01,27.51,52.20
Hot Dog'slitters,247.58,30.95,25.79,124.76
Ivana,117.84,47.14,39.28,63.46
Ivana'smom,144.00,28.80,24.0,73.43
JaneFulton,406.20,81.24,67.7,207.12
Jason,96.90,38.76,32.3,52.18
JenniferChan,210.02,35.00,29.17,106.46
Jessica(Laura's Mom),569.88,56.99,47.49,286.36
Jessica'sgrandma,264.10,33.01,27.51,133.08
Jesus,96.90,38.76,32.3,52.18
JimiHendrix,158.40,28.80,24.0,80.50
Joffrey,115.54,33.01,27.51,60.08
JohnnyBeaudoin,654.28,93.47,77.89,330.46
JonathonBeaudoin,466.08,58.26,48.55,234.85
JustinBieber,172.80,28.80,24.0,87.59
Kids (of thewoman whocollapsed),479.69,30.95,25.79,240.35
Kids cryingfrom stagefright,388.80,28.80,24.0,194.93
kids in Mrs.Finnegan'sclass,523.26,38.76,32.3,262.35
kids in thegifted program,386.85,30.95,25.79,194.04
"Kids of""Singlemamas""",288.00,28.80,24.0,144.72
Kids whoattendedJessica'sdaycare (126),588.01,30.95,25.79,294.41
KyleKeegan,193.80,38.76,32.3,98.82
L,15.47,30.95,25.79,17.30
Ladies (at therub and tug),402.32,30.95,25.79,201.76
LadyRoy,180.56,51.59,42.99,93.89
LauraMitkowski,815.47,116.50,97.08,411.88
Laura'sclassmates,263.06,30.95,25.79,132.44
Levy,70.01,35.00,29.17,39.14
LiamWilliams,243.29,40.55,33.79,123.32
LiberalParty,172.80,28.80,24.0,87.59
LilyChan,140.02,35.00,29.17,72.16
Little boy (inthe choir),396.14,33.01,27.51,198.76
LittleCesars,185.69,30.95,25.79,94.12
Lorna,139.23,55.69,46.41,74.98
LukaDiSorono,185.69,30.95,25.79,94.12
MadameGauthier,216.64,30.95,25.79,109.42
MarcaAngelo,192.52,35.00,29.17,97.84
MarieBeaudoin,823.21,126.65,105.54,416.45
Marie'sGrandma,271.32,38.76,32.3,137.04
marketing anddevelopmentofficer ofOntario Reads,727.28,30.95,25.79,363.97
Melvin,154.76,51.59,42.99,81.57
Men singingand drummingat the Powwow,518.40,28.80,24.0,259.60
"men who""comehere for tugs""(69)",464.22,30.95,25.79,232.63
Menendezsisters'Mother,363.13,33.01,27.51,182.31
Micah themartian,247.58,30.95,25.79,124.76
MichaelJackson,216.64,30.95,25.79,109.42
Michelle,273.89,68.47,57.06,141.16
miners,105.01,35.00,29.17,55.35
MissPeaches,181.57,33.01,27.51,92.27
MotherMary,144.00,28.80,24.0,73.43
Mr.George,250.61,55.69,46.41,128.36
Mr.Kamal,132.05,33.01,27.51,68.06
Mr.Palmer,129.60,28.80,24.0,66.38
Mr.Park,129.19,36.91,30.76,67.18
MrsAbdul,155.04,38.76,32.3,79.91
MrsCrosby,148.55,33.01,27.51,76.09
MrsEmerson,165.06,33.01,27.51,84.16
MrsLandau,190.24,42.28,35.23,97.44
Mrs.Falls,129.60,28.80,24.0,66.38
Mrs.Finnegan,341.93,56.99,47.49,173.32
Mrs.Fitz,115.20,28.80,24.0,59.37
Mrs.Kamal,218.97,48.66,40.55,112.16
Mrs. Kamal'schildren,330.12,33.01,27.51,165.88
Mrs. Kamal'shusband,294.01,30.95,25.79,147.82
Mrs.Khan,115.20,28.80,24.0,59.37
Mrs.Rhodes,227.82,45.56,37.97,116.17
Mrs.Zoe,108.32,30.95,25.79,56.33
Muslims,100.80,28.80,24.0,52.42
n****rs,100.80,28.80,24.0,52.42
NataliaAngelo,227.53,35.00,29.17,115.10
NDPParty,123.79,30.95,25.79,63.80
OfficerTyndall,271.32,38.76,32.3,137.04
"OfficerTyndall's""girlfriend""",433.27,30.95,25.79,217.19
old lady incurlers,278.53,30.95,25.79,140.12
old lady'scrack dealer,340.43,30.95,25.79,170.92
Old man (whoowned HappyChicken),479.69,30.95,25.79,240.35
Older ladywith glasses,363.13,33.01,27.51,182.31
Ontario Readsfacilitators,412.65,33.01,27.51,206.98
OprahWinfrey,198.07,33.01,27.51,100.40
Other animals(at the zoo),461.40,36.91,30.76,231.44
Painted BoxTurtles,297.11,33.01,27.51,149.47
Pakistanis,144.00,28.80,24.0,73.43
PamelaRoy,244.62,54.36,45.3,125.29
Parentsdouble-fistedwith ice creamcones,561.60,28.80,24.0,281.17
Parents in MsHina's group,412.65,33.01,27.51,206.98
parents in thecommunity,625.14,54.36,45.3,313.75
Parker,92.84,30.95,25.79,48.93
Parker'smom,170.21,30.95,25.79,86.50
PaulaSantiago,227.53,35.00,29.17,115.10
PauloSanchez,221.47,36.91,30.76,112.26
"People""downthe hall"" fromCory",417.60,28.80,24.0,209.30
"People""likeChristy"" (141)",506.85,40.55,33.79,254.23
People at FoodBasics,288.00,28.80,24.0,144.72
People in theEast PointBird Sanctuary,610.72,33.01,27.51,305.81
Person (onloud speakerat the Powwow),594.22,33.01,27.51,297.57
person on thephone withWinsum,507.56,35.00,29.17,254.38
Peter,96.90,38.76,32.3,52.18
Photographer,172.80,28.80,24.0,87.59
PowwowDancers,227.53,35.00,29.17,115.10
Priests,100.80,28.80,24.0,52.42
PrincipalSankiewicz,368.22,38.76,32.3,185.13
Raj (Hina'acousin),297.11,33.01,27.51,149.47
RavinderKaur,172.80,28.80,24.0,87.59
ReeseKnowles,185.69,30.95,25.79,94.12
Researchers(of autism),316.80,28.80,24.0,159.05
Residents ofthe GallowayShelter,572.14,36.91,30.76,286.66
Richard,108.32,30.95,25.79,56.33
Rita,66.02,33.01,27.51,36.91
Rouge HillParents,263.06,30.95,25.79,132.44
Rouge HillSecretary,294.01,30.95,25.79,147.82
Roy (Christy'sboyfriend),507.31,42.28,35.23,254.54
RyanHoffman,213.18,38.76,32.3,108.34
Ryan Hoffman'sfamily,288.00,28.80,24.0,144.72
Saints,99.04,33.01,27.51,52.20
Santa,96.90,38.76,32.3,52.18
Scarboroughlocals,244.80,28.80,24.0,123.24
School-aged-children,288.00,28.80,24.0,144.72
SebastianDennis,262.53,35.00,29.17,132.43
"Seniorcitizens (""whoturned theircottages..."")",696.33,30.95,25.79,348.51
Shoplifter,154.74,30.95,25.79,78.90
"Sistersof""singlemamas""",316.80,28.80,24.0,159.05
SluttyChristy,438.28,67.43,56.19,221.72
Small boy withcoke-bottleglasses,495.17,30.95,25.79,248.07
SoniaDiSorono,201.16,30.95,25.79,101.76
SouthAsians,158.40,28.80,24.0,80.50
Specialists,181.57,33.01,27.51,92.27
SriLankans,144.00,28.80,24.0,73.43
St.Malachy,144.00,28.80,24.0,73.43
Streetcardriver,216.00,28.80,24.0,108.96
SylvieBeaudoin,1007.75,143.96,119.97,508.99
Sylvie'sGrandpa,216.00,28.80,24.0,108.96
Sylvie'sreaders,232.11,30.95,25.79,117.08
Tammy,72.00,28.80,24.0,38.77
Tarek,77.37,30.95,25.79,41.67
TashaRoy,194.64,48.66,40.55,100.32
Tenants inLady'sbuilding,396.14,33.01,27.51,198.76
the band Kiss,187.20,28.80,24.0,94.70
the bus driver,201.60,28.80,24.0,101.82
the cashier(dollar store),569.55,45.56,37.97,285.68
the childrenon the bus,363.13,33.01,27.51,182.31
TheChinese,144.00,28.80,24.0,73.43
theCreator,154.74,30.95,25.79,78.90
The doctor atthe walk-inclinic,729.90,48.66,40.55,365.76
the manager(dollar store),437.55,35.00,29.17,219.47
theorangutan'smother (instory),608.22,40.55,33.79,304.79
Thepolice,244.62,54.36,45.3,125.29
TheQueen,123.79,30.95,25.79,63.80
The SpeechTherapist,313.61,33.01,27.51,157.67
TheSwiss,123.79,30.95,25.79,63.80
The thirdMenendezsister,445.74,38.76,32.3,223.71
TitaMae,170.31,48.66,40.55,88.56
Tito Ferdie(Bing's uncle),437.55,35.00,29.17,219.47
Tito Ferdie'sPartner,309.48,30.95,25.79,155.51
tone-deafband,201.16,30.95,25.79,101.76
Trackworker,170.21,30.95,25.79,86.50
Travis,136.69,45.56,37.97,72.04
two refugeesfrom ElSalvador,417.80,30.95,25.79,209.47
UncleOlly,212.11,47.14,39.28,108.64
Vet,49.52,33.01,27.51,29.76
Victor,192.53,64.18,53.48,101.47
Victor'smom,170.21,30.95,25.79,86.50
Vietnameseladies,247.58,30.95,25.79,124.76
Visitors (ofthe zoo),330.12,33.01,27.51,165.88
Visitors (tothe Powwow),355.90,30.95,25.79,178.62
WaleedMohammed,231.08,33.01,27.51,116.72
Walk-in clinicreceptionist(19),683.46,45.56,37.97,342.49
Wendy (Cindy'sAunt),294.01,30.95,25.79,147.82
Wendy (Cindy'sdog),332.21,36.91,30.76,167.13
WendyDonohue,282.82,47.14,39.28,143.36
Wendy'slitters,216.64,30.95,25.79,109.42
White HandedGibbons,313.61,33.01,27.51,157.67
white kids'grandparents(77),417.80,30.95,25.79,209.47
Whitepeople,223.01,40.55,33.79,113.34
