label,width,height,font_size,label_radius
Caucasian Japanophiles,330.00,30.00,25.0,165.68
Celia Oh,139.20,34.80,29.0,71.74
Celia Oh's Brother,270.00,30.00,25.0,135.83
Celia Oh's Father,255.00,30.00,25.0,128.38
Celia Oh's Mother,255.00,30.00,25.0,128.38
Central Library attendees,375.00,30.00,25.0,188.10
centro-americanos,244.80,28.80,24.0,123.24
"Character in""The Big Sleep""",405.00,30.00,25.0,203.05
character in a Kurosawa film,403.20,28.80,24.0,202.11
Charles Darwin,210.00,30.00,25.0,106.07
Charles Richter,225.00,30.00,25.0,113.50
Charles Von der Ahe,273.60,28.80,24.0,137.56
Charlie Parker,201.60,28.80,24.0,101.82
Che Guevara,171.60,31.20,26.0,87.21
Chef,60.00,30.00,25.0,33.54
Chekov (Star Trek),259.20,28.80,24.0,130.40
Chicago Bulls,202.80,31.20,26.0,102.59
Chicana who looks Persian,375.00,30.00,25.0,188.10
Chicanos,115.20,28.80,24.0,59.37
Chico Mendes,172.80,28.80,24.0,87.59
Chief,78.00,31.20,26.0,42.00
children of one hundred mothers,465.00,30.00,25.0,232.98
Chinese housewives,270.00,30.00,25.0,135.83
Chow Yun-Fat,172.80,28.80,24.0,87.59
Chris,75.00,30.00,25.0,40.39
Christopher Columbus,300.00,30.00,25.0,150.75
Chumash People,201.60,28.80,24.0,101.82
CIA,45.00,30.00,25.0,27.04
Cisco,78.00,31.20,26.0,42.00
Cisco's dealer,210.00,30.00,25.0,106.07
Cisco's Old man,225.00,30.00,25.0,113.50
Citron Man,150.00,30.00,25.0,76.49
City Bureaucrats,249.60,31.20,26.0,125.77
CNN,46.80,31.20,26.0,28.12
Coatlalopeuh,194.40,32.40,27.0,98.54
cockfight crowd,261.00,34.80,29.0,131.65
Cockfighters,187.20,31.20,26.0,94.89
Cocktail Hostess,240.00,30.00,25.0,120.93
Combined Military Forces,360.00,30.00,25.0,180.62
Connie Chung,172.80,28.80,24.0,87.59
Conquistadors,195.00,30.00,25.0,98.65
convoys of federales,288.00,28.80,24.0,144.72
