leader_label,assigned_color,community_size,other_large_nodes,leader_id,leader_strength,leader_size,modularity_class,notes
"Syenite",orange,28,"Alabaster (71.3); Asael Leadership Allia (25.0); Innon (22.8); Heresmith Leadership Allia (19.3); Antimony (15.3)",49,407.0000,100.00,168,
"Damaya",yellow,24,"Schaffa (35.2); Binof (19.7); Carnelian (17.5); Damaya's mother (15.3); Timay (Guardian) (15.3)",23,198.0000,53.78,155,
"Essun",red,14,"Hoa (40.1); Tonkee (38.3); Ykka (30.3); Lerna (22.4); Rask (18.0)",2,265.0000,68.60,147,
"a younger Sanzed woman (in the group of five) (235",,5,"a young uncertain man (235) (11.3); oldest woman (in the group of five) (235) (11.3); the other two Sanzed women (in the group of five) (11.3); youngest woman (in the group of five) (235) (11.3)",134,42.0000,19.29,37,
"""audience"" (on the young junior)",,2,"""young junior"" (singing in the Fulcrum) (10.9)",56,4.0000,10.88,32,
"Misalem",,2,"Yumenescenes (10.9)",66,4.0000,10.88,190,
"""a few people out and about"" (399)",,1,,237,0.0000,10.00,0,
"""archeomests""",,1,,75,0.0000,10.00,1,
"""boy"" (missing an arm)",,1,,99,0.0000,10.00,2,
"""boy"" (with no penis)",,1,,96,0.0000,10.00,3,
"""casual travellers""",,1,,76,0.0000,10.00,4,
"""cooks"" (in the Fulcrum)",,1,,87,0.0000,10.00,5,
"""fellow juniors"" (in the Fulcrum)",,1,,52,0.0000,10.00,6,
"""first few women"" (Alabaster was with)",,1,,58,0.0000,10.00,7,
"""forest cats and other animals"" (233)",,1,,126,0.0000,10.00,8,
"""girl"" (old burn scars)",,1,,100,0.0000,10.00,9,
"""girl"" (with sharp teeth)",,1,,95,0.0000,10.00,10,
"""grit"" (broken hand)",,1,,101,0.0000,10.00,11,
"""handful of grits"" (in the Fulcrum)",,1,,53,0.0000,10.00,12,
"""instructors"" (in the Fulcrum)",,1,,93,0.0000,10.00,13,
"""leaders of the empire""",,1,,267,0.0000,10.00,14,
"""mailpost-riders""",,1,,72,0.0000,10.00,15,
"""man"" (at the roadhouse)",,1,,63,0.0000,10.00,16,
"""merchant caravanners""",,1,,71,0.0000,10.00,17,
"""militia units""",,1,,77,0.0000,10.00,18,
"""old man"" (at the roadhouse)",,1,,61,0.0000,10.00,19,
"""old masters at uni"" (232)",,1,,124,0.0000,10.00,20,
"""ones who can't make the steps"" (419)",,1,,251,0.0000,10.00,21,
"""other people"" (234)",,1,,129,0.0000,10.00,22,
"""people"" (at the roadhouse)",,1,,60,0.0000,10.00,23,
"""people"" (loading a ship)",,1,,86,0.0000,10.00,24,
"""people"" (on the road)",,1,,68,0.0000,10.00,25,
"""quartent patrol""",,1,,73,0.0000,10.00,26,
"""servant"" (in Allia)",,1,,84,0.0000,10.00,27,
"""several dozen people"" (399)",,1,,236,0.0000,10.00,28,
"""specialists in other areas"" (392)",,1,,234,0.0000,10.00,29,
"""two of the ones"" (224)",,1,,269,0.0000,10.00,30,
"""two women"" (at the roadhouse)",,1,,62,0.0000,10.00,31,
"""young man"" (in Allia)",,1,,79,0.0000,10.00,33,
"a clalsu crew woman (385)",,1,,229,0.0000,10.00,34,
"a dead Meovite",,1,,263,0.0000,10.00,35,
"a Fulcrum senior (387)",,1,,231,0.0000,10.00,36,
"Adolescents/Children (in Allia)",,1,,155,0.0000,10.00,38,
"adult orogenes (at the Fulcrum) (298)",,1,,181,0.0000,10.00,39,
"Alabaster's children",,1,,159,0.0000,10.00,40,
"alchemists",,1,,207,0.0000,10.00,41,
"Allia's residents at the inn",,1,,151,0.0000,10.00,42,
"an anonymous orogene (237)",,1,,136,0.0000,10.00,43,
"Anafumeth (Sanzed Emperor)",,1,,244,0.0000,10.00,44,
"ancient orogenes (380)",,1,,228,0.0000,10.00,45,
"archeomest who Alabaster had affair with",,1,,245,0.0000,10.00,46,
"astronomests",,1,,145,0.0000,10.00,47,
"attack ship members (376)",,1,,226,0.0000,10.00,48,
"Bandits (404)",,1,,242,0.0000,10.00,49,
"Binof's father",,1,,186,0.0000,10.00,50,
"Binof's mother",,1,,185,0.0000,10.00,51,
"Binof's nurses",,1,,189,0.0000,10.00,52,
"Binof's Tutors",,1,,190,0.0000,10.00,53,
"Biomests",,1,,141,0.0000,10.00,54,
"Breeders",,1,,152,0.0000,10.00,55,
"Brevard's citizens",,1,,64,0.0000,10.00,56,
"bunch of bureaucrats",,1,,158,0.0000,10.00,57,
"cannibals",,1,,125,0.0000,10.00,58,
"Cargo vessel crew (375/76)",,1,,225,0.0000,10.00,59,
"Castrima's citizens",,1,,197,0.0000,10.00,60,
"Castrima's founders",,1,,209,0.0000,10.00,61,
"Charlatans",,1,,142,0.0000,10.00,62,
