leader_label,assigned_color,community_size,other_large_nodes,leader_id,leader_strength,leader_size,modularity_class,notes
"Jason's mother",,1,,28,0.0000,10.00,68,
"Jason's son",,1,,27,0.0000,10.00,69,
"Jesus",,1,,90,0.0000,10.00,70,
"Joe Brien",,1,,360,0.0000,10.00,71,
"John-John's father",,1,,370,0.0000,10.00,72,
"Johnny Incest",,1,,236,0.0000,10.00,73,
"Johnny Incest's parents",,1,,237,0.0000,10.00,74,
"Joseph Stalin",,1,,190,0.0000,10.00,75,
"Judge Judy",,1,,203,0.0000,10.00,77,
"Kate's mother",,1,,264,0.0000,10.00,78,
"Kate's sister",,1,,263,0.0000,10.00,79,
"Kiddyfiddler",,1,,238,0.0000,10.00,80,
"King Lear",,1,,61,0.0000,10.00,81,
"Lily's Mother",,1,,105,0.0000,10.00,83,
"Liz (Kate's Friend)",,1,,266,0.0000,10.00,84,
"Lloyd's father's mistress",,1,,277,0.0000,10.00,85,
"Lloyd's half-brother",,1,,276,0.0000,10.00,86,
"Marilyn Manson",,1,,179,0.0000,10.00,87,
"Mary (""Our  Lady"")",,1,,150,0.0000,10.00,88,
"Matty Cummins",,1,,176,0.0000,10.00,89,
"Millicent's other Nana (her mom's mom)",,1,,297,0.0000,10.00,91,
"Ming",,1,,271,0.0000,10.00,92,
"Ming's boys",,1,,272,0.0000,10.00,93,
"missing girls",,1,,331,0.0000,10.00,94,
"Mongo (15 lads)",,1,,243,0.0000,10.00,95,
"Other boy (working the lorry with Bobby)",,1,,225,0.0000,10.00,96,
"Padjoe Ryan",,1,,149,0.0000,10.00,98,
"Parents at Kate's crèche",,1,,260,0.0000,10.00,99,
"Paul Newman",,1,,195,0.0000,10.00,100,
"Peadar's children",,1,,171,0.0000,10.00,101,
"Pearl Jam",,1,,286,0.0000,10.00,102,
"People ""aren't happy"" living in their birth place",,1,,157,0.0000,10.00,103,
"People ""falling away dead of the Aids""",,1,,156,0.0000,10.00,104,
"Regan",,1,,63,0.0000,10.00,105,
"Rory's friends",,1,,284,0.0000,10.00,106,
"Roscrea (football team)",,1,,312,0.0000,10.00,108,
"Réaltín's mother",,1,,134,0.0000,10.00,110,
"Satan",,1,,220,0.0000,10.00,111,
"Seanie's friend",,1,,227,0.0000,10.00,112,
"Sergeant Dick O'Toole",,1,,223,0.0000,10.00,113,
"Tattoo artist",,1,,35,0.0000,10.00,115,
"Tattoo shop girl",,1,,36,0.0000,10.00,116,
"Teapot Taliban",,1,,366,2.0000,11.41,117,
"The City Council",,1,,206,0.0000,10.00,118,
"the Cunliffes",,1,,57,0.0000,10.00,119,
"the Cunliffes' son's aunt",,1,,58,0.0000,10.00,120,
"The Dryffids",,1,,269,0.0000,10.00,121,
"The Farrells (Kenny's parents)",,1,,193,0.0000,10.00,122,
"the guards",,1,,315,0.0000,10.00,123,
"The Latvians",,1,,117,0.0000,10.00,124,
"The McDermotts",,1,,106,0.0000,10.00,125,
"the Penroses",,1,,56,0.0000,10.00,126,
"The Pixies",,1,,282,0.0000,10.00,127,
"the sheriff",,1,,299,0.0000,10.00,128,
"The Taliban",,1,,184,0.0000,10.00,129,
"the two Walshes",,1,,177,0.0000,10.00,131,
"Tibetan Monks",,1,,80,0.0000,10.00,132,
"Timmy's father",,1,,162,0.0000,10.00,134,
"Timmy's mother",,1,,161,0.0000,10.00,135,
"Tony Soprano",,1,,268,0.0000,10.00,136,
"Townie Boys",,1,,244,0.0000,10.00,137,
"Trevor's father",,1,,205,0.0000,10.00,139,
"Uncle JJ",,1,,165,0.0000,10.00,141,
"Vasya's grandfather",,1,,116,0.0000,10.00,142,
"Vasya's Mother",,1,,112,0.0000,10.00,143,
"Vomity Donnell",,1,,235,0.0000,10.00,145,
"Wankyballs",,1,,239,0.0000,10.00,146,
"welfare inspectors",,1,,66,0.0000,10.00,147,
"Women of Ireland (132)",,1,,330,0.0000,10.00,149,
"Yvonne's family",,1,,89,0.0000,10.00,150,
