leader_label,assigned_color,community_size,other_large_nodes,leader_id,leader_strength,leader_size,modularity_class,notes
"Chegga/Sergei Adukanov",purple,78,"Ksyusha/Ksenia Adukanov (40.5); Ruslan (35.9); Chander (30.1); Nadia/Nadezhda (26.3); Alisa (26.0)",8,495.0000,56.76,3,
"Valentina Nikolaevna",red,52,"Diana (26.3); Valentina's Husband (name?) (21.2); Olya/Olga (20.6); Olya's mother (18.9); Dr. Popkov (14.0)",30,195.0000,28.25,5,
"Alyona Golosovsky",yellow,50,"Sophia Golosovsky (100.0); the kidnapping (88.6); Marina Alexandrovna (60.1); Yegor Gusakov (43.4); Eva (40.5)",6,950.0000,100.00,4,
"Kolya/Nikolai Danilovich / Lieutenant Ryakhovsky",salmon,50,"Zoya (21.7); Masha/Mashenka Zakotnova (19.9); Lada (19.5); Kristina (17.9); Sasha/Alexandra (15.9)",17,371.0000,44.97,6,
"Oksana",green,48,"the kidnapper (29.9); Kamchatka police (28.0); Max/Maxim (25.6); Katya/Ekaterina (24.8); Malysh (Oksana's dog) (24.4)",22,273.0000,35.66,0,
"Alla Innokentevna",cyan,31,"Lilia Solodikova (55.3); Lilia's Kidnapping/Disappearance (51.3); Natasha/Natalia (49.5); Denis (31.6); Lev (27.1)",11,519.0000,59.04,1,
"Revmira",orange,25,"Artyom (18.4); Gleb (15.2); Revmira's Father (15.1); Revmira's Mother (15.1); Vera Vasilievna (Gleb's Mother) (12.6)",16,110.0000,20.17,2,
