leader_label,assigned_color,community_size,other_large_nodes,leader_id,leader_strength,leader_size,modularity_class,notes
"Syenite",orange,113,"Alabaster (90.6); Father Earth (50.0); Innon (41.0); Corundum (36.3); Meovites (24.7)",49,692.0000,100.00,2,
"Hoa",red,81,"Essun (88.9); Tonkee (47.6); Jija (38.7); Uche (38.4); Lerna (30.8)",1,608.0000,89.06,0,
"Damaya",yellow,66,"Schaffa (38.4); Grits (in the Fulcrum) (25.5); ""instructors"" (in the Fulcrum) (24.5); Binof (22.5); Damaya's mother (22.5)",23,345.0000,54.80,1,
