id_cont,Title,Level,Start Page_cont,End Page_cont,Narrator,Protagonist,Embed. Type,id_rel,Type of Relationship,Character 1,Character 2,Is Reciprocal?,Narrative Container,Start Page_rel,End Page_rel,index
89,5: Traffic Window - Harbor Freeway,level 2 (sub-section),33,37,[NULL],Manzanar Murakami,[NULL],186,Knows of,Manzanar Murakami,People in Traffic,0,5: Traffic Window - Harbor Freeway,34,35,
90,6: Coffee Break - Downtown,level 2 (sub-section),37,46,Gabriel Balboa,[NULL],[NULL],187,Exchange,Gabriel Balboa,Emi,1,6: Coffee Break - Downtown,38,41,
90,6: Coffee Break - Downtown,level 2 (sub-section),37,46,Gabriel Balboa,[NULL],[NULL],188,Exchange,Gabriel Balboa,Terry,1,6: Coffee Break - Downtown,38,38,
90,6: Coffee Break - Downtown,level 2 (sub-section),37,46,Gabriel Balboa,[NULL],[NULL],189,Knows,Gabriel Balboa,Editor One,1,6: Coffee Break - Downtown,38,38,
90,6: Coffee Break - Downtown,level 2 (sub-section),37,46,Gabriel Balboa,[NULL],[NULL],190,Knows,Gabriel Balboa,Editor Two,1,6: Coffee Break - Downtown,38,38,
90,6: Coffee Break - Downtown,level 2 (sub-section),37,46,Gabriel Balboa,[NULL],[NULL],191,Knows,Gabriel Balboa,Editor Three,1,6: Coffee Break - Downtown,38,38,
90,6: Coffee Break - Downtown,level 2 (sub-section),37,46,Gabriel Balboa,[NULL],[NULL],192,Exchange,Gabriel Balboa,Editor Four,1,6: Coffee Break - Downtown,38,38,
90,6: Coffee Break - Downtown,level 2 (sub-section),37,46,Gabriel Balboa,[NULL],[NULL],193,Knows,Gabriel Balboa,God,0,6: Coffee Break - Downtown,38,38,
90,6: Coffee Break - Downtown,level 2 (sub-section),37,46,Gabriel Balboa,[NULL],[NULL],194,Knows,Gabriel Balboa,mothers of gang-bangers,1,6: Coffee Break - Downtown,38,38,
90,6: Coffee Break - Downtown,level 2 (sub-section),37,46,Gabriel Balboa,[NULL],[NULL],195,Knows of,Gabriel Balboa,Rubén Salazar,0,6: Coffee Break - Downtown,39,39,
90,6: Coffee Break - Downtown,level 2 (sub-section),37,46,Gabriel Balboa,[NULL],[NULL],196,Knows,Emi,Bob the Weatherman,1,6: Coffee Break - Downtown,39,39,
90,6: Coffee Break - Downtown,level 2 (sub-section),37,46,Gabriel Balboa,[NULL],[NULL],197,Knows,Gabriel Balboa,Bob the Weatherman,0,6: Coffee Break - Downtown,39,39,
90,6: Coffee Break - Downtown,level 2 (sub-section),37,46,Gabriel Balboa,[NULL],[NULL],198,Knows of,Emi,Surfers,0,6: Coffee Break - Downtown,40,40,
90,6: Coffee Break - Downtown,level 2 (sub-section),37,46,Gabriel Balboa,[NULL],[NULL],199,Knows of,Gabriel Balboa,Surfers,0,6: Coffee Break - Downtown,40,40,
90,6: Coffee Break - Downtown,level 2 (sub-section),37,46,Gabriel Balboa,[NULL],[NULL],200,Knows,Gabriel Balboa,Gabriel Balboa's family,1,6: Coffee Break - Downtown,40,40,
