
"id","Title <br />(100 chars)","Level <br />(choose)","Start Page","End Page","Narrator <br />(choose)","Protagonist <br />(choose)","Embed. Type <br />(choose)"
"27","The Veil","level 2 (sub-section)","271","273","Judge Antone Bazil Coutts","[NULL]","[NULL]"
"51","The Emissary","level 3 (sub-sub-section)","106","109","Judge Antone Bazil Coutts","[NULL]","[NULL]"
"53","Lafayette Peace","level 3 (sub-sub-section)","110","112","Judge Antone Bazil Coutts","[NULL]","[NULL]"
"19","Satan: Hijacker of a Planet","level 2 (sub-section)","137","146","Marn Wolde","Billy Peace","[NULL]"
"20","The Daniels","level 2 (sub-section)","147","157","Marn Wolde","[NULL]","[NULL]"
"21","The Kindred","level 2 (sub-section)","158","179","Marn Wolde","[NULL]","[NULL]"
"4","Marne Wolde","level 1 (section)","135","179","Marn Wolde","[NULL]","[NULL]"
"9","Doctor Cordelia Lochren","level 1 (section)","293","311","Doctor Cordelia Lochren","[NULL]","[NULL]"
"29","Disaster Stamps of Pluto","level 2 (sub-section)","295","311","Doctor Cordelia Lochren","[NULL]","[NULL]"
"63","The First Fiddle","level 3 (sub-sub-section)","200","207","Shamengwa Milk","[NULL]","Oral Story"
