
"id","Type of Relationship <br />(choose)","Character 1 <br />(choose)","Character 2 <br />(choose)","Is Reciprocal? <br />(choose)","Narrative Container <br />(choose)","Start Page","End Page"
"649","Exchange","Jacquie Red Feather","Opal Viola Victoria Bear Shield","1","Jacquie Red Feather (I)","117","117"
"657","Knows","Jacquie Red Feather","Jamie Red Feather","1","Orvil Red Feather (I)","120","120"
"711","Knows","Jacquie Red Feather","Ronald","1","Opal Viola Victoria Bear Shield (III)","165","165"
"713","Exchange","Jacquie Red Feather","Ronald","1","Opal Viola Victoria Bear Shield (III)","166","167"
"716","Knows of","Jacquie Red Feather","Victoria (Vicky)","0","Opal Viola Victoria Bear Shield (III)","166","166"
"721","Knows of","Jacquie Red Feather","Victoria (Vicky)","0","Opal Viola Victoria Bear Shield (III)","167","167"
"506","Knows","Orvil Red Feather","Lony Red Feather","1","Jacquie Red Feather (I)","107","107"
"507","Knows","Orvil Red Feather","Loother Red Feather","1","Jacquie Red Feather (I)","107","107"
"650","Exchange","Orvil Red Feather","Opal Viola Victoria Bear Shield","1","Orvil Red Feather (I)","118","120"
"654","Knows of","Orvil Red Feather","Jacquie Red Feather","0","Orvil Red Feather (I)","120","120"
"658","Knows","Orvil Red Feather","Jamie Red Feather","1","Orvil Red Feather (I)","120","120"
"664","Knows of","Orvil Red Feather","kids (at school)","0","Orvil Red Feather (I)","120","120"
"668","Knows","Orvil Red Feather","Opal Viola Victoria Bear Shield","1","Orvil Red Feather (I)","121","121"
"669","Exchange","Orvil Red Feather","Powwow Dancer on TV (121)","0","Orvil Red Feather (I)","121","121"
"670","Knows","Orvil Red Feather","Lony Red Feather","1","Orvil Red Feather (I)","122","124"
"671","Knows","Orvil Red Feather","Loother Red Feather","1","Orvil Red Feather (I)","122","124"
"673","Exchange","Orvil Red Feather","Dene Oxendene","1","Orvil Red Feather (I)","122","124"
"705","Exchange","Orvil Red Feather","Lony Red Feather","1","Opal Viola Victoria Bear Shield (III)","164","165"
"707","Exchange","Orvil Red Feather","Loother Red Feather","1","Opal Viola Victoria Bear Shield (III)","164","165"
"771","Exchange","Orvil Red Feather","Lony Red Feather","1","Orvil Red Feather (I)","120","120"
"772","Exchange","Orvil Red Feather","Loother Red Feather","1","Orvil Red Feather (I)","120","120"
"777","Knows","Orvil Red Feather","Lony Red Feather","1","Orvil Red Feather (I)","118","119"
"778","Knows","Orvil Red Feather","Loother Red Feather","1","Orvil Red Feather (I)","118","119"
"780","Knows","Orvil Red Feather","Jamie Red Feather","1","Orvil Red Feather (I)","122","124"
"783","Exchange","Orvil Red Feather","Police","1","Orvil Red Feather (I)","124","124"
"789","Exchange","Orvil Red Feather","CPS worker","1","Orvil Red Feather (I)","124","124"
"797","Knows","Orvil Red Feather","Opal Viola Victoria Bear Shield","1","Orvil Red Feather (I)","123","124"
"801","Exchange","Orvil Red Feather","Lony Red Feather","1","Orvil Red Feather (I)","126","133"
"802","Exchange","Orvil Red Feather","Loother Red Feather","1","Orvil Red Feather (I)","125","133"
"804","Exchange","Orvil Red Feather","Trickster Spider (Veho)","1","Orvil Red Feather (I)","125","125"
"807","Knows","Orvil Red Feather","Opal Viola Victoria Bear Shield","1","Orvil Red Feather (I)","126","126"
"809","Exchange","Orvil Red Feather","Powwow singers","0","Orvil Red Feather (I)","126","126"
"813","Knows of","Orvil Red Feather","Chance the Rapper","0","Orvil Red Feather (I)","126","126"
"814","Knows of","Orvil Red Feather","Eminem","0","Orvil Red Feather (I)","126","126"
"815","Knows of","Orvil Red Feather","Earl Sweatshirt","0","Orvil Red Feather (I)","126","126"
"819","Knows of","Orvil Red Feather","Beethoven","0","Orvil Red Feather (I)","127","127"
"826","Knows","Orvil Red Feather","Trickster Spider (Veho)","1","Orvil Red Feather (I)","127","129"
"828","Exchange","Orvil Red Feather","Opal Viola Victoria Bear Shield","0","Orvil Red Feather (I)","128","128"
"829","Knows of","Orvil Red Feather","Big Oakland Powwow","0","Orvil Red Feather (I)","128","130"
"834","Knows","Orvil Red Feather","Opal Viola Victoria Bear Shield","1","Orvil Red Feather (I)","129","129"
