id,Name <br />(100 chars)_l,source,Name <br />(100 chars)_r,id_cont,Title <br />(100 chars),Level <br />(choose),Start Page_cont,End Page_cont,Narrator <br />(choose),Protagonist <br />(choose),Embed. Type <br />(choose),id_rel,Type of Relationship <br />(choose),Character 1 <br />(choose),Character 2 <br />(choose),Is Reciprocal? <br />(choose),Narrative Container <br />(choose),Start Page_rel,End Page_rel,index
364,Sasha's girlfriends,66,Sasha,100,10 Out of Body,level 2 (sub-section),186,207,Robert Freeman Jr.,[NULL],[NULL],501,Knows,Sasha,Sasha's girlfriends,1,10 Out of Body,194,194,
167,"Lars, the Swede",66,Sasha,100,10 Out of Body,level 2 (sub-section),186,207,Robert Freeman Jr.,[NULL],[NULL],503,Knows,Sasha,"Lars, the Swede",1,10 Out of Body,194,194,
281,"""hungry kids"" (in Naples)",66,Sasha,100,10 Out of Body,level 2 (sub-section),186,207,Robert Freeman Jr.,[NULL],[NULL],506,Exchange,Sasha,"""hungry kids"" (in Naples)",1,10 Out of Body,194,194,
282,"""baby crying"" (in Naples)",66,Sasha,100,10 Out of Body,level 2 (sub-section),186,207,Robert Freeman Jr.,[NULL],[NULL],507,Exchange,Sasha,"""baby crying"" (in Naples)",1,10 Out of Body,194,194,
172,James,66,Sasha,100,10 Out of Body,level 2 (sub-section),186,207,Robert Freeman Jr.,[NULL],[NULL],509,Knows of,Sasha,James,0,10 Out of Body,195,195,
176,Mozart,66,Sasha,100,10 Out of Body,level 2 (sub-section),186,207,Robert Freeman Jr.,[NULL],[NULL],511,Knows of,Sasha,Mozart,0,10 Out of Body,195,195,
283,Sasha's first suitmate,66,Sasha,100,10 Out of Body,level 2 (sub-section),186,207,Robert Freeman Jr.,[NULL],[NULL],516,Knows,Sasha,Sasha's first suitmate,1,10 Out of Body,195,195,
284,Sasha's second suitmate,66,Sasha,100,10 Out of Body,level 2 (sub-section),186,207,Robert Freeman Jr.,[NULL],[NULL],517,Knows,Sasha,Sasha's second suitmate,1,10 Out of Body,195,195,
285,Sasha's third suitmate,66,Sasha,100,10 Out of Body,level 2 (sub-section),186,207,Robert Freeman Jr.,[NULL],[NULL],518,Knows,Sasha,Sasha's third suitmate,1,10 Out of Body,195,195,
213,Drew Blake,66,Sasha,100,10 Out of Body,level 2 (sub-section),186,207,Robert Freeman Jr.,[NULL],[NULL],520,Knows,Sasha,Drew Blake,1,10 Out of Body,195,196,
76,Lizzie,66,Sasha,100,10 Out of Body,level 2 (sub-section),186,207,Robert Freeman Jr.,[NULL],[NULL],528,Knows,Sasha,Lizzie,1,10 Out of Body,196,196,
171,Hammer (Sasha’s stepfather),66,Sasha,100,10 Out of Body,level 2 (sub-section),186,207,Robert Freeman Jr.,[NULL],[NULL],532,Knows,Sasha,Hammer (Sasha’s stepfather),1,10 Out of Body,197,197,
