
"id","Type of Relationship <br />(choose)","Character 1 <br />(choose)","Character 2 <br />(choose)","Is Reciprocal? <br />(choose)","Narrative Container <br />(choose)","Start Page","End Page"
"838","Exchange","Sasha","Alison Blake","1","12 Great Rock and Roll Pauses By Alison Blake","247","247"
"839","Exchange","Sasha","Lincoln Blake","1","12 Great Rock and Roll Pauses By Alison Blake","247","247"
"840","Knows of","Sasha","Jimi Hendrix","0","12 Great Rock and Roll Pauses By Alison Blake","247","247"
"841","Knows","Sasha","Drew Blake","1","12 Great Rock and Roll Pauses By Alison Blake","247","247"
"862","Knows","Sasha","Drew Blake","1","12 Great Rock and Roll Pauses By Alison Blake","255","255"
"869","Knows","Sasha","Bosco","1","12 Great Rock and Roll Pauses By Alison Blake","258","258"
"878","Exchange","Sasha","Alison Blake","1","12 Great Rock and Roll Pauses By Alison Blake","264","265"
"879","Exchange","Sasha","Lincoln Blake","1","12 Great Rock and Roll Pauses By Alison Blake","264","264"
"882","Knows","Sasha","Drew Blake","1","12 Great Rock and Roll Pauses By Alison Blake","264","264"
"883","Knows","Sasha","The Langs (family)","1","12 Great Rock and Roll Pauses By Alison Blake","265","265"
"885","Knows","Sasha","Drew Blake's mother","1","12 Great Rock and Roll Pauses By Alison Blake","265","265"
"889","Knows","Sasha","Suzette (Alison's friend)","1","12 Great Rock and Roll Pauses By Alison Blake","265","265"
"890","Knows","Sasha","Lincoln Blake","1","12 Great Rock and Roll Pauses By Alison Blake","265","265"
"892","Knows","Sasha","Ada (Sasha's friend)","1","12 Great Rock and Roll Pauses By Alison Blake","265","265"
"900","Knows","Sasha","Drew Blake","1","12 Great Rock and Roll Pauses By Alison Blake","269","271"
"901","Knows","Sasha","Alison Blake","1","12 Great Rock and Roll Pauses By Alison Blake","269","270"
"902","Knows","Sasha","Lincoln Blake","1","12 Great Rock and Roll Pauses By Alison Blake","269","269"
"909","Knows","Sasha","Robert Freeman Jr.","1","12 Great Rock and Roll Pauses By Alison Blake","273","273"
"912","Knows","Sasha","Drew Blake","1","12 Great Rock and Roll Pauses By Alison Blake","273","274"
"924","Exchange","Sasha","Alison Blake","1","12 Great Rock and Roll Pauses By Alison Blake","277","277"
"926","Knows","Sasha","Lincoln Blake","1","12 Great Rock and Roll Pauses By Alison Blake","277","277"
"934","Exchange","Sasha","Drew Blake","1","12 Great Rock and Roll Pauses By Alison Blake","280","281"
"940","Knows","Sasha","Lincoln Blake","1","12 Great Rock and Roll Pauses By Alison Blake","282","282"
"946","Knows","Sasha","Lincoln Blake","1","12 Great Rock and Roll Pauses By Alison Blake","284","284"
"957","Knows","Sasha","Robert Freeman Jr.","1","12 Great Rock and Roll Pauses By Alison Blake","290","290"
"968","Knows of","Sasha","The Frames (band)","0","12 Great Rock and Roll Pauses By Alison Blake","295","295"
"975","Knows","Sasha","Drew Blake","1","12 Great Rock and Roll Pauses By Alison Blake","299","299"
"976","Knows","Sasha","Lincoln Blake","1","12 Great Rock and Roll Pauses By Alison Blake","299","299"
"1006","Knows","Sasha","Bennie Salazar","1","13 Pure Language","311","311"
"1127","Knows","Sasha","Drew Blake","1","12 Great Rock and Roll Pauses By Alison Blake","304","304"
"1128","Knows","Sasha","Lincoln Blake","1","12 Great Rock and Roll Pauses By Alison Blake","304","304"
"217","Knows","Bennie Salazar","Stop/Go sisters","1","2 The Gold Cure","19","21"
"218","Knows of","Bennie Salazar","Cyndi Lauper","0","2 The Gold Cure","19","19"
"219","Knows of","Bennie Salazar","Chrissie Hynde","0","2 The Gold Cure","19","19"
"223","Knows of","Bennie Salazar","Olivia (Louisa's daughter)","1","2 The Gold Cure","19","19"
"227","Knows of","Bennie Salazar","Stop/Go Producer 1","1","2 The Gold Cure","20","20"
"228","Knows of","Bennie Salazar","Stop/Go Producer 2","1","2 The Gold Cure","20","20"
"229","Knows of","Bennie Salazar","Stop/Go Producer 3","1","2 The Gold Cure","20","20"
"230","Knows of","Bennie Salazar","Stop/Go's manager (their father)","1","2 The Gold Cure","20","20"
"232","Knows of","Bennie Salazar","""cloistered nuns""","0","2 The Gold Cure","20","21"
"233","Exchange","Bennie Salazar","Mother Superior","1","2 The Gold Cure","20","21"
"234","Knows","Bennie Salazar","""girls from the office"" (p20)","1","2 The Gold Cure","20","20"
"236","Knows","Bennie Salazar","Stephanie","1","2 The Gold Cure","21","21"
