
"id","Event <br />(choose)","Narrator <br />(choose)","Container <br />(choose)","Start page","End page","TellingTime <br />(choose)"
"110","R Alma refuses Leo's proposal","R Leo (narrator)","R THE LAST WORDS ON EARTH [1.1]","13","0","R Not before 1 December 2000"
"112","R Isaac is born","R Leo (narrator)","R THE LAST WORDS ON EARTH [1.1]","13","0","R Not before 1 December 2000"
"113","R Leo and Bruno reunite","R Leo (narrator)","R THE LAST WORDS ON EARTH [1.1]","18","0","R Not before 1 December 2000"
"114","R Leo sends WORDS FOR EVERYTHING to Isaac","R Leo (narrator)","R THE LAST WORDS ON EARTH [1.2]","34","0","R Not before 1 December 2000"
"115","R Leo begins to write again","R Leo (narrator)","R THE LAST WORDS ON EARTH [1.1]","9","0","R Not before 1 December 2000"
"116","R Alma Singer is born","R Alma (narrator)","R 1. MY NAME IS ALMA SINGER","35","0","R Not before 14 September 2000"
"117","R David Singer dies","R Alma (narrator)","R 4. MY FATHER DIED WHEN I WAS SEVEN","37","0","R Not before 14 September 2000"
"118","R Charlotte and David meet","R Alma (narrator)","R 4. MY FATHER DIED WHEN I WAS SEVEN","37","0","R Not before 14 September 2000"
"119","R Alma Singer is born","R Alma (narrator)","R 10. THEY MOVED TO NEW YORK AND HAD ME","41","0","R Not before 14 September 2000"
"120","R David Singer dies","R Alma (narrator)","R 12. HE LIKED TO COOK AND LAUGH AND SING...","41","0","R Not before 14 September 2000"
"121","R David Singer dies","R Alma (narrator)","R 14. AT THE END OF THE WORLD","42","0","R Not before 14 September 2000"
"122","R David Singer dies","R Alma (narrator)","R 16. EVERYTHING IS REMADE AS REASON","43","0","R Not before 14 September 2000"
"123","R David Singer dies","R Alma (narrator)","R 20. MY MOTHER HAS ONLY BEEN ON TWO DATES SINCE MY FATHER DIED","46","0","R Not before 14 September 2000"
"124","R Charlotte receives Isaac's first letter","R Alma (narrator)","R 28. A HUNDRED THINGS CAN CHANGE YOUR LIFE; A LETTER IS ONE","55","0","R Not before 14 September 2000"
"125","R Isaac dies","R Leo (narrator)","R A JOY FOREVER","77","0","R Not before 1 December 2000"
"126","R Leo and Alma fall in love","R Leo (narrator)","R A JOY FOREVER","80","0","R Not before 1 December 2000"
"127","R Leo attends Isaac's funeral","R Leo (narrator)","R A JOY FOREVER","84","0","R Not before 1 December 2000"
"128","R Leo attends Isaac's funeral","R Leo (narrator)","R A JOY FOREVER","85","0","R Not before 1 December 2000"
"129","R Leo and Alma fall in love","R Leo (narrator)","R A JOY FOREVER","85","0","R Not before 1 December 2000"
"130","R Alma Mereminski dies","R Leo (narrator)","R A JOY FOREVER","85","0","R Not before 1 December 2000"
"131","R Leo attends Isaac's funeral","R Leo (narrator)","R A JOY FOREVER","86","0","R Not before 1 December 2000"
"132","R Leo attends Isaac's funeral","R Leo (narrator)","R A JOY FOREVER","87","0","R Not before 1 December 2000"
"133","R Leo attends Isaac's funeral","R Leo (narrator)","R A JOY FOREVER","88","0","R Not before 1 December 2000"
"134","R Leo attends Isaac's funeral","R Leo (narrator)","R A JOY FOREVER","89","0","R Not before 1 December 2000"
"135","R Leo and Alma fall in love","R Leo (narrator)","R A JOY FOREVER","90","0","R Not before 1 December 2000"
"136","R Leo receives The History of Love","R Leo (narrator)","R A JOY FOREVER","92","0","R Not before 1 December 2000"
"137","R David Singer dies","R Alma (narrator)","R 3. THE MAN WHO COULDN'T ESCAPE GRAVITY","94","0","R Not before 14 September 2000"
"138","R Alma becomes Misha's pen pal","R Alma (narrator)","R 3. THE MAN WHO COULDN'T ESCAPE GRAVITY","95","0","R Not before 14 September 2000"
"139","R Alma becomes Misha's pen pal","R Alma (narrator)","R 6. IF I HAD A RUSSIAN ACCENT EVERYTHING WOULD BE DIFFERENT","98","0","R Not before 14 September 2000"
"140","R David Singer dies","R Alma (narrator)","R 8. Блядь","101","0","R Not before 14 September 2000"
"141","R Charlotte receives Isaac's first letter","R Alma (narrator)","R 8. Блядь","101","0","R Not before 14 September 2000"
"142","R Charlotte and David meet","R Alma (narrator)","R 13. THE ETERNAL DISAPPOINTMENT OF LIFE AS IT IS","108","0","R Not before 14 September 2000"
"143","R Alma begins searching for Alma Mereminski","R Alma (narrator)","R 14. THE BIRTH OF FEELING","109","0","R Not before 14 September 2000"
"144","R Leo begins to write again","R Leo (narrator)","R UNTIL THE WRITING HAND HURTS [1.1]","124","0","R Not before 1 December 2000"
"145","R Leo and Alma fall in love","R Leo (narrator)","R UNTIL THE WRITING HAND HURTS [1.1]","127","0","R Not before 1 December 2000"
"146","R Alma Mereminski is born","R Leo (narrator)","R UNTIL THE WRITING HAND HURTS [1.1]","128","0","R Not before 1 December 2000"
"147","R Leo escapes the Nazis","R Leo (narrator)","R UNTIL THE WRITING HAND HURTS [1.1]","129","0","R Not before 1 December 2000"
"148","R Leo and Alma fall in love","R Leo (narrator)","R UNTIL THE WRITING HAND HURTS [1.3]","133","0","R Not before 1 December 2000"
"149","R Leo leaves to retrieve WORDS FOR EVERYTHING","R Leo (narrator)","R DIE LAUGHING","161","0","R Not before 1 December 2000"
"150","R Alma Mereminski leaves for America","R Alma (narrator)","R 9. IF SHE'S REAL","140","0","R Not before 14 September 2000"
"151","R The Nazis invade Slonim","R Alma (narrator)","R 9. IF SHE'S REAL","140","0","R Not before 14 September 2000"
"152","R Zvi leaves for Chile with The History of Love","R Alma (narrator)","R 9. IF SHE'S REAL","141","0","R Not before 14 September 2000"
"153","R Alma and Misha kiss (for the second time ??)","R Alma (narrator)","R 9. IF SHE'S REAL","141","0","R Not before 14 September 2000"
