id,Character,Event
469,Other characters,Mr. Wickham marries Lydia
470,Mr. Wickham,Mr. Wickham marries Lydia
471,Mr. Darcy,Mr. Wickham marries Lydia
472,Other characters,Mr. Wickham marries Lydia
473,Mr. Bingley,Mr. Bingley and Mr. Darcy return to Netherfield
474,Mr. Darcy,Mr. Bingley and Mr. Darcy return to Netherfield
475,Mr. Bingley,Mr. Bingley and Jane get engaged
476,Jane Bennet,Mr. Bingley and Jane get engaged
477,Mr. Darcy,Elizabeth and Mr. Darcy get engaged
478,Elizabeth Bennet,Elizabeth and Mr. Darcy get engaged
479,Elizabeth Bennet,"Double wedding between Elizabeth and Mr. Darcy, Jane and Mr. Bingley"
480,Mr. Darcy,"Double wedding between Elizabeth and Mr. Darcy, Jane and Mr. Bingley"
481,Jane Bennet,"Double wedding between Elizabeth and Mr. Darcy, Jane and Mr. Bingley"
482,Mr. Bingley,"Double wedding between Elizabeth and Mr. Darcy, Jane and Mr. Bingley"
483,Other characters,"Double wedding between Elizabeth and Mr. Darcy, Jane and Mr. Bingley"
484,Mr. Darcy,"Mr. Darcy's father dies and Mr. Wickham asks for an ""immediate pecuniary advantage, in leiu of the preferment."""
485,Mr. Wickham,"Mr. Darcy's father dies and Mr. Wickham asks for an ""immediate pecuniary advantage, in leiu of the preferment."""
486,Other characters,"Mr. Darcy's father dies and Mr. Wickham asks for an ""immediate pecuniary advantage, in leiu of the preferment."""
487,Mr. Wickham,Mr. Wickham returns and asks for the living
488,Mr. Darcy,Mr. Wickham returns and asks for the living
489,Mr. Wickham,Mr. Wickham seduces and attempts to elope with Mr. Darcy's sister
490,Mr. Darcy,Mr. Wickham seduces and attempts to elope with Mr. Darcy's sister
491,Other characters,Mr. Wickham seduces and attempts to elope with Mr. Darcy's sister
