source,target,startPage,Character 1,Character 2,type,weight,category
903.0,907.0,11,,,,,
903.0,906.0,11,,,,,
899.0,901.0,11,,,,,
903.0,904.0,11,,,,,
899.0,902.0,11,,,,,
1713.0,905.0,12,,,,,
1713.0,904.0,12,,,,,
1713.0,903.0,12,,,,,
1713.0,2508.0,12,,,,,
1713.0,2507.0,12,,,,,
1713.0,2506.0,12,,,,,
1713.0,2505.0,12,,,,,
1712.0,2509.0,12,,,,,
1712.0,907.0,12,,,,,
1712.0,906.0,12,,,,,
1712.0,905.0,12,,,,,
1712.0,904.0,12,,,,,
1712.0,903.0,12,,,,,
1712.0,2508.0,12,,,,,
1712.0,2507.0,12,,,,,
1712.0,2506.0,12,,,,,
2506.0,904.0,12,,,,,
2506.0,903.0,12,,,,,
2506.0,2508.0,12,,,,,
2506.0,2507.0,12,,,,,
2505.0,2509.0,12,,,,,
2505.0,907.0,12,,,,,
2505.0,906.0,12,,,,,
2505.0,905.0,12,,,,,
2505.0,904.0,12,,,,,
2505.0,903.0,12,,,,,
2505.0,2508.0,12,,,,,
2505.0,2507.0,12,,,,,
2505.0,2506.0,12,,,,,
1713.0,2509.0,12,,,,,
1713.0,907.0,12,,,,,
1713.0,906.0,12,,,,,
2508.0,907.0,12,,,,,
2508.0,906.0,12,,,,,
2508.0,905.0,12,,,,,
2508.0,904.0,12,,,,,
2508.0,903.0,12,,,,,
2507.0,2509.0,12,,,,,
2507.0,907.0,12,,,,,
2507.0,906.0,12,,,,,
2507.0,905.0,12,,,,,
2507.0,904.0,12,,,,,
2507.0,903.0,12,,,,,
2507.0,2508.0,12,,,,,
2506.0,2509.0,12,,,,,
2506.0,907.0,12,,,,,
2506.0,906.0,12,,,,,
2506.0,905.0,12,,,,,
907.0,2509.0,12,,,,,
906.0,2509.0,12,,,,,
906.0,907.0,12,,,,,
905.0,2509.0,12,,,,,
905.0,907.0,12,,,,,
905.0,906.0,12,,,,,
904.0,2509.0,12,,,,,
904.0,907.0,12,,,,,
904.0,906.0,12,,,,,
904.0,905.0,12,,,,,
903.0,2509.0,12,,,,,
903.0,907.0,12,,,,,
903.0,906.0,12,,,,,
903.0,905.0,12,,,,,
903.0,904.0,12,,,,,
2508.0,2509.0,12,,,,,
1712.0,2505.0,12,,,,,
1712.0,1713.0,12,,,,,
1711.0,2509.0,12,,,,,
1711.0,907.0,12,,,,,
1711.0,906.0,12,,,,,
1711.0,905.0,12,,,,,
1711.0,904.0,12,,,,,
1711.0,903.0,12,,,,,
1711.0,2508.0,12,,,,,
1711.0,2507.0,12,,,,,
1711.0,2506.0,12,,,,,
1711.0,2505.0,12,,,,,
1711.0,1713.0,12,,,,,
1711.0,1712.0,12,,,,,
1710.0,2509.0,12,,,,,
1710.0,907.0,12,,,,,
1710.0,906.0,12,,,,,
1710.0,905.0,12,,,,,
1710.0,904.0,12,,,,,
1710.0,903.0,12,,,,,
1710.0,2508.0,12,,,,,
1710.0,2507.0,12,,,,,
1710.0,2506.0,12,,,,,
1710.0,2505.0,12,,,,,
1710.0,1713.0,12,,,,,
1710.0,1712.0,12,,,,,
1710.0,1711.0,12,,,,,
902.0,2509.0,12,,,,,
902.0,907.0,12,,,,,
902.0,906.0,12,,,,,
902.0,905.0,12,,,,,
902.0,904.0,12,,,,,
902.0,903.0,12,,,,,
902.0,2508.0,12,,,,,
902.0,2507.0,12,,,,,
902.0,2506.0,12,,,,,
902.0,2505.0,12,,,,,
902.0,1713.0,12,,,,,
902.0,1712.0,12,,,,,
902.0,1711.0,12,,,,,
902.0,1710.0,12,,,,,
899.0,2509.0,12,,,,,
899.0,907.0,12,,,,,
899.0,906.0,12,,,,,
899.0,905.0,12,,,,,
899.0,904.0,12,,,,,
899.0,903.0,12,,,,,
899.0,2508.0,12,,,,,
899.0,2507.0,12,,,,,
899.0,2506.0,12,,,,,
899.0,2505.0,12,,,,,
899.0,1713.0,12,,,,,
899.0,1712.0,12,,,,,
899.0,1711.0,12,,,,,
899.0,1710.0,12,,,,,
899.0,902.0,12,,,,,
897.0,2509.0,12,,,,,
897.0,907.0,12,,,,,
897.0,906.0,12,,,,,
897.0,905.0,12,,,,,
897.0,904.0,12,,,,,
897.0,903.0,12,,,,,
897.0,2508.0,12,,,,,
897.0,2507.0,12,,,,,
897.0,2506.0,12,,,,,
897.0,2505.0,12,,,,,
897.0,1713.0,12,,,,,
897.0,1712.0,12,,,,,
897.0,1711.0,12,,,,,
897.0,1710.0,12,,,,,
897.0,902.0,12,,,,,
897.0,899.0,12,,,,,
897.0,903.0,13,,,,,
897.0,1712.0,13,,,,,
897.0,899.0,13,,,,,
897.0,904.0,13,,,,,
897.0,1711.0,13,,,,,
897.0,1713.0,13,,,,,
903.0,1712.0,13,,,,,
903.0,899.0,13,,,,,
903.0,904.0,13,,,,,
903.0,1711.0,13,,,,,
903.0,1713.0,13,,,,,
899.0,1711.0,13,,,,,
904.0,1713.0,13,,,,,
899.0,1713.0,13,,,,,
904.0,1711.0,13,,,,,
1711.0,1713.0,13,,,,,
1712.0,904.0,13,,,,,
1712.0,1711.0,13,,,,,
1712.0,1713.0,13,,,,,
1712.0,899.0,13,,,,,
899.0,904.0,13,,,,,
1715.0,1712.0,14,,,,,
904.0,1711.0,14,,,,,
1715.0,1758.0,14,,,,,
904.0,1715.0,14,,,,,
899.0,1711.0,14,,,,,
899.0,1710.0,14,,,,,
904.0,1710.0,14,,,,,
904.0,2510.0,14,,,,,
904.0,903.0,14,,,,,
904.0,1712.0,14,,,,,
904.0,1758.0,14,,,,,
2510.0,1710.0,14,,,,,
1710.0,1711.0,14,,,,,
2510.0,1711.0,14,,,,,
897.0,903.0,14,,,,,
897.0,2510.0,14,,,,,
896.0,1711.0,14,,,,,
897.0,899.0,14,,,,,
897.0,904.0,14,,,,,
897.0,1711.0,14,,,,,
897.0,1710.0,14,,,,,
899.0,904.0,14,,,,,
899.0,2510.0,14,,,,,
899.0,903.0,14,,,,,
899.0,1712.0,14,,,,,
899.0,1758.0,14,,,,,
899.0,1715.0,14,,,,,
903.0,1711.0,14,,,,,
903.0,1710.0,14,,,,,
903.0,2510.0,14,,,,,
1712.0,1711.0,14,,,,,
1712.0,1710.0,14,,,,,
1712.0,2510.0,14,,,,,
1712.0,903.0,14,,,,,
1758.0,1711.0,14,,,,,
1758.0,1710.0,14,,,,,
1758.0,2510.0,14,,,,,
1758.0,903.0,14,,,,,
1758.0,1712.0,14,,,,,
1715.0,1711.0,14,,,,,
1715.0,1710.0,14,,,,,
1715.0,2510.0,14,,,,,
1715.0,903.0,14,,,,,
730.0,896.0,14,,,,,
730.0,897.0,14,,,,,
730.0,1713.0,14,,,,,
730.0,1712.0,14,,,,,
730.0,1758.0,14,,,,,
730.0,1715.0,14,,,,,
730.0,904.0,14,,,,,
730.0,899.0,14,,,,,
730.0,2510.0,14,,,,,
730.0,903.0,14,,,,,
730.0,1710.0,14,,,,,
1713.0,904.0,14,,,,,
1713.0,899.0,14,,,,,
1713.0,897.0,14,,,,,
1713.0,896.0,14,,,,,
730.0,1711.0,14,,,,,
896.0,1758.0,14,,,,,
896.0,1712.0,14,,,,,
896.0,903.0,14,,,,,
896.0,2510.0,14,,,,,
896.0,1710.0,14,,,,,
896.0,1715.0,14,,,,,
896.0,899.0,14,,,,,
896.0,904.0,14,,,,,
1713.0,1712.0,14,,,,,
1713.0,1758.0,14,,,,,
1713.0,1715.0,14,,,,,
896.0,897.0,14,,,,,
1713.0,1711.0,14,,,,,
1713.0,1710.0,14,,,,,
1713.0,2510.0,14,,,,,
1713.0,903.0,14,,,,,
897.0,1715.0,14,,,,,
897.0,1758.0,14,,,,,
897.0,1712.0,14,,,,,
897.0,1711.0,15,,,,,
897.0,899.0,15,,,,,
897.0,904.0,15,,,,,
897.0,1712.0,15,,,,,
897.0,903.0,15,,,,,
896.0,1711.0,15,,,,,
896.0,1713.0,15,,,,,
896.0,1759.0,15,,,,,
896.0,904.0,15,,,,,
896.0,899.0,15,,,,,
896.0,903.0,15,,,,,
896.0,1712.0,15,,,,,
896.0,897.0,15,,,,,
1712.0,1713.0,15,,,,,
1712.0,1711.0,15,,,,,
1712.0,904.0,15,,,,,
903.0,1759.0,15,,,,,
903.0,1713.0,15,,,,,
903.0,1711.0,15,,,,,
903.0,904.0,15,,,,,
903.0,1712.0,15,,,,,
899.0,1759.0,15,,,,,
899.0,1713.0,15,,,,,
899.0,1711.0,15,,,,,
899.0,904.0,15,,,,,
899.0,1712.0,15,,,,,
899.0,903.0,15,,,,,
897.0,1759.0,15,,,,,
897.0,1713.0,15,,,,,
904.0,1711.0,15,,,,,
1713.0,1759.0,15,,,,,
1711.0,1713.0,15,,,,,
1711.0,1759.0,15,,,,,
1712.0,1759.0,15,,,,,
904.0,1713.0,15,,,,,
904.0,1759.0,15,,,,,
903.0,904.0,16,,,,,
899.0,903.0,16,,,,,
899.0,904.0,16,,,,,
899.0,1714.0,17,,,,,
899.0,903.0,17,,,,,
899.0,1711.0,17,,,,,
899.0,1713.0,17,,,,,
1711.0,1713.0,17,,,,,
899.0,904.0,17,,,,,
1714.0,904.0,17,,,,,
1714.0,903.0,17,,,,,
1713.0,904.0,17,,,,,
1713.0,903.0,17,,,,,
1713.0,1714.0,17,,,,,
1711.0,904.0,17,,,,,
1711.0,903.0,17,,,,,
1711.0,1714.0,17,,,,,
903.0,904.0,17,,,,,
899.0,1711.0,18,,,,,
899.0,1713.0,18,,,,,
904.0,1712.0,18,,,,,
899.0,1712.0,18,,,,,
899.0,2511.0,18,,,,,
899.0,904.0,18,,,,,
899.0,1710.0,18,,,,,
1712.0,1710.0,18,,,,,
1712.0,1713.0,18,,,,,
904.0,2511.0,18,,,,,
904.0,1711.0,18,,,,,
1712.0,2511.0,18,,,,,
1712.0,1711.0,18,,,,,
904.0,1713.0,18,,,,,
904.0,1710.0,18,,,,,
1711.0,1713.0,18,,,,,
2511.0,1710.0,18,,,,,
